referee_id,referee_name,event_id,date,date_iso,competition_id,competition_name,source_tournament_name,home_team,away_team,home_goals,away_goals,yellow_cards,red_cards,booking_points,first_card_minute,home_fouls,away_fouls,fouls_total,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,yellow_1h,red_1h,yellow_2h,red_2h,yellow_et,red_et,cards_1h,cards_2h,cards_et,card_details_raw
786469,Jeremie Pignard,16310919,23/08/2026,2026-08-23,34,Ligue 1,Ligue 1,Le Havre,AS Monaco,0,1,5,0,50,20,13,12,25,3,2,0,0,3,0,2,0,0,0,3,2,0,Min 66' [Amarilla - Foul] | Min 64' [Amarilla - Argument] | Min 44' [Amarilla - Foul] | Min 34' [Amarilla - Foul] | Min 20' [Amarilla - Foul]
786469,Jeremie Pignard,14061909,17/05/2026,2026-05-17,34,Ligue 1,Ligue 1,Nice,Metz,0,0,3,0,30,35,11,15,26,2,1,0,0,1,0,2,0,0,0,1,2,0,Min 75' [Amarilla - Foul] | Min 73' [Amarilla - Foul] | Min 35' [Amarilla - Foul]
786469,Jeremie Pignard,14167985,02/05/2026,2026-05-02,34,Ligue 1,Ligue 1,Nantes,Olympique de Marseille,3,0,4,0,40,17,12,11,23,1,3,0,0,2,0,2,0,0,0,2,2,0,Min 81' [Amarilla - Foul] | Min 49' [Amarilla - Foul] | Min 31' [Amarilla - Off the ball foul] | Min 17' [Amarilla - Foul]
786469,Jeremie Pignard,14167969,17/04/2026,2026-04-17,34,Ligue 1,Ligue 1,RC Lens,Toulouse,3,2,2,1,40,17,9,15,24,1,1,0,1,1,1,1,0,0,0,2,1,0,Min 88' [Amarilla - Foul] | Min 45' [Amarilla - Foul] | Min 17' [Roja - Foul]
786469,Jeremie Pignard,14167928,14/03/2026,2026-03-14,34,Ligue 1,Ligue 1,AS Monaco,Stade Brestois,2,0,3,0,30,36,9,8,17,2,1,0,0,2,0,1,0,0,0,2,1,0,Min 46' [Amarilla - Foul] | Min 45' [Amarilla - Foul] | Min 36' [Amarilla - Foul]
786469,Jeremie Pignard,14167908,07/03/2026,2026-03-07,34,Ligue 1,Ligue 1,Auxerre,RC Strasbourg,0,0,3,0,30,11,10,11,21,1,2,0,0,2,0,1,0,0,0,2,1,0,Min 63' [Amarilla - Foul] | Min 43' [Amarilla - Foul] | Min 11' [Amarilla - Foul]
786469,Jeremie Pignard,14167869,22/02/2026,2026-02-22,34,Ligue 1,Ligue 1,Nantes,Le Havre,2,0,7,0,70,14,17,13,30,4,3,0,0,2,0,5,0,0,0,2,5,0,Min 90' [Amarilla - Foul] | Min 82' [Amarilla - Foul] | Min 78' [Amarilla - Foul] | Min 65' [Amarilla - Foul] | Min 63' [Amarilla - Foul] | Min 32' [Amarilla - Foul] | Min 14' [Amarilla - Foul]
786469,Jeremie Pignard,14064487,07/02/2026,2026-02-07,34,Ligue 1,Ligue 1,RC Lens,Stade Rennais,3,1,6,1,80,32,13,17,30,4,2,1,0,4,0,2,1,0,0,4,3,0,Min 61' [Amarilla - Foul] | Min 56' [Doble Amarilla - Foul] | Min 45' [Amarilla - Foul] | Min 45' [Amarilla - Foul] | Min 36' [Amarilla - Foul] | Min 32' [Amarilla - Foul]
786469,Jeremie Pignard,14064475,31/01/2026,2026-01-31,34,Ligue 1,Ligue 1,Paris FC,Olympique de Marseille,2,2,5,0,50,43,12,15,27,1,4,0,0,1,0,4,0,0,0,1,4,0,Min 90' [Amarilla - Foul] | Min 90' [Amarilla - Foul] | Min 81' [Amarilla - Foul] | Min 72' [Amarilla - Foul] | Min 43' [Amarilla - Argument]
786469,Jeremie Pignard,14064456,18/01/2026,2026-01-18,34,Ligue 1,Ligue 1,RC Strasbourg,Metz,2,1,5,0,50,25,12,12,24,2,3,0,0,4,0,1,0,0,0,4,1,0,Min 58' [Amarilla - Foul] | Min 45' [Amarilla - Foul] | Min 39' [Amarilla - Foul] | Min 25' [Amarilla - Foul] | Min 25' [Amarilla - Argument]
