referee_id,referee_name,event_id,date,date_iso,competition_id,competition_name,source_tournament_name,home_team,away_team,home_goals,away_goals,yellow_cards,red_cards,booking_points,first_card_minute,home_fouls,away_fouls,fouls_total,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,yellow_1h,red_1h,yellow_2h,red_2h,yellow_et,red_et,cards_1h,cards_2h,cards_et,card_details_raw
787255,Jasper Vergoote,16361892,22/08/2026,2026-08-22,38,Belgian Pro League,Pro League,Royal Antwerp FC,KRC Genk,4,4,2,0,20,78,15,16,31,0,2,0,0,0,0,2,0,0,0,0,2,0,Min 81' [Amarilla - Foul] | Min 78' [Amarilla - Foul]
787255,Jasper Vergoote,16361882,15/08/2026,2026-08-15,38,Belgian Pro League,Pro League,Oud-Heverlee Leuven,Club Brugge KV,0,3,0,0,0,,12,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,Sin tarjetas
787255,Jasper Vergoote,16361872,08/08/2026,2026-08-08,38,Belgian Pro League,Pro League,Standard Liège,Cercle Brugge,2,2,2,0,20,33,9,13,22,1,1,0,0,2,0,0,0,0,0,2,0,0,Min 38' [Amarilla - Foul] | Min 33' [Amarilla - Simulation]
787255,Jasper Vergoote,15858569,24/05/2026,2026-05-24,38,Belgian Pro League,Pro League,Sint-Truidense VV,KV Mechelen,3,0,4,0,40,40,6,5,11,2,2,0,0,1,0,3,0,0,0,1,3,0,Min 87' [Amarilla - Foul] | Min 69' [Amarilla - Sin motivo] | Min 48' [Amarilla - Foul] | Min 40' [Amarilla - Foul]
787255,Jasper Vergoote,15858595,21/05/2026,2026-05-21,38,Belgian Pro League,Pro League,KAA Gent,Royale Union Saint-Gilloise,0,0,4,0,40,41,7,9,16,4,0,0,0,1,0,3,0,0,0,1,3,0,Min 83' [Amarilla - Foul] | Min 57' [Amarilla - Foul] | Min 57' [Amarilla - Argument] | Min 41' [Amarilla - Foul]
787255,Jasper Vergoote,15858594,16/05/2026,2026-05-16,38,Belgian Pro League,Pro League,RC Sporting Charleroi,KVC Westerlo,0,1,5,0,50,36,10,11,21,3,2,0,0,2,0,3,0,0,0,2,3,0,Min 90' [Amarilla - Foul] | Min 82' [Amarilla - Foul] | Min 64' [Amarilla - Foul] | Min 41' [Amarilla - Foul] | Min 36' [Amarilla - Foul]
787255,Jasper Vergoote,15858563,09/05/2026,2026-05-09,38,Belgian Pro League,Pro League,Club Brugge KV,Sint-Truidense VV,2,0,1,1,30,63,7,5,12,0,1,0,1,0,0,1,1,0,0,0,2,0,Min 77' [Amarilla - Foul] | Min 63' [Roja - Professional foul last man]
787255,Jasper Vergoote,15858591,03/05/2026,2026-05-03,38,Belgian Pro League,Pro League,Royal Antwerp FC,Standard Liège,0,5,3,1,50,59,18,5,23,3,0,1,0,0,0,3,1,0,0,0,4,0,Min 90' [Doble Amarilla - Foul] | Min 72' [Amarilla - Foul] | Min 59' [Amarilla - Foul]
787255,Jasper Vergoote,15858562,26/04/2026,2026-04-26,38,Belgian Pro League,Pro League,RSC Anderlecht,Royale Union Saint-Gilloise,1,3,5,1,70,19,16,8,24,2,3,1,0,3,1,2,0,0,0,4,2,0,Min 90' [Amarilla - Foul] | Min 68' [Amarilla - Foul] | Min 45' [Roja - Violent conduct] | Min 45' [Amarilla - Argument] | Min 42' [Amarilla - Foul] | Min 19' [Amarilla - Foul]
787255,Jasper Vergoote,15858576,19/04/2026,2026-04-19,38,Belgian Pro League,Pro League,KAA Gent,Sint-Truidense VV,0,0,1,0,10,90,8,14,22,0,1,0,0,0,0,1,0,0,0,0,1,0,Min 90' [Amarilla - Foul]
787255,Jasper Vergoote,15858620,12/04/2026,2026-04-12,38,Belgian Pro League,Pro League,FCV Dender,SV Zulte Waregem,1,2,2,0,20,50,12,9,21,2,0,0,0,0,0,2,0,0,0,0,2,0,Min 69' [Amarilla - Foul] | Min 50' [Amarilla - Foul]
787255,Jasper Vergoote,15858607,06/04/2026,2026-04-06,38,Belgian Pro League,Pro League,Club Brugge KV,RSC Anderlecht,4,2,3,0,30,45,11,14,25,2,1,0,0,1,0,2,0,0,0,1,2,0,Min 74' [Amarilla - Simulation] | Min 50' [Amarilla - Foul] | Min 45' [Amarilla - Foul]
787255,Jasper Vergoote,14032379,22/03/2026,2026-03-22,38,Belgian Pro League,Pro League,Sint-Truidense VV,Royale Union Saint-Gilloise,1,3,0,0,0,,2,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,Sin tarjetas
787255,Jasper Vergoote,14032373,14/03/2026,2026-03-14,38,Belgian Pro League,Pro League,RC Sporting Charleroi,Oud-Heverlee Leuven,0,2,2,0,20,36,5,15,20,1,1,0,0,1,0,1,0,0,0,1,1,0,Min 51' [Amarilla - Foul] | Min 36' [Amarilla - Foul]
787255,Jasper Vergoote,14032361,06/03/2026,2026-03-06,38,Belgian Pro League,Pro League,RAAL La Louvière,Royal Antwerp FC,0,0,4,1,60,59,9,21,30,1,3,0,1,0,0,4,1,0,0,0,5,0,Min 88' [Doble Amarilla - Foul] | Min 81' [Amarilla - Foul] | Min 65' [Amarilla - Time wasting] | Min 59' [Amarilla - Foul]
787255,Jasper Vergoote,14032354,28/02/2026,2026-02-28,38,Belgian Pro League,Pro League,KV Mechelen,SV Zulte Waregem,2,1,3,0,30,60,13,11,24,1,2,0,0,0,0,3,0,0,0,0,3,0,Min 88' [Amarilla - Time wasting] | Min 77' [Amarilla - Foul] | Min 60' [Amarilla - Foul]
787255,Jasper Vergoote,14032418,21/02/2026,2026-02-21,38,Belgian Pro League,Pro League,Club Brugge KV,Oud-Heverlee Leuven,2,1,1,0,10,88,8,14,22,0,1,0,0,0,0,1,0,0,0,0,1,0,Min 88' [Amarilla - Argument]
787255,Jasper Vergoote,14032404,08/02/2026,2026-02-08,38,Belgian Pro League,Pro League,KRC Genk,RSC Anderlecht,2,0,3,0,30,8,10,20,30,2,1,0,0,2,0,1,0,0,0,2,1,0,Min 53' [Amarilla - Foul] | Min 41' [Amarilla - Foul] | Min 8' [Amarilla - Foul]
787255,Jasper Vergoote,14035978,18/01/2026,2026-01-18,38,Belgian Pro League,Pro League,RC Sporting Charleroi,Standard Liège,2,0,3,0,30,84,14,10,24,2,1,0,0,0,0,3,0,0,0,0,3,0,Min 90' [Amarilla - Argument] | Min 84' [Amarilla - Argument] | Min 84' [Amarilla - Foul]
787255,Jasper Vergoote,14035975,26/12/2025,2025-12-26,38,Belgian Pro League,Pro League,Standard Liège,Sint-Truidense VV,1,2,3,1,50,10,7,11,18,1,2,1,0,2,1,1,0,0,0,3,1,0,Min 80' [Amarilla - Argument] | Min 27' [Amarilla - Argument] | Min 25' [Roja - Violent conduct] | Min 10' [Amarilla - Foul]
787255,Jasper Vergoote,14035964,21/12/2025,2025-12-21,38,Belgian Pro League,Pro League,Club Brugge KV,KAA Gent,2,1,2,0,20,65,9,12,21,0,2,0,0,0,0,2,0,0,0,0,2,0,Min 90' [Amarilla - Foul] | Min 65' [Amarilla - Persistent fouling]
787255,Jasper Vergoote,14032424,07/12/2025,2025-12-07,38,Belgian Pro League,Pro League,Royal Antwerp FC,KRC Genk,3,0,2,0,20,17,12,11,23,1,1,0,0,1,0,1,0,0,0,1,1,0,Min 71' [Amarilla - Foul] | Min 17' [Amarilla - Foul]
787255,Jasper Vergoote,14035903,04/10/2025,2025-10-04,38,Belgian Pro League,Pro League,KV Mechelen,Sint-Truidense VV,1,3,4,0,40,64,18,14,32,3,1,0,0,0,0,4,0,0,0,0,4,0,Min 90' [Amarilla - Foul] | Min 74' [Amarilla - Foul] | Min 69' [Amarilla - Foul] | Min 64' [Amarilla - Foul]
787255,Jasper Vergoote,14035895,27/09/2025,2025-09-27,38,Belgian Pro League,Pro League,Standard Liège,Club Brugge KV,1,2,6,1,80,23,13,7,20,4,2,1,0,2,0,4,1,0,0,2,5,0,Min 90' [Amarilla - Argument] | Min 90' [Amarilla - Argument] | Min 90' [Amarilla - Off the ball foul] | Min 62' [Roja - Foul] | Min 56' [Amarilla - Foul] | Min 39' [Amarilla - Argument] | Min 23' [Amarilla - Foul]
