referee_id,referee_name,event_id,date,date_iso,competition_id,competition_name,source_tournament_name,home_team,away_team,home_goals,away_goals,yellow_cards,red_cards,booking_points,first_card_minute,home_fouls,away_fouls,fouls_total,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,yellow_1h,red_1h,yellow_2h,red_2h,yellow_et,red_et,cards_1h,cards_2h,cards_et,card_details_raw
787282,Felix Bickel,16434343,29/08/2026,2026-08-29,44,2. Bundesliga,2. Bundesliga,1. FC Heidenheim,SG Dynamo Dresden,5,3,5,1,70,26,8,6,14,2,3,0,1,1,0,4,1,0,0,1,5,0,Min 78' [Amarilla - Foul] | Min 69' [Doble Amarilla - Foul] | Min 52' [Amarilla - Foul] | Min 46' [Amarilla - Foul] | Min 26' [Amarilla - Foul]
787282,Felix Bickel,16434330,08/08/2026,2026-08-08,44,2. Bundesliga,2. Bundesliga,Darmstadt 98,Holstein Kiel,2,2,5,0,50,28,15,16,31,2,3,0,0,3,0,2,0,0,0,3,2,0,Min 62' [Amarilla - Foul] | Min 47' [Amarilla - Time wasting] | Min 45' [Amarilla - Foul] | Min 35' [Amarilla - Foul] | Min 28' [Amarilla - Foul]
787282,Felix Bickel,14065531,03/05/2026,2026-05-03,44,2. Bundesliga,2. Bundesliga,Karlsruher SC,Darmstadt 98,2,1,3,0,30,37,8,10,18,1,2,0,0,1,0,2,0,0,0,1,2,0,Min 76' [Amarilla - Foul] | Min 56' [Amarilla - Foul] | Min 37' [Amarilla - Argument]
787282,Felix Bickel,14065507,11/04/2026,2026-04-11,44,2. Bundesliga,2. Bundesliga,1. FC Nürnberg,SG Dynamo Dresden,0,2,2,0,20,63,9,11,20,1,1,0,0,0,0,2,0,0,0,0,2,0,Min 76' [Amarilla - Foul] | Min 63' [Amarilla - Foul]
787282,Felix Bickel,14065484,21/03/2026,2026-03-21,44,2. Bundesliga,2. Bundesliga,SV 07 Elversberg,Arminia Bielefeld,3,1,0,1,20,51,7,7,14,0,0,0,1,0,0,0,1,0,0,0,1,0,Min 51' [Roja - Foul]
787282,Felix Bickel,14065474,08/03/2026,2026-03-08,44,2. Bundesliga,2. Bundesliga,Preußen Münster,Hertha BSC,1,2,4,0,40,45,10,9,19,2,2,0,0,2,0,2,0,0,0,2,2,0,Min 64' [Amarilla - Foul] | Min 63' [Amarilla - Foul] | Min 45' [Amarilla - Foul] | Min 45' [Amarilla - Foul]
787282,Felix Bickel,14065430,08/02/2026,2026-02-08,44,2. Bundesliga,2. Bundesliga,Karlsruher SC,Fortuna Düsseldorf,1,1,3,0,30,2,13,15,28,1,2,0,0,1,0,2,0,0,0,1,2,0,Min 67' [Amarilla - Foul] | Min 64' [Amarilla - Foul] | Min 2' [Amarilla - Foul]
787282,Felix Bickel,14065406,18/01/2026,2026-01-18,44,2. Bundesliga,2. Bundesliga,VfL Bochum 1848,Darmstadt 98,3,3,3,0,30,3,10,8,18,1,2,0,0,1,0,2,0,0,0,1,2,0,Min 86' [Amarilla - Foul] | Min 64' [Amarilla - Foul] | Min 3' [Amarilla - Foul]
787282,Felix Bickel,14065394,13/12/2025,2025-12-13,44,2. Bundesliga,2. Bundesliga,Arminia Bielefeld,1. FC Kaiserslautern,0,0,2,0,20,78,19,10,29,1,1,0,0,0,0,2,0,0,0,0,2,0,Min 80' [Amarilla - Foul] | Min 78' [Amarilla - Foul]
787282,Felix Bickel,14065371,29/11/2025,2025-11-29,44,2. Bundesliga,2. Bundesliga,1. FC Magdeburg,1. FC Nürnberg,3,0,6,1,80,13,12,7,19,3,3,0,1,2,0,4,1,0,0,2,5,0,Min 90' [Amarilla - Argument] | Min 85' [Amarilla - Foul] | Min 76' [Doble Amarilla - Foul] | Min 72' [Amarilla - Foul] | Min 32' [Amarilla - Foul] | Min 13' [Amarilla - Foul]
787282,Felix Bickel,14065348,09/11/2025,2025-11-09,44,2. Bundesliga,2. Bundesliga,Holstein Kiel,Fortuna Düsseldorf,1,0,4,0,40,28,9,16,25,1,3,0,0,2,0,2,0,0,0,2,2,0,Min 90' [Amarilla - Time wasting] | Min 90' [Amarilla - Foul] | Min 33' [Amarilla - Argument] | Min 28' [Amarilla - Argument]
787282,Felix Bickel,14065321,19/10/2025,2025-10-19,44,2. Bundesliga,2. Bundesliga,SV 07 Elversberg,SpVgg Greuther Fürth,6,0,4,0,40,19,10,11,21,1,3,0,0,3,0,1,0,0,0,3,1,0,Min 71' [Amarilla - Foul] | Min 45' [Amarilla - Foul] | Min 24' [Amarilla - Foul] | Min 19' [Amarilla - Foul]
787282,Felix Bickel,14065294,20/09/2025,2025-09-20,44,2. Bundesliga,2. Bundesliga,1. FC Magdeburg,FC Schalke 04,0,2,3,0,30,55,15,14,29,2,1,0,0,0,0,3,0,0,0,0,3,0,Min 90' [Amarilla - Argument] | Min 65' [Amarilla - Foul] | Min 55' [Amarilla - Foul]
787282,Felix Bickel,14065270,24/08/2025,2025-08-24,44,2. Bundesliga,2. Bundesliga,SpVgg Greuther Fürth,Holstein Kiel,0,2,11,0,110,22,13,18,31,3,8,0,0,2,0,9,0,0,0,2,9,0,Min 90' [Amarilla - Time wasting] | Min 90' [Amarilla - Argument] | Min 90' [Amarilla - Time wasting] | Min 89' [Amarilla - Foul] | Min 81' [Amarilla - Sin motivo] | Min 73' [Amarilla - Foul] | Min 62' [Amarilla - Foul] | Min 59' [Amarilla - Foul] | Min 56' [Amarilla - Argument] | Min 25' [Amarilla - Foul] | Min 22' [Amarilla - Foul]
