referee_id,referee_name,event_id,date,date_iso,competition_id,competition_name,source_tournament_name,home_team,away_team,home_goals,away_goals,yellow_cards,red_cards,booking_points,first_card_minute,home_fouls,away_fouls,fouls_total,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,yellow_1h,red_1h,yellow_2h,red_2h,yellow_et,red_et,cards_1h,cards_2h,cards_et,card_details_raw
787315,Oguzhan Cakir,16483640,16/08/2026,2026-08-16,52,Süper Lig,Trendyol Süper Lig,Beşiktaş JK,Eyüpspor,1,0,5,1,70,28,20,14,34,2,3,0,1,1,0,4,1,0,0,1,5,0,Min 90' [Amarilla - Time wasting] | Min 68' [Doble Amarilla - Foul] | Min 53' [Amarilla - Foul] | Min 48' [Amarilla - Foul] | Min 28' [Amarilla - Argument]
787315,Oguzhan Cakir,16153064,15/05/2026,2026-05-15,98,1. Lig,Trendyol 1.Lig,Çorum FK,Bodrum FK,2,0,10,0,100,45,21,21,42,7,3,0,0,1,0,1,0,8,0,1,1,8,Min 120' [Amarilla - Argument] | Min 120' [Amarilla - Argument] | Min 117' [Amarilla - Time wasting] | Min 107' [Amarilla - Time wasting] | Min 105' [Amarilla - Argument] | Min 103' [Amarilla - Time wasting] | Min 101' [Amarilla - Sin motivo] | Min 95' [Amarilla - Foul] | Min 71' [Amarilla - Foul] | Min 45' [Amarilla - Argument]
787315,Oguzhan Cakir,14109912,09/05/2026,2026-05-09,52,Süper Lig,Trendyol Süper Lig,Beşiktaş JK,Trabzonspor,1,2,3,0,30,55,12,13,25,1,2,0,0,0,0,3,0,0,0,0,3,0,Min 90' [Amarilla - Time wasting] | Min 75' [Amarilla - Foul] | Min 55' [Amarilla - Foul]
787315,Oguzhan Cakir,14109907,03/05/2026,2026-05-03,52,Süper Lig,Trendyol Süper Lig,Fatih Karagümrük,Gençlerbirliği,1,0,4,0,40,45,14,9,23,2,2,0,0,2,0,2,0,0,0,2,2,0,Min 70' [Amarilla - Foul] | Min 49' [Amarilla - Argument] | Min 45' [Amarilla - Argument] | Min 45' [Amarilla - Foul]
787315,Oguzhan Cakir,14109892,25/04/2026,2026-04-25,52,Süper Lig,Trendyol Süper Lig,Göztepe,Antalyaspor,2,0,2,0,20,26,24,6,30,2,0,0,0,1,0,1,0,0,0,1,1,0,Min 90' [Amarilla - Time wasting] | Min 26' [Amarilla - Persistent fouling]
787315,Oguzhan Cakir,14143645,19/04/2026,2026-04-19,98,1. Lig,Trendyol 1.Lig,Esenler Erokspor,Keçiörengücü,1,0,5,0,50,83,12,17,29,3,2,0,0,0,0,5,0,0,0,0,5,0,Min 90' [Amarilla - Argument] | Min 90' [Amarilla - Argument] | Min 90' [Amarilla - Foul] | Min 90' [Amarilla - Time wasting] | Min 83' [Amarilla - Time wasting]
787315,Oguzhan Cakir,14109879,12/04/2026,2026-04-12,52,Süper Lig,Trendyol Süper Lig,Galatasaray,Kocaelispor,1,1,1,0,10,23,15,13,28,0,1,0,0,1,0,0,0,0,0,1,0,0,Min 23' [Amarilla - Foul]
787315,Oguzhan Cakir,14109851,18/03/2026,2026-03-18,52,Süper Lig,Trendyol Süper Lig,Eyüpspor,Trabzonspor,0,1,4,0,40,53,17,15,32,3,1,0,0,0,0,4,0,0,0,0,4,0,Min 90' [Amarilla - Foul] | Min 77' [Amarilla - Foul] | Min 62' [Amarilla - Foul] | Min 53' [Amarilla - Foul]
787315,Oguzhan Cakir,14109834,08/03/2026,2026-03-08,52,Süper Lig,Trendyol Süper Lig,Fenerbahçe,Samsunspor,3,2,9,0,90,16,11,25,36,2,7,0,0,3,0,6,0,0,0,3,6,0,Min 90' [Amarilla - Argument] | Min 90' [Amarilla - Argument] | Min 90' [Amarilla - Sin motivo] | Min 90' [Amarilla - Argument] | Min 62' [Amarilla - Persistent fouling] | Min 51' [Amarilla - Foul] | Min 45' [Amarilla - Argument] | Min 44' [Amarilla - Time wasting] | Min 16' [Amarilla - Foul]
787315,Oguzhan Cakir,14143638,28/02/2026,2026-02-28,98,1. Lig,Trendyol 1.Lig,Keçiörengücü,Amed Sportif Faaliyetler,2,2,3,0,30,42,12,12,24,2,1,0,0,1,0,2,0,0,0,1,2,0,Min 75' [Amarilla - Foul] | Min 56' [Amarilla - Argument] | Min 42' [Amarilla - Foul]
