referee_id,referee_name,event_id,date,date_iso,competition_id,competition_name,source_tournament_name,home_team,away_team,home_goals,away_goals,yellow_cards,red_cards,booking_points,first_card_minute,home_fouls,away_fouls,fouls_total,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,yellow_1h,red_1h,yellow_2h,red_2h,yellow_et,red_et,cards_1h,cards_2h,cards_et,card_details_raw
787591,Eric-Dominic Weisbach,16434342,30/08/2026,2026-08-30,44,2. Bundesliga,2. Bundesliga,FC St. Pauli,1. FC Kaiserslautern,1,2,7,0,70,38,9,13,22,3,4,0,0,2,0,5,0,0,0,2,5,0,Min 89' [Amarilla - Foul] | Min 76' [Amarilla - Foul] | Min 67' [Amarilla - Foul] | Min 64' [Amarilla - Argument] | Min 60' [Amarilla - Foul] | Min 41' [Amarilla - Foul] | Min 38' [Amarilla - Foul]
787591,Eric-Dominic Weisbach,16434327,08/08/2026,2026-08-08,44,2. Bundesliga,2. Bundesliga,1. FC Heidenheim,VfL Osnabrück,4,3,3,0,30,13,6,6,12,1,2,0,0,2,0,1,0,0,0,2,1,0,Min 54' [Amarilla - Foul] | Min 45' [Amarilla - Foul] | Min 13' [Amarilla - Foul]
787591,Eric-Dominic Weisbach,14065514,19/04/2026,2026-04-19,44,2. Bundesliga,2. Bundesliga,SpVgg Greuther Fürth,Darmstadt 98,3,2,4,0,40,58,11,10,21,2,2,0,0,0,0,4,0,0,0,0,4,0,Min 90' [Amarilla - Argument] | Min 77' [Amarilla - Argument] | Min 66' [Amarilla - Foul] | Min 58' [Amarilla - Foul]
787591,Eric-Dominic Weisbach,14065488,22/03/2026,2026-03-22,44,2. Bundesliga,2. Bundesliga,Fortuna Düsseldorf,Hertha BSC,2,5,5,0,50,34,12,7,19,3,2,0,0,3,0,2,0,0,0,3,2,0,Min 74' [Amarilla - Foul] | Min 72' [Amarilla - Foul] | Min 45' [Amarilla - Foul] | Min 40' [Amarilla - Foul] | Min 34' [Amarilla - Foul]
787591,Eric-Dominic Weisbach,14065463,28/02/2026,2026-02-28,44,2. Bundesliga,2. Bundesliga,Arminia Bielefeld,Hannover 96,0,1,6,0,60,34,19,13,32,2,4,0,0,1,0,5,0,0,0,1,5,0,Min 90' [Amarilla - Foul] | Min 90' [Amarilla - Foul] | Min 84' [Amarilla - Sin motivo] | Min 76' [Amarilla - Foul] | Min 58' [Amarilla - Foul] | Min 34' [Amarilla - Foul]
787591,Eric-Dominic Weisbach,14065425,07/02/2026,2026-02-07,44,2. Bundesliga,2. Bundesliga,SC Paderborn 07,1. FC Nürnberg,2,1,5,1,70,31,16,14,30,2,3,0,1,1,0,4,1,0,0,1,5,0,Min 90' [Amarilla - Time wasting] | Min 83' [Amarilla - Foul] | Min 79' [Amarilla - Foul] | Min 57' [Amarilla - Foul] | Min 51' [Roja - Foul] | Min 31' [Amarilla - Foul]
787591,Eric-Dominic Weisbach,14065408,17/01/2026,2026-01-17,44,2. Bundesliga,2. Bundesliga,Preußen Münster,Karlsruher SC,0,2,3,1,50,32,11,11,22,0,3,1,0,2,0,1,1,0,0,2,2,0,Min 89' [Amarilla - Foul] | Min 77' [Roja - Professional foul last man] | Min 42' [Amarilla - Foul] | Min 32' [Amarilla - Foul]
787591,Eric-Dominic Weisbach,14065382,07/12/2025,2025-12-07,44,2. Bundesliga,2. Bundesliga,Eintracht Braunschweig,Holstein Kiel,1,1,6,2,100,27,13,17,30,1,5,1,1,2,1,4,1,0,0,3,5,0,Min 86' [Amarilla - Foul] | Min 77' [Amarilla - Foul] | Min 68' [Amarilla - Foul] | Min 51' [Doble Amarilla - Foul] | Min 43' [Roja - Professional foul last man] | Min 36' [Amarilla - Foul] | Min 27' [Amarilla - Foul]
787591,Eric-Dominic Weisbach,14065357,07/11/2025,2025-11-07,44,2. Bundesliga,2. Bundesliga,SG Dynamo Dresden,1. FC Nürnberg,1,2,6,0,60,44,12,18,30,3,3,0,0,1,0,5,0,0,0,1,5,0,Min 90' [Amarilla - Foul] | Min 90' [Amarilla - Foul] | Min 84' [Amarilla - Foul] | Min 81' [Amarilla - Foul] | Min 73' [Amarilla - Foul] | Min 44' [Amarilla - Foul]
787591,Eric-Dominic Weisbach,14065332,24/10/2025,2025-10-24,44,2. Bundesliga,2. Bundesliga,SpVgg Greuther Fürth,Karlsruher SC,1,4,3,0,30,25,7,18,25,0,3,0,0,1,0,2,0,0,0,1,2,0,Min 90' [Amarilla - Foul] | Min 48' [Amarilla - Foul] | Min 25' [Amarilla - Foul]
787591,Eric-Dominic Weisbach,14065268,23/08/2025,2025-08-23,44,2. Bundesliga,2. Bundesliga,SC Paderborn 07,Fortuna Düsseldorf,1,2,4,1,60,12,12,8,20,2,2,1,0,3,1,1,0,0,0,4,1,0,Min 57' [Amarilla - Foul] | Min 38' [Amarilla - Foul] | Min 34' [Amarilla - Foul] | Min 31' [Amarilla - Foul] | Min 12' [Roja - Professional foul last man]
787591,Eric-Dominic Weisbach,14062014,02/08/2025,2025-08-02,44,2. Bundesliga,2. Bundesliga,SV 07 Elversberg,1. FC Nürnberg,1,0,5,0,50,19,16,23,39,2,3,0,0,2,0,3,0,0,0,2,3,0,Min 90' [Amarilla - Foul] | Min 89' [Amarilla - Handball] | Min 85' [Amarilla - Time wasting] | Min 28' [Amarilla - Foul] | Min 19' [Amarilla - Foul]
787591,Eric-Dominic Weisbach,12499174,11/05/2025,2025-05-11,44,2. Bundesliga,2. Bundesliga,SSV Jahn Regensburg,Karlsruher SC,2,2,3,0,30,39,13,10,23,0,3,0,0,1,0,2,0,0,0,1,2,0,Min 90' [Amarilla - Foul] | Min 55' [Amarilla - Foul] | Min 39' [Amarilla - Foul]
