referee_id,referee_name,event_id,date,date_iso,competition_id,competition_name,source_tournament_name,home_team,away_team,home_goals,away_goals,yellow_cards,red_cards,booking_points,first_card_minute,home_fouls,away_fouls,fouls_total,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,yellow_1h,red_1h,yellow_2h,red_2h,yellow_et,red_et,cards_1h,cards_2h,cards_et,card_details_raw
787734,Eddy Rosier,16386246,21/08/2026,2026-08-21,182,Ligue 2,Ligue 2,USL Dunkerque,Montpellier,0,1,5,0,50,12,17,19,36,3,2,0,0,1,0,4,0,0,0,1,4,0,Min 90' [Amarilla - Argument] | Min 90' [Amarilla - Argument] | Min 90' [Amarilla - Argument] | Min 60' [Amarilla - Foul] | Min 12' [Amarilla - Foul]
787734,Eddy Rosier,16386238,08/08/2026,2026-08-08,182,Ligue 2,Ligue 2,Rodez AF,Stade Lavallois,3,1,2,1,40,16,13,5,18,1,1,0,1,1,1,1,0,0,0,2,1,0,Min 61' [Amarilla - Foul] | Min 19' [Roja - Professional foul last man] | Min 16' [Amarilla - Foul]
787734,Eddy Rosier,14064783,02/05/2026,2026-05-02,182,Ligue 2,Ligue 2,Guingamp,Bastia,0,1,0,0,0,,8,11,19,0,0,0,0,0,0,0,0,0,0,0,0,0,Sin tarjetas
787734,Eddy Rosier,14064766,17/04/2026,2026-04-17,182,Ligue 2,Ligue 2,Rodez AF,Amiens SC,3,2,5,0,50,45,16,16,32,2,3,0,0,1,0,4,0,0,0,1,4,0,Min 90' [Amarilla - Argument] | Min 90' [Amarilla - Foul] | Min 80' [Amarilla - Foul] | Min 48' [Amarilla - Foul] | Min 45' [Amarilla - Foul]
787734,Eddy Rosier,14064756,10/04/2026,2026-04-10,182,Ligue 2,Ligue 2,Stade Lavallois,Stade de Reims,2,2,3,0,30,16,12,8,20,1,2,0,0,3,0,0,0,0,0,3,0,0,Min 44' [Amarilla - Argument] | Min 44' [Amarilla - Argument] | Min 16' [Amarilla - Foul]
787734,Eddy Rosier,14064729,13/03/2026,2026-03-13,182,Ligue 2,Ligue 2,Nancy,Le Mans,2,4,2,0,20,77,10,19,29,1,1,0,0,0,0,2,0,0,0,0,2,0,Min 77' [Amarilla - Argument] | Min 77' [Amarilla - Argument]
787734,Eddy Rosier,15503737,02/03/2026,2026-03-02,182,Ligue 2,Ligue 2,Amiens SC,Troyes,0,2,2,0,20,50,10,18,28,1,1,0,0,0,0,2,0,0,0,0,2,0,Min 79' [Amarilla - Foul] | Min 50' [Amarilla - Foul]
787734,Eddy Rosier,14383013,13/02/2026,2026-02-13,182,Ligue 2,Ligue 2,Pau FC,US Boulogne Côte-d'Opale,1,2,5,1,70,28,10,16,26,1,4,1,0,3,1,2,0,0,0,4,2,0,Min 60' [Amarilla - Foul] | Min 49' [Amarilla - Foul] | Min 43' [Amarilla - Argument] | Min 42' [Roja - Foul] | Min 37' [Amarilla - Foul] | Min 28' [Amarilla - Foul]
787734,Eddy Rosier,14064702,30/01/2026,2026-01-30,182,Ligue 2,Ligue 2,Clermont Foot,Stade de Reims,0,1,4,2,80,7,13,13,26,1,3,1,1,2,2,2,0,0,0,4,2,0,Min 87' [Amarilla - Foul] | Min 78' [Amarilla - Foul] | Min 33' [Amarilla - Argument] | Min 31' [Roja - Violent conduct] | Min 24' [Roja - Foul] | Min 7' [Amarilla - Foul]
787734,Eddy Rosier,15123660,19/01/2026,2026-01-19,182,Ligue 2,Ligue 2,Nancy,Guingamp,0,3,2,1,40,40,13,12,25,1,1,0,1,2,0,0,1,0,0,2,1,0,Min 86' [Roja - Foul] | Min 42' [Amarilla - Foul] | Min 40' [Amarilla - Foul]
787734,Eddy Rosier,14383010,05/12/2025,2025-12-05,182,Ligue 2,Ligue 2,Clermont Foot,US Boulogne Côte-d'Opale,1,1,3,0,30,28,10,12,22,2,1,0,0,1,0,2,0,0,0,1,2,0,Min 52' [Amarilla - Foul] | Min 50' [Amarilla - Foul] | Min 28' [Amarilla - Foul]
787734,Eddy Rosier,14064662,31/10/2025,2025-10-31,182,Ligue 2,Ligue 2,Montpellier,Rodez AF,2,0,4,1,60,13,14,13,27,2,2,0,1,3,1,1,0,0,0,4,1,0,Min 46' [Amarilla - Foul] | Min 36' [Doble Amarilla - Foul] | Min 30' [Amarilla - Foul] | Min 13' [Amarilla - Foul]
787734,Eddy Rosier,14064634,03/10/2025,2025-10-03,182,Ligue 2,Ligue 2,Pau FC,Clermont Foot,3,1,0,0,0,,11,11,22,0,0,0,0,0,0,0,0,0,0,0,0,0,Sin tarjetas
787734,Eddy Rosier,14382999,23/09/2025,2025-09-23,182,Ligue 2,Ligue 2,Montpellier,US Boulogne Côte-d'Opale,1,3,3,1,50,31,14,16,30,0,3,1,0,1,1,2,0,0,0,2,2,0,Min 89' [Amarilla - Foul] | Min 57' [Amarilla - Foul] | Min 43' [Amarilla - Foul] | Min 31' [Roja - Foul]
787734,Eddy Rosier,14064853,12/09/2025,2025-09-12,182,Ligue 2,Ligue 2,Troyes,Nancy,3,0,1,0,10,31,11,16,27,1,0,0,0,1,0,0,0,0,0,1,0,0,Min 31' [Amarilla - Foul]
787734,Eddy Rosier,14064615,22/08/2025,2025-08-22,182,Ligue 2,Ligue 2,Rodez AF,Stade Lavallois,1,1,3,0,30,30,13,14,27,2,1,0,0,1,0,2,0,0,0,1,2,0,Min 78' [Amarilla - Foul] | Min 73' [Amarilla - Foul] | Min 30' [Amarilla - Foul]
787734,Eddy Rosier,14065059,09/08/2025,2025-08-09,182,Ligue 2,Ligue 2,USL Dunkerque,Clermont Foot,2,2,3,0,30,43,17,9,26,2,1,0,0,1,0,2,0,0,0,1,2,0,Min 69' [Amarilla - Foul] | Min 49' [Amarilla - Foul] | Min 43' [Amarilla - Foul]
787734,Eddy Rosier,12450701,25/04/2025,2025-04-25,182,Ligue 2,Ligue 2,Guingamp,FC Martigues,2,1,2,0,20,64,12,16,28,0,2,0,0,0,0,2,0,0,0,0,2,0,Min 75' [Amarilla - Foul] | Min 64' [Amarilla - Handball]
787734,Eddy Rosier,12615577,11/04/2025,2025-04-11,182,Ligue 2,Ligue 2,Troyes,Ajaccio,0,0,3,0,30,38,12,19,31,1,2,0,0,1,0,2,0,0,0,1,2,0,Min 90' [Amarilla - Foul] | Min 58' [Amarilla - Foul] | Min 38' [Amarilla - Foul]
787734,Eddy Rosier,12450723,31/03/2025,2025-03-31,182,Ligue 2,Ligue 2,Paris FC,Stade Malherbe Caen,4,2,4,0,40,27,12,16,28,1,3,0,0,2,0,2,0,0,0,2,2,0,Min 74' [Amarilla - Foul] | Min 54' [Amarilla - Foul] | Min 45' [Amarilla - Foul] | Min 27' [Amarilla - Persistent fouling]
787734,Eddy Rosier,12615574,07/03/2025,2025-03-07,182,Ligue 2,Ligue 2,Pau FC,Troyes,0,2,3,0,30,4,14,18,32,2,1,0,0,3,0,0,0,0,0,3,0,0,Min 37' [Amarilla - Foul] | Min 24' [Amarilla - Foul] | Min 4' [Amarilla - Foul]
787734,Eddy Rosier,12451125,01/03/2025,2025-03-01,182,Ligue 2,Ligue 2,Red Star FC,Guingamp,3,1,3,0,30,82,14,22,36,2,1,0,0,0,0,3,0,0,0,0,3,0,Min 90' [Amarilla - Foul] | Min 86' [Amarilla - Foul] | Min 82' [Amarilla - Foul]
787734,Eddy Rosier,12450763,14/02/2025,2025-02-14,182,Ligue 2,Ligue 2,Clermont Foot,Bastia,1,1,6,1,80,25,16,21,37,4,2,0,1,4,1,2,0,0,0,5,2,0,Min 84' [Amarilla - Foul] | Min 62' [Amarilla - Foul] | Min 45' [Doble Amarilla - Foul] | Min 43' [Amarilla - Foul] | Min 40' [Amarilla - Foul] | Min 25' [Amarilla - Foul]
787734,Eddy Rosier,12451301,08/02/2025,2025-02-08,182,Ligue 2,Ligue 2,Lorient,Amiens SC,3,1,2,0,20,45,16,8,24,1,1,0,0,1,0,1,0,0,0,1,1,0,Min 74' [Amarilla - Foul] | Min 45' [Amarilla - Foul]
787734,Eddy Rosier,12451294,31/01/2025,2025-01-31,182,Ligue 2,Ligue 2,USL Dunkerque,FC Martigues,0,1,4,0,40,56,19,9,28,2,2,0,0,0,0,4,0,0,0,0,4,0,Min 87' [Amarilla - Foul] | Min 79' [Amarilla - Foul] | Min 76' [Amarilla - Argument] | Min 56' [Amarilla - Foul]
787734,Eddy Rosier,12451275,17/01/2025,2025-01-17,182,Ligue 2,Ligue 2,Red Star FC,Pau FC,1,3,5,0,50,34,13,8,21,2,3,0,0,2,0,3,0,0,0,2,3,0,Min 90' [Amarilla - Argument] | Min 90' [Amarilla - Argument] | Min 88' [Amarilla - Argument] | Min 43' [Amarilla - Argument] | Min 34' [Amarilla - Foul]
787734,Eddy Rosier,12451260,03/01/2025,2025-01-03,182,Ligue 2,Ligue 2,Stade Malherbe Caen,Clermont Foot,0,1,4,0,40,35,14,16,30,2,2,0,0,2,0,2,0,0,0,2,2,0,Min 84' [Amarilla - Foul] | Min 52' [Amarilla - Foul] | Min 39' [Amarilla - Foul] | Min 35' [Amarilla - Foul]
787734,Eddy Rosier,12451176,06/12/2024,2024-12-06,182,Ligue 2,Ligue 2,Rodez AF,Pau FC,1,0,0,0,0,,9,9,18,0,0,0,0,0,0,0,0,0,0,0,0,0,Sin tarjetas
787734,Eddy Rosier,12451149,08/11/2024,2024-11-08,182,Ligue 2,Ligue 2,Stade Lavallois,Bastia,2,2,6,0,60,11,14,18,32,5,1,0,0,2,0,4,0,0,0,2,4,0,Min 90' [Amarilla - Foul] | Min 89' [Amarilla - Foul] | Min 53' [Amarilla - Foul] | Min 46' [Amarilla - Foul] | Min 31' [Amarilla - Foul] | Min 11' [Amarilla - Foul]
787734,Eddy Rosier,12451236,29/10/2024,2024-10-29,182,Ligue 2,Ligue 2,FC Martigues,Stade Malherbe Caen,0,3,5,1,70,50,16,12,28,2,3,1,0,0,0,5,1,0,0,0,6,0,Min 90' [Doble Amarilla - Argument] | Min 90' [Amarilla - Sin motivo] | Min 84' [Amarilla - Foul] | Min 68' [Amarilla - Foul] | Min 50' [Amarilla - Foul]
787734,Eddy Rosier,12451215,18/10/2024,2024-10-18,182,Ligue 2,Ligue 2,Guingamp,Pau FC,0,1,5,0,50,1,11,15,26,2,3,0,0,3,0,2,0,0,0,3,2,0,Min 90' [Amarilla - Foul] | Min 86' [Amarilla - Handball] | Min 40' [Amarilla - Foul] | Min 6' [Amarilla - Foul] | Min 1' [Amarilla - Foul]
787734,Eddy Rosier,12451200,27/09/2024,2024-09-27,182,Ligue 2,Ligue 2,Lorient,Ajaccio,3,0,4,1,60,16,20,15,35,2,2,0,1,2,1,2,0,0,0,3,2,0,Min 83' [Amarilla - Foul] | Min 62' [Amarilla - Foul] | Min 42' [Amarilla - Foul] | Min 42' [Amarilla - Argument] | Min 16' [Roja - Foul]
787734,Eddy Rosier,12451177,20/09/2024,2024-09-20,182,Ligue 2,Ligue 2,Red Star FC,Stade Lavallois,0,3,3,0,30,20,13,11,24,2,1,0,0,2,0,1,0,0,0,2,1,0,Min 80' [Amarilla - Argument] | Min 44' [Amarilla - Foul] | Min 20' [Amarilla - Foul]
787734,Eddy Rosier,12451109,30/08/2024,2024-08-30,182,Ligue 2,Ligue 2,USL Dunkerque,Rodez AF,1,0,4,0,40,40,8,12,20,2,2,0,0,1,0,3,0,0,0,1,3,0,Min 81' [Amarilla - Foul] | Min 75' [Amarilla - Argument] | Min 75' [Amarilla - Foul] | Min 40' [Amarilla - Foul]
787734,Eddy Rosier,12451091,16/08/2024,2024-08-16,182,Ligue 2,Ligue 2,Amiens SC,Red Star FC,3,0,1,0,10,49,10,12,22,1,0,0,0,0,0,1,0,0,0,0,1,0,Min 49' [Amarilla - Foul]
