referee_id,referee_name,event_id,date,date_iso,competition_id,competition_name,source_tournament_name,home_team,away_team,home_goals,away_goals,yellow_cards,red_cards,booking_points,first_card_minute,home_fouls,away_fouls,fouls_total,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,yellow_1h,red_1h,yellow_2h,red_2h,yellow_et,red_et,cards_1h,cards_2h,cards_et,card_details_raw
787777,Gurcan Hasova,16483655,29/08/2026,2026-08-29,52,Süper Lig,Trendyol Süper Lig,Konyaspor,Kocaelispor,1,2,4,1,60,10,16,12,28,1,3,1,0,3,0,1,1,0,0,3,2,0,Min 88' [Amarilla - Foul] | Min 48' [Roja - Foul] | Min 37' [Amarilla - Foul] | Min 36' [Amarilla - Foul] | Min 10' [Amarilla - Foul]
787777,Gurcan Hasova,16490406,21/08/2026,2026-08-21,98,1. Lig,Trendyol 1.Lig,Fatih Karagümrük,Bursaspor,2,1,2,0,20,17,9,9,18,0,2,0,0,1,0,1,0,0,0,1,1,0,Min 89' [Amarilla - Foul] | Min 17' [Amarilla - Foul]
787777,Gurcan Hasova,16483635,15/08/2026,2026-08-15,52,Süper Lig,Trendyol Süper Lig,Kasımpaşa,Trabzonspor,1,1,2,0,20,10,17,9,26,2,0,0,0,1,0,1,0,0,0,1,1,0,Min 68' [Amarilla - Foul] | Min 10' [Amarilla - Foul]
787777,Gurcan Hasova,14109913,09/05/2026,2026-05-09,52,Süper Lig,Trendyol Süper Lig,Başakşehir FK,Samsunspor,3,0,4,0,40,41,13,13,26,2,2,0,0,1,0,3,0,0,0,1,3,0,Min 69' [Amarilla - Foul] | Min 58' [Amarilla - Foul] | Min 49' [Amarilla - Foul] | Min 41' [Amarilla - Foul]
787777,Gurcan Hasova,14109898,25/04/2026,2026-04-25,52,Süper Lig,Trendyol Süper Lig,Kayserispor,Çaykur Rizespor,2,0,5,0,50,29,15,16,31,3,2,0,0,3,0,2,0,0,0,3,2,0,Min 88' [Amarilla - Foul] | Min 51' [Amarilla - Foul] | Min 40' [Amarilla - Foul] | Min 36' [Amarilla - Sin motivo] | Min 29' [Amarilla - Foul]
787777,Gurcan Hasova,14109882,19/04/2026,2026-04-19,52,Süper Lig,Trendyol Süper Lig,Samsunspor,Beşiktaş JK,2,1,7,0,70,38,17,4,21,5,2,0,0,2,0,5,0,0,0,2,5,0,Min 90' [Amarilla - Time wasting] | Min 88' [Amarilla - Foul] | Min 88' [Amarilla - Argument] | Min 70' [Amarilla - Foul] | Min 65' [Amarilla - Argument] | Min 41' [Amarilla - Foul] | Min 38' [Amarilla - Foul]
787777,Gurcan Hasova,14138603,09/04/2026,2026-04-09,98,1. Lig,Trendyol 1.Lig,Esenler Erokspor,Amed Sportif Faaliyetler,1,1,4,0,40,42,11,14,25,2,2,0,0,2,0,2,0,0,0,2,2,0,Min 66' [Amarilla - Foul] | Min 58' [Amarilla - Argument] | Min 44' [Amarilla - Foul] | Min 42' [Amarilla - Foul]
787777,Gurcan Hasova,14138587,22/03/2026,2026-03-22,98,1. Lig,Trendyol 1.Lig,Iğdır FK,Çorum FK,0,2,1,0,10,85,10,16,26,0,1,0,0,0,0,1,0,0,0,0,1,0,Min 85' [Amarilla - Foul]
787777,Gurcan Hasova,14109845,13/03/2026,2026-03-13,52,Süper Lig,Trendyol Süper Lig,Antalyaspor,Gaziantep FK,1,4,7,0,70,6,15,18,33,3,4,0,0,4,0,3,0,0,0,4,3,0,Min 74' [Amarilla - Argument] | Min 49' [Amarilla - Foul] | Min 46' [Amarilla - Foul] | Min 45' [Amarilla - Foul] | Min 34' [Amarilla - Argument] | Min 7' [Amarilla - Foul] | Min 6' [Amarilla - Foul]
787777,Gurcan Hasova,14109829,09/03/2026,2026-03-09,52,Süper Lig,Trendyol Süper Lig,Eyüpspor,Kocaelispor,0,1,6,0,60,5,13,21,34,4,2,0,0,2,0,4,0,0,0,2,4,0,Min 90' [Amarilla - Argument] | Min 74' [Amarilla - Foul] | Min 55' [Amarilla - Foul] | Min 48' [Amarilla - Foul] | Min 31' [Amarilla - Foul] | Min 5' [Amarilla - Foul]
787777,Gurcan Hasova,14138543,23/02/2026,2026-02-23,98,1. Lig,Trendyol 1.Lig,Sivasspor,Sakaryaspor,4,1,8,1,100,35,13,17,30,2,6,0,1,5,1,3,0,0,0,6,3,0,Min 82' [Amarilla - Foul] | Min 69' [Amarilla - Foul] | Min 62' [Amarilla - Foul] | Min 45' [Doble Amarilla - Argument] | Min 43' [Amarilla - Foul] | Min 42' [Amarilla - Foul] | Min 40' [Amarilla - Argument] | Min 35' [Amarilla - Argument]
787777,Gurcan Hasova,14138521,18/02/2026,2026-02-18,98,1. Lig,Trendyol 1.Lig,Serikspor A.Ş.,Çorum FK,2,3,5,0,50,37,13,14,27,2,3,0,0,3,0,2,0,0,0,3,2,0,Min 73' [Amarilla - Foul] | Min 59' [Amarilla - Foul] | Min 45' [Amarilla - Argument] | Min 45' [Amarilla - Argument] | Min 37' [Amarilla - Foul]
787777,Gurcan Hasova,14109760,19/12/2025,2025-12-19,52,Süper Lig,Trendyol Süper Lig,Kocaelispor,Antalyaspor,2,1,6,0,60,45,22,19,41,3,3,0,0,1,0,5,0,0,0,1,5,0,Min 84' [Amarilla - Foul] | Min 79' [Amarilla - Foul] | Min 58' [Amarilla - Argument] | Min 58' [Amarilla - Argument] | Min 55' [Amarilla - Foul] | Min 45' [Amarilla - Argument]
787777,Gurcan Hasova,14138433,13/12/2025,2025-12-13,98,1. Lig,Trendyol 1.Lig,Amed Sportif Faaliyetler,Bandırmaspor,2,1,1,0,10,48,11,7,18,1,0,0,0,0,0,1,0,0,0,0,1,0,Min 48' [Amarilla - Foul]
787777,Gurcan Hasova,14138400,23/11/2025,2025-11-23,98,1. Lig,Trendyol 1.Lig,Ümraniyespor,Bodrum FK,1,0,6,2,100,10,4,12,16,2,4,1,1,5,2,1,0,0,0,7,1,0,Min 79' [Amarilla - Foul] | Min 32' [Amarilla - Foul] | Min 25' [Doble Amarilla - Foul] | Min 23' [Amarilla - Foul] | Min 11' [Doble Amarilla - Foul] | Min 10' [Amarilla - Foul]
787777,Gurcan Hasova,14138382,02/11/2025,2025-11-02,98,1. Lig,Trendyol 1.Lig,İstanbulspor,Pendikspor,0,0,6,1,80,18,13,9,22,1,5,0,1,4,1,2,0,0,0,5,2,0,Min 90' [Amarilla - Time wasting] | Min 65' [Amarilla - Foul] | Min 45' [Amarilla - Foul] | Min 27' [Doble Amarilla - Foul] | Min 24' [Amarilla - Foul] | Min 18' [Amarilla - Foul]
787777,Gurcan Hasova,14138356,18/10/2025,2025-10-18,98,1. Lig,Trendyol 1.Lig,Manisa FK,Erzurumspor FK,1,1,7,0,70,11,14,5,19,5,2,0,0,4,0,3,0,0,0,4,3,0,Min 90' [Amarilla - Argument] | Min 80' [Amarilla - Foul] | Min 70' [Amarilla - Foul] | Min 45' [Amarilla - Foul] | Min 40' [Amarilla - Foul] | Min 39' [Amarilla - Foul] | Min 11' [Amarilla - Foul]
787777,Gurcan Hasova,14138329,25/09/2025,2025-09-25,98,1. Lig,Trendyol 1.Lig,Amed Sportif Faaliyetler,Sarıyer,2,0,3,0,30,37,4,6,10,0,3,0,0,1,0,2,0,0,0,1,2,0,Min 90' [Amarilla - Argument] | Min 68' [Amarilla - Foul] | Min 37' [Amarilla - Time wasting]
787777,Gurcan Hasova,14138279,17/08/2025,2025-08-17,98,1. Lig,Trendyol 1.Lig,Vanspor FK,Esenler Erokspor,1,0,3,1,50,16,15,10,25,2,1,0,1,1,1,2,0,0,0,2,2,0,Min 50' [Amarilla - Foul] | Min 46' [Amarilla - Foul] | Min 26' [Roja - Professional foul last man] | Min 16' [Amarilla - Foul]
787777,Gurcan Hasova,12528072,25/05/2025,2025-05-25,52,Süper Lig,Trendyol Süper Lig,Başakşehir FK,Adana Demirspor,2,3,7,1,90,22,20,11,31,3,4,0,1,3,1,4,0,0,0,4,4,0,Min 90' [Amarilla - Sin motivo] | Min 83' [Amarilla - Foul] | Min 82' [Amarilla - Foul] | Min 80' [Amarilla - Foul] | Min 45' [Doble Amarilla - Foul] | Min 34' [Amarilla - Foul] | Min 22' [Amarilla - Foul]
787777,Gurcan Hasova,12596358,27/04/2025,2025-04-27,98,1. Lig,Trendyol 1.Lig,Şanlıurfaspor,Manisa FK,1,3,7,0,70,40,19,10,29,2,5,0,0,1,0,6,0,0,0,1,6,0,Min 90' [Amarilla - Foul] | Min 89' [Amarilla - Time wasting] | Min 84' [Amarilla - Foul] | Min 80' [Amarilla - Foul] | Min 73' [Amarilla - Argument] | Min 71' [Amarilla - Argument] | Min 40' [Amarilla - Foul]
787777,Gurcan Hasova,12596395,06/04/2025,2025-04-06,98,1. Lig,Trendyol 1.Lig,MKE Ankaragücü,Gençlerbirliği,0,3,2,0,20,33,14,12,26,2,0,0,0,1,0,1,0,0,0,1,1,0,Min 89' [Amarilla - Foul] | Min 33' [Amarilla - Foul]
787777,Gurcan Hasova,12596414,14/03/2025,2025-03-14,98,1. Lig,Trendyol 1.Lig,Bandırmaspor,Adanaspor,1,0,5,1,70,7,14,12,26,2,3,1,0,2,1,3,0,0,0,3,3,0,Min 87' [Amarilla - Foul] | Min 61' [Amarilla - Argument] | Min 50' [Amarilla - Foul] | Min 45' [Amarilla - Foul] | Min 38' [Amarilla - Foul] | Min 7' [Roja - Foul]
787777,Gurcan Hasova,12596433,06/03/2025,2025-03-06,98,1. Lig,Trendyol 1.Lig,Ümraniyespor,Kocaelispor,1,1,7,1,90,16,13,13,26,3,4,0,1,3,0,4,1,0,0,3,5,0,Min 90' [Amarilla - Argument] | Min 79' [Amarilla - Foul] | Min 76' [Amarilla - Foul] | Min 60' [Doble Amarilla - Foul] | Min 38' [Amarilla - Foul] | Min 34' [Amarilla - Handball] | Min 16' [Amarilla - Foul]
787777,Gurcan Hasova,12596468,17/02/2025,2025-02-17,98,1. Lig,Trendyol 1.Lig,Bandırmaspor,İstanbulspor,1,0,6,1,80,8,16,11,27,4,2,0,1,2,0,4,1,0,0,2,5,0,Min 90' [Amarilla - Time wasting] | Min 83' [Amarilla - Time wasting] | Min 80' [Amarilla - Foul] | Min 69' [Roja - Foul] | Min 61' [Amarilla - Foul] | Min 22' [Amarilla - Foul] | Min 8' [Amarilla - Foul]
787777,Gurcan Hasova,12596477,08/02/2025,2025-02-08,98,1. Lig,Trendyol 1.Lig,Kocaelispor,Amed Sportif Faaliyetler,1,0,3,0,30,40,14,10,24,3,0,0,0,1,0,2,0,0,0,1,2,0,Min 90' [Amarilla - Foul] | Min 71' [Amarilla - Foul] | Min 40' [Amarilla - Foul]
787777,Gurcan Hasova,12596524,19/01/2025,2025-01-19,98,1. Lig,Trendyol 1.Lig,Iğdır FK,Boluspor,0,1,2,0,20,39,17,15,32,1,1,0,0,1,0,1,0,0,0,1,1,0,Min 82' [Amarilla - Persistent fouling] | Min 39' [Amarilla - Foul]
787777,Gurcan Hasova,12596529,12/01/2025,2025-01-12,98,1. Lig,Trendyol 1.Lig,Erzurumspor FK,Şanlıurfaspor,0,1,6,1,80,9,16,9,25,4,2,1,0,3,0,3,1,0,0,3,4,0,Min 86' [Amarilla - Time wasting] | Min 74' [Doble Amarilla - Foul] | Min 69' [Amarilla - Foul] | Min 35' [Amarilla - Foul] | Min 14' [Amarilla - Foul] | Min 9' [Amarilla - Foul]
787777,Gurcan Hasova,12596557,14/12/2024,2024-12-14,98,1. Lig,Trendyol 1.Lig,Fatih Karagümrük,Boluspor,2,2,7,0,70,39,17,15,32,4,3,0,0,2,0,5,0,0,0,2,5,0,Min 90' [Amarilla - Foul] | Min 86' [Amarilla - Argument] | Min 86' [Amarilla - Argument] | Min 81' [Amarilla - Time wasting] | Min 57' [Amarilla - Foul] | Min 44' [Amarilla - Foul] | Min 39' [Amarilla - Foul]
787777,Gurcan Hasova,12596607,08/11/2024,2024-11-08,98,1. Lig,Trendyol 1.Lig,Ümraniyespor,Iğdır FK,0,1,3,0,30,38,21,14,35,2,1,0,0,2,0,1,0,0,0,2,1,0,Min 90' [Amarilla - Foul] | Min 45' [Amarilla - Foul] | Min 38' [Amarilla - Foul]
787777,Gurcan Hasova,12596632,19/10/2024,2024-10-19,98,1. Lig,Trendyol 1.Lig,Adanaspor,Şanlıurfaspor,1,4,2,1,40,44,18,10,28,0,2,1,0,1,0,1,1,0,0,1,2,0,Min 90' [Roja - Foul] | Min 76' [Amarilla - Foul] | Min 44' [Amarilla - Foul]
787777,Gurcan Hasova,12596692,18/08/2024,2024-08-18,98,1. Lig,Trendyol 1.Lig,Çorum FK,Fatih Karagümrük,2,2,4,0,40,53,9,17,26,2,2,0,0,0,0,4,0,0,0,0,4,0,Min 90' [Amarilla - Foul] | Min 63' [Amarilla - Foul] | Min 59' [Amarilla - Foul] | Min 53' [Amarilla - Foul]
787777,Gurcan Hasova,11457303,14/04/2024,2024-04-14,98,1. Lig,Trendyol 1.Lig,Şanlıurfaspor,Bandırmaspor,1,1,6,0,60,26,20,18,38,3,3,0,0,3,0,3,0,0,0,3,3,0,Min 79' [Amarilla - Foul] | Min 69' [Amarilla - Foul] | Min 63' [Amarilla - Foul] | Min 32' [Amarilla - Foul] | Min 30' [Amarilla - Foul] | Min 26' [Amarilla - Foul]
787777,Gurcan Hasova,11457183,02/03/2024,2024-03-02,98,1. Lig,Trendyol 1.Lig,Bodrum FK,Eyüpspor,0,1,9,2,130,11,15,16,31,4,5,1,1,3,0,6,2,0,0,3,8,0,Min 90' [Doble Amarilla - Foul] | Min 90' [Amarilla - Foul] | Min 62' [Amarilla - Foul] | Min 55' [Doble Amarilla - Foul] | Min 51' [Amarilla - Argument] | Min 48' [Amarilla - Argument] | Min 43' [Amarilla - Foul] | Min 37' [Amarilla - Argument] | Min 11' [Amarilla - Foul]
787777,Gurcan Hasova,11457103,16/02/2024,2024-02-16,98,1. Lig,Trendyol 1.Lig,Göztepe,Manisa FK,0,0,7,0,70,14,15,14,29,1,6,0,0,2,0,5,0,0,0,2,5,0,Min 85' [Amarilla - Time wasting] | Min 84' [Amarilla - Foul] | Min 83' [Amarilla - Time wasting] | Min 82' [Amarilla - Foul] | Min 58' [Amarilla - Foul] | Min 26' [Amarilla - Foul] | Min 14' [Amarilla - Foul]
787777,Gurcan Hasova,11457166,14/01/2024,2024-01-14,98,1. Lig,Trendyol 1.Lig,Çorum FK,Beykoz Anadolu Spor A.Ş.,2,1,6,0,60,17,11,17,28,2,4,0,0,2,0,4,0,0,0,2,4,0,Min 90' [Amarilla - Argument] | Min 90' [Amarilla - Argument] | Min 84' [Amarilla - Foul] | Min 71' [Amarilla - Foul] | Min 33' [Amarilla - Dangerous play] | Min 17' [Amarilla - Foul]
787777,Gurcan Hasova,11457144,23/12/2023,2023-12-23,98,1. Lig,Trendyol 1.Lig,Sakaryaspor,Kocaelispor,3,1,4,0,40,60,18,13,31,2,2,0,0,0,0,4,0,0,0,0,4,0,Min 82' [Amarilla - Argument] | Min 81' [Amarilla - Argument] | Min 81' [Amarilla - Argument] | Min 60' [Amarilla - Foul]
787777,Gurcan Hasova,11457110,03/12/2023,2023-12-03,98,1. Lig,Trendyol 1.Lig,Manisa FK,Altay,3,0,8,1,100,10,11,14,25,2,6,0,1,3,0,5,1,0,0,3,6,0,Min 90' [Doble Amarilla - Foul] | Min 86' [Amarilla - Foul] | Min 71' [Amarilla - Foul] | Min 64' [Amarilla - Argument] | Min 59' [Amarilla - Foul] | Min 21' [Amarilla - Foul] | Min 11' [Amarilla - Argument] | Min 10' [Amarilla - Argument]
787777,Gurcan Hasova,11457350,05/11/2023,2023-11-05,98,1. Lig,Trendyol 1.Lig,Giresunspor,Erzurumspor FK,1,0,5,0,50,43,19,16,35,5,0,0,0,1,0,4,0,0,0,1,4,0,Min 90' [Amarilla - Foul] | Min 80' [Amarilla - Time wasting] | Min 77' [Amarilla - Foul] | Min 48' [Amarilla - Foul] | Min 43' [Amarilla - Foul]
787777,Gurcan Hasova,11457304,22/10/2023,2023-10-22,98,1. Lig,Trendyol 1.Lig,Ümraniyespor,Manisa FK,3,2,9,0,90,3,4,19,23,4,5,0,0,4,0,5,0,0,0,4,5,0,Min 85' [Amarilla - Foul] | Min 64' [Amarilla - Foul] | Min 58' [Amarilla - Argument] | Min 58' [Amarilla - Foul] | Min 58' [Amarilla - Argument] | Min 31' [Amarilla - Foul] | Min 23' [Amarilla - Foul] | Min 17' [Amarilla - Foul] | Min 3' [Amarilla - Foul]
