referee_id,referee_name,event_id,date,date_iso,competition_id,competition_name,source_tournament_name,home_team,away_team,home_goals,away_goals,yellow_cards,red_cards,booking_points,first_card_minute,home_fouls,away_fouls,fouls_total,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,yellow_1h,red_1h,yellow_2h,red_2h,yellow_et,red_et,cards_1h,cards_2h,cards_et,card_details_raw
787798,Mathias Stofringshaug,15260888,30/08/2026,2026-08-30,20,Eliteserien,Eliteserien,Viking FK,Aalesunds FK,2,1,5,0,50,33,5,14,19,1,4,0,0,2,0,3,0,0,0,2,3,0,Min 90' [Amarilla - Argument] | Min 85' [Amarilla - Foul] | Min 72' [Amarilla - Foul] | Min 40' [Amarilla - Foul] | Min 33' [Amarilla - Foul]
787798,Mathias Stofringshaug,15260870,16/08/2026,2026-08-16,20,Eliteserien,Eliteserien,Fredrikstad FK,Kristiansund BK,1,0,4,0,40,38,7,15,22,1,3,0,0,2,0,2,0,0,0,2,2,0,Min 90' [Amarilla - Foul] | Min 54' [Amarilla - Foul] | Min 44' [Amarilla - Foul] | Min 38' [Amarilla - Foul]
787798,Mathias Stofringshaug,15260859,31/07/2026,2026-07-31,20,Eliteserien,Eliteserien,Vålerenga IF,HamKam,0,3,4,1,60,15,18,22,40,3,1,1,0,0,1,4,0,0,0,1,4,0,Min 90' [Amarilla - Simulation] | Min 68' [Amarilla - Argument] | Min 65' [Amarilla - Foul] | Min 51' [Amarilla - Foul] | Min 15' [Roja - Foul]
787798,Mathias Stofringshaug,15260829,12/07/2026,2026-07-12,20,Eliteserien,Eliteserien,SK Brann,IK Start,2,1,2,0,20,55,9,13,22,1,1,0,0,0,0,2,0,0,0,0,2,0,Min 90' [Amarilla - Foul] | Min 55' [Amarilla - Foul]
787798,Mathias Stofringshaug,15260817,29/05/2026,2026-05-29,20,Eliteserien,Eliteserien,Aalesunds FK,HamKam,2,2,2,0,20,42,9,10,19,2,0,0,0,1,0,1,0,0,0,1,1,0,Min 73' [Amarilla - Foul] | Min 42' [Amarilla - Argument]
787798,Mathias Stofringshaug,15260807,24/05/2026,2026-05-24,20,Eliteserien,Eliteserien,Kristiansund BK,Viking FK,1,2,6,0,60,20,11,15,26,3,3,0,0,1,0,5,0,0,0,1,5,0,Min 90' [Amarilla - Time wasting] | Min 90' [Amarilla - Argument] | Min 84' [Amarilla - Foul] | Min 73' [Amarilla - Argument] | Min 67' [Amarilla - Foul] | Min 20' [Amarilla - Foul]
787798,Mathias Stofringshaug,13295703,20/09/2025,2025-09-20,20,Eliteserien,Eliteserien,Sandefjord Fotball,SK Brann,0,3,2,1,40,42,14,15,29,0,2,1,0,1,1,1,0,0,0,2,1,0,Min 50' [Amarilla - Foul] | Min 45' [Roja - Professional foul last man] | Min 42' [Amarilla - Argument]
787798,Mathias Stofringshaug,13295694,14/09/2025,2025-09-14,20,Eliteserien,Eliteserien,Bryne FK,Tromsø IL,0,2,1,0,10,35,8,10,18,1,0,0,0,1,0,0,0,0,0,1,0,0,Min 35' [Amarilla - Foul]
787798,Mathias Stofringshaug,13295675,17/08/2025,2025-08-17,20,Eliteserien,Eliteserien,Vålerenga IF,Sarpsborg 08,4,0,3,0,30,46,9,11,20,1,2,0,0,0,0,3,0,0,0,0,3,0,Min 74' [Amarilla - Argument] | Min 50' [Amarilla - Foul] | Min 46' [Amarilla - Foul]
787798,Mathias Stofringshaug,13295654,03/08/2025,2025-08-03,20,Eliteserien,Eliteserien,Molde FK,Bryne FK,2,0,2,0,20,23,9,12,21,2,0,0,0,1,0,1,0,0,0,1,1,0,Min 89' [Amarilla - Foul] | Min 23' [Amarilla - Foul]
787798,Mathias Stofringshaug,13295648,26/07/2025,2025-07-26,20,Eliteserien,Eliteserien,Haugesund,HamKam,0,3,0,0,0,,10,8,18,0,0,0,0,0,0,0,0,0,0,0,0,0,Sin tarjetas
787798,Mathias Stofringshaug,13295633,13/07/2025,2025-07-13,20,Eliteserien,Eliteserien,Kristiansund BK,Sarpsborg 08,0,0,4,1,60,14,3,6,9,1,3,1,0,1,1,3,0,0,0,2,3,0,Min 90' [Amarilla - Argument] | Min 87' [Amarilla - Foul] | Min 49' [Amarilla - Argument] | Min 33' [Amarilla - Foul] | Min 14' [Roja - Professional foul last man]
787798,Mathias Stofringshaug,13292926,30/06/2025,2025-06-30,20,Eliteserien,Eliteserien,SK Brann,Sandefjord Fotball,1,0,3,0,30,12,8,12,20,1,2,0,0,2,0,1,0,0,0,2,1,0,Min 90' [Amarilla - Foul] | Min 16' [Amarilla - Foul] | Min 12' [Amarilla - Foul]
