referee_id,referee_name,event_id,date,date_iso,competition_id,competition_name,source_tournament_name,home_team,away_team,home_goals,away_goals,yellow_cards,red_cards,booking_points,first_card_minute,home_fouls,away_fouls,fouls_total,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,yellow_1h,red_1h,yellow_2h,red_2h,yellow_et,red_et,cards_1h,cards_2h,cards_et,card_details_raw
788005,Resat Onur Coskunses,16483643,23/08/2026,2026-08-23,52,Süper Lig,Trendyol Süper Lig,Eyüpspor,Gaziantep FK,0,1,1,1,30,28,16,17,33,0,1,0,1,1,0,0,1,0,0,1,1,0,Min 64' [Roja - Foul] | Min 28' [Amarilla - Foul]
788005,Resat Onur Coskunses,14109906,02/05/2026,2026-05-02,52,Süper Lig,Trendyol Süper Lig,Samsunspor,Galatasaray,4,1,2,1,40,29,15,14,29,2,0,0,1,1,0,1,1,0,0,1,2,0,Min 75' [Amarilla - Foul] | Min 63' [Roja - Professional handball] | Min 29' [Amarilla - Foul]
788005,Resat Onur Coskunses,14109890,25/04/2026,2026-04-25,52,Süper Lig,Trendyol Süper Lig,Eyüpspor,Gaziantep FK,3,0,4,0,40,23,12,12,24,2,2,0,0,2,0,2,0,0,0,2,2,0,Min 89' [Amarilla - Foul] | Min 66' [Amarilla - Sin motivo] | Min 36' [Amarilla - Foul] | Min 23' [Amarilla - Time wasting]
788005,Resat Onur Coskunses,14138618,11/04/2026,2026-04-11,98,1. Lig,Trendyol 1.Lig,Pendikspor,Çorum FK,1,1,4,1,60,32,11,10,21,2,2,1,0,2,0,2,1,0,0,2,3,0,Min 67' [Roja - Foul] | Min 66' [Amarilla - Argument] | Min 66' [Amarilla - Argument] | Min 39' [Amarilla - Foul] | Min 32' [Amarilla - Foul]
788005,Resat Onur Coskunses,14138591,03/04/2026,2026-04-03,98,1. Lig,Trendyol 1.Lig,Bodrum FK,Ümraniyespor,1,0,4,0,40,77,11,12,23,2,2,0,0,0,0,4,0,0,0,0,4,0,Min 84' [Amarilla - Foul] | Min 83' [Amarilla - Foul] | Min 77' [Amarilla - Argument] | Min 77' [Amarilla - Argument]
788005,Resat Onur Coskunses,14109853,18/03/2026,2026-03-18,52,Süper Lig,Trendyol Süper Lig,Başakşehir FK,Antalyaspor,0,0,7,0,70,38,12,18,30,3,4,0,0,1,0,6,0,0,0,1,6,0,Min 89' [Amarilla - Argument] | Min 89' [Amarilla - Argument] | Min 78' [Amarilla - Time wasting] | Min 75' [Amarilla - Foul] | Min 57' [Amarilla - Foul] | Min 47' [Amarilla - Argument] | Min 38' [Amarilla - Foul]
788005,Resat Onur Coskunses,14109839,09/03/2026,2026-03-09,52,Süper Lig,Trendyol Süper Lig,Alanyaspor,Gençlerbirliği,0,0,3,0,30,30,11,5,16,1,2,0,0,2,0,1,0,0,0,2,1,0,Min 63' [Amarilla - Foul] | Min 42' [Amarilla - Argument] | Min 30' [Amarilla - Foul]
788005,Resat Onur Coskunses,14138520,17/02/2026,2026-02-17,98,1. Lig,Trendyol 1.Lig,Hatayspor,Iğdır FK,0,2,6,0,60,18,20,14,34,5,1,0,0,3,0,3,0,0,0,3,3,0,Min 90' [Amarilla - Argument] | Min 87' [Amarilla - Foul] | Min 75' [Amarilla - Foul] | Min 44' [Amarilla - Foul] | Min 41' [Amarilla - Foul] | Min 18' [Amarilla - Foul]
788005,Resat Onur Coskunses,14138513,13/02/2026,2026-02-13,98,1. Lig,Trendyol 1.Lig,Çorum FK,İstanbulspor,2,3,5,0,50,76,7,10,17,4,1,0,0,0,0,5,0,0,0,0,5,0,Min 90' [Amarilla - Foul] | Min 90' [Amarilla - Off the ball foul] | Min 90' [Amarilla - Time wasting] | Min 80' [Amarilla - Argument] | Min 76' [Amarilla - Foul]
788005,Resat Onur Coskunses,14109778,25/01/2026,2026-01-25,52,Süper Lig,Trendyol Süper Lig,Antalyaspor,Gençlerbirliği,2,1,5,0,50,5,16,20,36,2,3,0,0,2,0,3,0,0,0,2,3,0,Min 81' [Amarilla - Foul] | Min 78' [Amarilla - Foul] | Min 57' [Amarilla - Foul] | Min 45' [Amarilla - Argument] | Min 5' [Amarilla - Simulation]
788005,Resat Onur Coskunses,14138462,09/01/2026,2026-01-09,98,1. Lig,Trendyol 1.Lig,Vanspor FK,Boluspor,0,1,9,0,90,10,18,21,39,4,5,0,0,3,0,6,0,0,0,3,6,0,Min 90' [Amarilla - Argument] | Min 90' [Amarilla - Argument] | Min 78' [Amarilla - Foul] | Min 75' [Amarilla - Foul] | Min 70' [Amarilla - Foul] | Min 69' [Amarilla - Foul] | Min 45' [Amarilla - Argument] | Min 45' [Amarilla - Argument] | Min 10' [Amarilla - Foul]
788005,Resat Onur Coskunses,14138444,22/12/2025,2025-12-22,98,1. Lig,Trendyol 1.Lig,Bodrum FK,Amed Sportif Faaliyetler,0,0,3,0,30,41,9,16,25,1,2,0,0,3,0,0,0,0,0,3,0,0,Min 45' [Amarilla - Foul] | Min 44' [Amarilla - Foul] | Min 41' [Amarilla - Foul]
788005,Resat Onur Coskunses,14138405,30/11/2025,2025-11-30,98,1. Lig,Trendyol 1.Lig,Sarıyer,Bandırmaspor,1,0,5,0,50,34,8,15,23,2,3,0,0,4,0,1,0,0,0,4,1,0,Min 90' [Amarilla - Foul] | Min 42' [Amarilla - Argument] | Min 42' [Amarilla - Argument] | Min 42' [Amarilla - Foul] | Min 34' [Amarilla - Foul]
