referee_id,referee_name,event_id,date,date_iso,competition_id,competition_name,source_tournament_name,home_team,away_team,home_goals,away_goals,yellow_cards,red_cards,booking_points,first_card_minute,home_fouls,away_fouls,fouls_total,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,yellow_1h,red_1h,yellow_2h,red_2h,yellow_et,red_et,cards_1h,cards_2h,cards_et,card_details_raw
788021,Vlad Baban,16403820,25/07/2026,2026-07-25,152,Liga I,SuperLiga României,FCV Farul Constanța,FC Corvinul Hunedoara,2,0,4,1,60,3,9,11,20,2,2,0,1,2,0,2,1,0,0,2,3,0,Min 72' [Amarilla - Foul] | Min 66' [Amarilla - Foul] | Min 51' [Roja - Violent conduct] | Min 38' [Amarilla - Foul] | Min 3' [Amarilla - Foul]
788021,Vlad Baban,15698599,23/05/2026,2026-05-23,152,Liga I,SuperLiga României,FC Universitatea Cluj,FC Dinamo București,1,1,0,0,0,,4,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,Sin tarjetas
788021,Vlad Baban,14065047,07/03/2026,2026-03-07,152,Liga I,SuperLiga României,FC Metaloglobus București,UTA Arad,2,2,3,0,30,45,13,11,24,3,0,0,0,1,0,2,0,0,0,1,2,0,Min 90' [Amarilla - Foul] | Min 80' [Amarilla - Foul] | Min 45' [Amarilla - Time wasting]
788021,Vlad Baban,14060325,15/12/2025,2025-12-15,152,Liga I,SuperLiga României,AFC Unirea 04 Slobozia,FCSB,0,2,1,1,30,53,12,9,21,0,1,1,0,0,0,1,1,0,0,0,2,0,Min 56' [Roja - Professional foul last man] | Min 53' [Amarilla - Argument]
788021,Vlad Baban,14060316,01/12/2025,2025-12-01,152,Liga I,SuperLiga României,FC Petrolul Ploiești,FC Metaloglobus București,4,1,4,0,40,33,17,5,22,1,3,0,0,1,0,3,0,0,0,1,3,0,Min 78' [Amarilla - Argument] | Min 66' [Amarilla - Argument] | Min 65' [Amarilla - Foul] | Min 33' [Amarilla - Foul]
788021,Vlad Baban,14054719,17/08/2025,2025-08-17,152,Liga I,SuperLiga României,FK Csíkszereda Miercurea Ciuc,Universitatea Craiova,1,2,6,0,60,1,13,10,23,4,2,0,0,4,0,2,0,0,0,4,2,0,Min 90' [Amarilla - Argument] | Min 81' [Amarilla - Foul] | Min 43' [Amarilla - Foul] | Min 40' [Amarilla - Argument] | Min 40' [Amarilla - Argument] | Min 1' [Amarilla - Simulation]
788021,Vlad Baban,14054679,11/07/2025,2025-07-11,152,Liga I,SuperLiga României,FC Metaloglobus București,FC Universitatea Cluj,1,4,4,0,40,69,8,9,17,3,1,0,0,0,0,4,0,0,0,0,4,0,Min 88' [Amarilla - Foul] | Min 84' [Amarilla - Simulation] | Min 70' [Amarilla - Foul] | Min 69' [Amarilla - Foul]
788021,Vlad Baban,12487693,01/02/2025,2025-02-01,152,Liga I,SuperLiga României,FC Botoșani,Sepsi OSK Sfântu Gheorghe,0,0,5,1,70,2,9,15,24,2,3,1,0,4,0,1,1,0,0,4,2,0,Min 72' [Amarilla - Foul] | Min 68' [Roja - Foul] | Min 45' [Amarilla - Argument] | Min 19' [Amarilla - Argument] | Min 12' [Amarilla - Foul] | Min 2' [Amarilla - Sin motivo]
788021,Vlad Baban,12489726,18/10/2024,2024-10-18,152,Liga I,SuperLiga României,FC Gloria Buzău,FC Hermannstadt,3,0,7,1,90,48,10,12,22,3,4,0,1,0,0,7,1,0,0,0,8,0,Min 90' [Amarilla - Simulation] | Min 90' [Amarilla - Argument] | Min 89' [Amarilla - Time wasting] | Min 68' [Amarilla - Foul] | Min 64' [Amarilla - Foul] | Min 54' [Doble Amarilla - Foul] | Min 48' [Amarilla - Foul]
788021,Vlad Baban,12489812,19/07/2024,2024-07-19,152,Liga I,SuperLiga României,AFC Unirea 04 Slobozia,FCSB,2,2,5,0,50,48,16,11,27,3,2,0,0,0,0,5,0,0,0,0,5,0,Min 90' [Amarilla - Foul] | Min 64' [Amarilla - Argument] | Min 64' [Amarilla - Foul] | Min 49' [Amarilla - Foul] | Min 48' [Amarilla - Foul]
788021,Vlad Baban,11385098,23/09/2023,2023-09-23,152,Liga I,SuperLiga României,FC Botoșani,UTA Arad,2,2,3,1,50,33,14,14,28,2,1,0,1,2,0,1,1,0,0,2,2,0,Min 82' [Roja - Violent conduct] | Min 57' [Amarilla - Foul] | Min 43' [Amarilla - Foul] | Min 33' [Amarilla - Foul]
788021,Vlad Baban,10183170,08/04/2022,2022-04-08,152,Liga I,SuperLiga României,ACS Inter Ilfov,Chindia Târgoviște,0,3,3,0,30,37,13,6,19,2,1,0,0,1,0,2,0,0,0,1,2,0,Min 86' [Amarilla - Sin motivo] | Min 75' [Amarilla - Sin motivo] | Min 37' [Amarilla - Sin motivo]
788021,Vlad Baban,9625974,27/02/2022,2022-02-27,152,Liga I,SuperLiga României,FC Botoșani,CS Mioveni,0,0,7,0,70,9,9,15,24,3,4,0,0,4,0,3,0,0,0,4,3,0,Min 90' [Amarilla - Sin motivo] | Min 67' [Amarilla - Sin motivo] | Min 46' [Amarilla - Sin motivo] | Min 43' [Amarilla - Sin motivo] | Min 42' [Amarilla - Sin motivo] | Min 32' [Amarilla - Sin motivo] | Min 9' [Amarilla - Sin motivo]
