referee_id,referee_name,event_id,date,date_iso,competition_id,competition_name,source_tournament_name,home_team,away_team,home_goals,away_goals,yellow_cards,red_cards,booking_points,first_card_minute,home_fouls,away_fouls,fouls_total,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,yellow_1h,red_1h,yellow_2h,red_2h,yellow_et,red_et,cards_1h,cards_2h,cards_et,card_details_raw
78821,Mikael Lesage,14391187,02/05/2026,2026-05-02,182,Ligue 2,Ligue 2,USL Dunkerque,Grenoble Foot 38,0,1,4,1,60,21,9,7,16,2,2,0,1,1,1,3,0,0,0,2,3,0,Min 88' [Amarilla - Time wasting] | Min 74' [Amarilla - Simulation] | Min 58' [Amarilla - Foul] | Min 31' [Amarilla - Foul] | Min 21' [Roja - Foul]
78821,Mikael Lesage,14064775,24/04/2026,2026-04-24,182,Ligue 2,Ligue 2,Clermont Foot,Bastia,1,1,3,2,70,32,12,16,28,2,1,1,1,1,0,2,2,0,0,1,4,0,Min 75' [Roja - Foul] | Min 65' [Amarilla - Foul] | Min 52' [Amarilla - Foul] | Min 47' [Roja - Foul] | Min 32' [Amarilla - Foul]
78821,Mikael Lesage,15489810,06/04/2026,2026-04-06,182,Ligue 2,Ligue 2,Le Mans,Pau FC,4,0,4,0,40,38,20,4,24,1,3,0,0,2,0,2,0,0,0,2,2,0,Min 62' [Amarilla - Foul] | Min 58' [Amarilla - Argument] | Min 38' [Amarilla - Foul] | Min 38' [Amarilla - Argument]
78821,Mikael Lesage,14064733,14/03/2026,2026-03-14,182,Ligue 2,Ligue 2,Stade de Reims,Rodez AF,1,2,5,1,70,4,14,13,27,2,3,1,0,1,0,4,1,0,0,1,5,0,Min 90' [Amarilla - Argument] | Min 90' [Amarilla - Argument] | Min 90' [Roja - Professional foul last man] | Min 90' [Amarilla - Foul] | Min 81' [Amarilla - Foul] | Min 4' [Amarilla - Foul]
78821,Mikael Lesage,14064837,20/02/2026,2026-02-20,182,Ligue 2,Ligue 2,Nancy,Grenoble Foot 38,0,0,2,1,40,18,9,14,23,1,1,0,1,1,0,1,1,0,0,1,2,0,Min 90' [Amarilla - Foul] | Min 71' [Roja - Foul] | Min 18' [Amarilla - Foul]
78821,Mikael Lesage,14064824,06/02/2026,2026-02-06,182,Ligue 2,Ligue 2,Red Star FC,Pau FC,0,3,5,0,50,22,14,9,23,3,2,0,0,2,0,3,0,0,0,2,3,0,Min 83' [Amarilla - Foul] | Min 82' [Amarilla - Argument] | Min 50' [Amarilla - Foul] | Min 31' [Amarilla - Foul] | Min 22' [Amarilla - Foul]
78821,Mikael Lesage,14064709,23/01/2026,2026-01-23,182,Ligue 2,Ligue 2,Amiens SC,Stade Lavallois,0,0,4,0,40,50,17,19,36,1,3,0,0,0,0,4,0,0,0,0,4,0,Min 78' [Amarilla - Foul] | Min 66' [Amarilla - Foul] | Min 61' [Amarilla - Foul] | Min 50' [Amarilla - Foul]
78821,Mikael Lesage,14064814,03/01/2026,2026-01-03,182,Ligue 2,Ligue 2,Pau FC,Rodez AF,3,3,4,1,60,29,10,10,20,2,2,0,1,3,0,1,1,0,0,3,2,0,Min 90' [Roja - Foul] | Min 73' [Amarilla - Foul] | Min 41' [Amarilla - Foul] | Min 31' [Amarilla - Foul] | Min 29' [Amarilla - Foul]
78821,Mikael Lesage,14064790,06/12/2025,2025-12-06,182,Ligue 2,Ligue 2,USL Dunkerque,Saint-Étienne,1,0,4,0,40,52,8,11,19,2,2,0,0,0,0,4,0,0,0,0,4,0,Min 90' [Amarilla - Time wasting] | Min 90' [Amarilla - Argument] | Min 73' [Amarilla - Foul] | Min 52' [Amarilla - Foul]
78821,Mikael Lesage,14064673,07/11/2025,2025-11-07,182,Ligue 2,Ligue 2,Grenoble Foot 38,Rodez AF,2,1,7,0,70,47,11,10,21,5,2,0,0,0,0,7,0,0,0,0,7,0,Min 90' [Amarilla - Foul] | Min 86' [Amarilla - Foul] | Min 75' [Amarilla - Foul] | Min 73' [Amarilla - Foul] | Min 59' [Amarilla - Sin motivo] | Min 56' [Amarilla - Foul] | Min 47' [Amarilla - Foul]
