referee_id,referee_name,event_id,date,date_iso,competition_id,competition_name,source_tournament_name,home_team,away_team,home_goals,away_goals,yellow_cards,red_cards,booking_points,first_card_minute,home_fouls,away_fouls,fouls_total,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,yellow_1h,red_1h,yellow_2h,red_2h,yellow_et,red_et,cards_1h,cards_2h,cards_et,card_details_raw
788392,Simone Galipo,13980073,08/05/2026,2026-05-08,23,Serie A,Serie A,Torino,Sassuolo,2,1,6,0,60,38,13,9,22,4,2,0,0,1,0,5,0,0,0,1,5,0,Min 90' [Amarilla - Foul] | Min 89' [Amarilla - Foul] | Min 86' [Amarilla - Foul] | Min 63' [Amarilla - Foul] | Min 51' [Amarilla - Foul] | Min 38' [Amarilla - Foul]
788392,Simone Galipo,14317557,11/04/2026,2026-04-11,53,Serie B,Serie B,Virtus Entella,Venezia,1,1,7,1,90,43,13,21,34,3,4,0,1,1,0,6,1,0,0,1,7,0,Min 90' [Amarilla - Foul] | Min 90' [Amarilla - Foul] | Min 89' [Amarilla - Foul] | Min 87' [Amarilla - Foul] | Min 74' [Amarilla - Foul] | Min 66' [Roja - Violent conduct] | Min 60' [Amarilla - Foul] | Min 43' [Amarilla - Foul]
788392,Simone Galipo,14317591,18/03/2026,2026-03-18,53,Serie B,Serie B,US Avellino 1912,Südtirol,3,2,11,0,110,1,14,28,42,5,6,0,0,2,0,9,0,0,0,2,9,0,Min 90' [Amarilla - Foul] | Min 80' [Amarilla - Argument] | Min 62' [Amarilla - Foul] | Min 58' [Amarilla - Handball] | Min 56' [Amarilla - Foul] | Min 52' [Amarilla - Argument] | Min 47' [Amarilla - Argument] | Min 47' [Amarilla - Argument] | Min 46' [Amarilla - Handball] | Min 32' [Amarilla - Argument] | Min 1' [Amarilla - Foul]
788392,Simone Galipo,14317749,08/03/2026,2026-03-08,53,Serie B,Serie B,Pescara,Bari,4,0,3,0,30,28,18,10,28,2,1,0,0,2,0,1,0,0,0,2,1,0,Min 79' [Amarilla - Foul] | Min 30' [Amarilla - Foul] | Min 28' [Amarilla - Foul]
788392,Simone Galipo,14317568,01/03/2026,2026-03-01,53,Serie B,Serie B,Catanzaro,Frosinone,2,2,5,0,50,28,16,17,33,1,4,0,0,1,0,4,0,0,0,1,4,0,Min 90' [Amarilla - Foul] | Min 89' [Amarilla - Argument] | Min 89' [Amarilla - Foul] | Min 68' [Amarilla - Foul] | Min 28' [Amarilla - Foul]
788392,Simone Galipo,14317769,14/02/2026,2026-02-14,53,Serie B,Serie B,Cesena,Venezia,0,4,4,0,40,36,11,14,25,3,1,0,0,1,0,3,0,0,0,1,3,0,Min 86' [Amarilla - Foul] | Min 70' [Amarilla - Argument] | Min 70' [Amarilla - Argument] | Min 36' [Amarilla - Foul]
788392,Simone Galipo,14317759,10/02/2026,2026-02-10,53,Serie B,Serie B,Pescara,Catanzaro,0,2,6,0,60,32,22,19,41,3,3,0,0,3,0,3,0,0,0,3,3,0,Min 59' [Amarilla - Foul] | Min 57' [Amarilla - Foul] | Min 55' [Amarilla - Time wasting] | Min 45' [Amarilla - Foul] | Min 38' [Amarilla - Foul] | Min 32' [Amarilla - Foul]
788392,Simone Galipo,14317898,31/01/2026,2026-01-31,53,Serie B,Serie B,Virtus Entella,Frosinone,1,1,4,0,40,19,18,20,38,2,2,0,0,2,0,2,0,0,0,2,2,0,Min 53' [Amarilla - Foul] | Min 47' [Amarilla - Foul] | Min 19' [Amarilla - Argument] | Min 19' [Amarilla - Foul]
788392,Simone Galipo,14317721,17/01/2026,2026-01-17,53,Serie B,Serie B,Reggiana,Cesena,1,2,5,0,50,21,12,14,26,2,3,0,0,3,0,2,0,0,0,3,2,0,Min 90' [Amarilla - Foul] | Min 90' [Amarilla - Foul] | Min 42' [Amarilla - Foul] | Min 29' [Amarilla - Foul] | Min 21' [Amarilla - Foul]
788392,Simone Galipo,14317839,20/12/2025,2025-12-20,53,Serie B,Serie B,US Avellino 1912,Palermo,2,2,8,1,100,18,15,22,37,4,4,0,1,1,0,7,1,0,0,1,8,0,Min 90' [Amarilla - Time wasting] | Min 87' [Doble Amarilla - Foul] | Min 82' [Amarilla - Argument] | Min 76' [Amarilla - Foul] | Min 75' [Amarilla - Foul] | Min 61' [Amarilla - Foul] | Min 56' [Amarilla - Foul] | Min 18' [Amarilla - Foul]
788392,Simone Galipo,14317844,13/12/2025,2025-12-13,53,Serie B,Serie B,Venezia,Monza,2,0,4,0,40,10,13,16,29,1,3,0,0,3,0,1,0,0,0,3,1,0,Min 90' [Amarilla - Foul] | Min 38' [Amarilla - Foul] | Min 14' [Amarilla - Foul] | Min 10' [Amarilla - Foul]
788392,Simone Galipo,14317815,29/11/2025,2025-11-29,53,Serie B,Serie B,Reggiana,Frosinone,0,1,4,0,40,10,19,17,36,1,3,0,0,1,0,3,0,0,0,1,3,0,Min 76' [Amarilla - Argument] | Min 76' [Amarilla - Argument] | Min 73' [Amarilla - Foul] | Min 10' [Amarilla - Foul]
788392,Simone Galipo,14317857,08/11/2025,2025-11-08,53,Serie B,Serie B,Empoli,Catanzaro,1,0,9,1,110,27,21,11,32,5,4,1,0,3,1,6,0,0,0,4,6,0,Min 90' [Amarilla - Foul] | Min 72' [Amarilla - Time wasting] | Min 70' [Amarilla - Argument] | Min 66' [Amarilla - Argument] | Min 66' [Amarilla - Argument] | Min 55' [Amarilla - Foul] | Min 44' [Doble Amarilla - Foul] | Min 31' [Amarilla - Foul] | Min 27' [Amarilla - Foul]
788392,Simone Galipo,14318008,28/10/2025,2025-10-28,53,Serie B,Serie B,Frosinone,Virtus Entella,4,0,1,0,10,67,13,15,28,1,0,0,0,0,0,1,0,0,0,0,1,0,Min 67' [Amarilla - Foul]
788392,Simone Galipo,14317806,19/10/2025,2025-10-19,53,Serie B,Serie B,Catanzaro,Padova,0,1,7,0,70,39,15,18,33,3,4,0,0,2,0,5,0,0,0,2,5,0,Min 74' [Amarilla - Foul] | Min 72' [Amarilla - Foul] | Min 67' [Amarilla - Time wasting] | Min 57' [Amarilla - Foul] | Min 48' [Amarilla - Foul] | Min 45' [Amarilla - Foul] | Min 39' [Amarilla - Foul]
788392,Simone Galipo,14317988,01/10/2025,2025-10-01,53,Serie B,Serie B,Carrarese,Modena,0,0,6,0,60,29,,,,2,4,0,0,3,0,3,0,0,0,3,3,0,Min 55' [Amarilla - Foul] | Min 54' [Amarilla - Foul] | Min 48' [Amarilla - Foul] | Min 45' [Amarilla - Foul] | Min 43' [Amarilla - Foul] | Min 29' [Amarilla - Foul]
788392,Simone Galipo,14317960,21/09/2025,2025-09-21,53,Serie B,Serie B,Padova,Virtus Entella,2,1,5,1,70,11,16,19,35,0,5,0,1,1,0,4,1,0,0,1,5,0,Min 89' [Amarilla - Foul] | Min 51' [Amarilla - Argument] | Min 51' [Doble Amarilla - Foul] | Min 46' [Amarilla - Foul] | Min 11' [Amarilla - Foul]
788392,Simone Galipo,14317949,31/08/2025,2025-08-31,53,Serie B,Serie B,Bari,Monza,1,1,6,0,60,4,11,22,33,2,4,0,0,4,0,2,0,0,0,4,2,0,Min 88' [Amarilla - Foul] | Min 82' [Amarilla - Foul] | Min 33' [Amarilla - Foul] | Min 27' [Amarilla - Foul] | Min 19' [Amarilla - Foul] | Min 4' [Amarilla - Foul]
788392,Simone Galipo,12527851,04/05/2025,2025-05-04,53,Serie B,Serie B,Cremonese,Sassuolo,1,1,4,0,40,57,16,18,34,3,1,0,0,0,0,4,0,0,0,0,4,0,Min 90' [Amarilla - Argument] | Min 90' [Amarilla - Foul] | Min 75' [Amarilla - Foul] | Min 57' [Amarilla - Foul]
788392,Simone Galipo,12527767,13/04/2025,2025-04-13,53,Serie B,Serie B,Cesena,Frosinone,1,1,2,0,20,30,15,12,27,0,2,0,0,1,0,1,0,0,0,1,1,0,Min 62' [Amarilla - Foul] | Min 30' [Amarilla - Foul]
788392,Simone Galipo,12527503,08/03/2025,2025-03-08,53,Serie B,Serie B,Brescia,Cesena,1,1,6,0,60,3,12,21,33,3,3,0,0,3,0,3,0,0,0,3,3,0,Min 90' [Amarilla - Foul] | Min 89' [Amarilla - Argument] | Min 69' [Amarilla - Foul] | Min 32' [Amarilla - Foul] | Min 24' [Amarilla - Foul] | Min 3' [Amarilla - Foul]
788392,Simone Galipo,12527576,16/02/2025,2025-02-16,53,Serie B,Serie B,Palermo,Mantova,2,2,5,1,70,60,10,18,28,1,4,1,0,0,0,5,1,0,0,0,6,0,Min 90' [Amarilla - Foul] | Min 79' [Amarilla - Foul] | Min 69' [Roja - Violent conduct] | Min 67' [Amarilla - Argument] | Min 67' [Amarilla - Foul] | Min 60' [Amarilla - Foul]
788392,Simone Galipo,12527805,01/02/2025,2025-02-01,53,Serie B,Serie B,Catanzaro,Cesena,4,2,5,0,50,40,15,14,29,2,3,0,0,1,0,4,0,0,0,1,4,0,Min 83' [Amarilla - Argument] | Min 83' [Amarilla - Time wasting] | Min 62' [Amarilla - Foul] | Min 54' [Amarilla - Foul] | Min 40' [Amarilla - Foul]
788392,Simone Galipo,12527770,18/01/2025,2025-01-18,53,Serie B,Serie B,Cremonese,Cosenza,3,1,6,1,80,16,12,19,31,2,4,0,1,4,0,2,1,0,0,4,3,0,Min 68' [Amarilla - Foul] | Min 62' [Doble Amarilla - Foul] | Min 43' [Amarilla - Foul] | Min 31' [Amarilla - Foul] | Min 29' [Amarilla - Foul] | Min 16' [Amarilla - Foul]
788392,Simone Galipo,12527958,29/12/2024,2024-12-29,53,Serie B,Serie B,Cittadella,Palermo,2,1,7,0,70,11,17,16,33,4,3,0,0,3,0,4,0,0,0,3,4,0,Min 90' [Amarilla - Foul] | Min 90' [Amarilla - Sin motivo] | Min 87' [Amarilla - Foul] | Min 53' [Amarilla - Foul] | Min 32' [Amarilla - Foul] | Min 27' [Amarilla - Foul] | Min 11' [Amarilla - Foul]
788392,Simone Galipo,12527926,14/12/2024,2024-12-14,53,Serie B,Serie B,Cesena,Cosenza,2,1,9,1,110,42,19,18,37,5,4,0,1,3,0,6,1,0,0,3,7,0,Min 90' [Roja - Violent conduct] | Min 90' [Amarilla - Foul] | Min 88' [Amarilla - Foul] | Min 87' [Amarilla - Foul] | Min 83' [Amarilla - Time wasting] | Min 76' [Amarilla - Foul] | Min 75' [Amarilla - Time wasting] | Min 45' [Amarilla - Argument] | Min 43' [Amarilla - Foul] | Min 42' [Amarilla - Foul]
