referee_id,referee_name,event_id,date,date_iso,competition_id,competition_name,source_tournament_name,home_team,away_team,home_goals,away_goals,yellow_cards,red_cards,booking_points,first_card_minute,home_fouls,away_fouls,fouls_total,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,yellow_1h,red_1h,yellow_2h,red_2h,yellow_et,red_et,cards_1h,cards_2h,cards_et,card_details_raw
788516,Rafael Rodrigo Klein,15235451,23/08/2026,2026-08-23,325,Brasileirão Série A,Brasileirão Betano,Chapecoense,São Paulo,1,0,4,0,40,62,17,7,24,4,0,0,0,0,0,4,0,0,0,0,4,0,Min 88' [Amarilla - Time wasting] | Min 73' [Amarilla - Foul] | Min 71' [Amarilla - Time wasting] | Min 62' [Amarilla - Foul]
788516,Rafael Rodrigo Klein,15235426,16/08/2026,2026-08-16,325,Brasileirão Série A,Brasileirão Betano,Mirassol,Flamengo,1,5,3,0,30,45,12,4,16,3,0,0,0,1,0,2,0,0,0,1,2,0,Min 85' [Amarilla - Foul] | Min 51' [Amarilla - Foul] | Min 45' [Amarilla - Foul]
788516,Rafael Rodrigo Klein,15235464,09/08/2026,2026-08-09,325,Brasileirão Série A,Brasileirão Betano,Santos,Athletico,0,2,2,0,20,20,12,11,23,1,1,0,0,2,0,0,0,0,0,2,0,0,Min 34' [Amarilla - Foul] | Min 20' [Amarilla - Foul]
788516,Rafael Rodrigo Klein,15235487,25/07/2026,2026-07-25,325,Brasileirão Série A,Brasileirão Betano,Vasco da Gama,Mirassol,1,1,2,0,20,65,12,7,19,1,1,0,0,0,0,2,0,0,0,0,2,0,Min 83' [Amarilla - Foul] | Min 65' [Amarilla - Time wasting]
788516,Rafael Rodrigo Klein,15237984,22/07/2026,2026-07-22,325,Brasileirão Série A,Brasileirão Betano,Chapecoense,Flamengo,0,4,1,0,10,53,9,8,17,1,0,0,0,0,0,1,0,0,0,0,1,0,Min 53' [Amarilla - Foul]
788516,Rafael Rodrigo Klein,15526145,18/06/2026,2026-06-18,390,Brasileirão Série B,Brasileirão Série B,Sport Recife,Atlético Goianiense,1,1,4,0,40,40,16,18,34,2,2,0,0,1,0,3,0,0,0,1,3,0,Min 90' [Amarilla - Time wasting] | Min 90' [Amarilla - Foul] | Min 85' [Amarilla - Foul] | Min 40' [Amarilla - Foul]
788516,Rafael Rodrigo Klein,15235580,30/05/2026,2026-05-30,325,Brasileirão Série A,Brasileirão Betano,Santos,Vitória,3,1,7,1,90,16,17,8,25,3,4,1,0,3,0,4,1,0,0,3,5,0,Min 90' [Amarilla - Argument] | Min 79' [Amarilla - Time wasting] | Min 60' [Roja - Argument] | Min 57' [Amarilla - Sin motivo] | Min 53' [Amarilla - Foul] | Min 45' [Amarilla - Simulation] | Min 21' [Amarilla - Foul] | Min 16' [Amarilla - Foul]
788516,Rafael Rodrigo Klein,15235571,24/05/2026,2026-05-24,325,Brasileirão Série A,Brasileirão Betano,Corinthians,Atlético Mineiro,1,0,3,0,30,37,15,14,29,1,2,0,0,1,0,2,0,0,0,1,2,0,Min 61' [Amarilla - Foul] | Min 55' [Amarilla - Foul] | Min 37' [Amarilla - Foul]
788516,Rafael Rodrigo Klein,15235588,17/05/2026,2026-05-17,325,Brasileirão Série A,Brasileirão Betano,Athletico,Flamengo,1,1,5,1,70,25,9,12,21,2,3,0,1,2,0,3,1,0,0,2,4,0,Min 90' [Doble Amarilla - Foul] | Min 70' [Amarilla - Foul] | Min 56' [Amarilla - Foul] | Min 40' [Amarilla - Foul] | Min 25' [Amarilla - Foul]
788516,Rafael Rodrigo Klein,15235565,10/05/2026,2026-05-10,325,Brasileirão Série A,Brasileirão Betano,Remo,Palmeiras,1,1,3,1,50,5,6,6,12,1,2,1,0,2,0,1,1,0,0,2,2,0,Min 90' [Amarilla - Argument] | Min 74' [Roja - Violent conduct] | Min 32' [Amarilla - Foul] | Min 5' [Amarilla - Foul]
788516,Rafael Rodrigo Klein,15235551,02/05/2026,2026-05-02,325,Brasileirão Série A,Brasileirão Betano,Vitória,Coritiba,4,1,4,1,60,23,13,11,24,3,1,0,1,2,1,2,0,0,0,3,2,0,Min 86' [Amarilla - Sin motivo] | Min 46' [Amarilla - Foul] | Min 32' [Amarilla - Foul] | Min 26' [Roja - Professional foul last man] | Min 23' [Amarilla - Foul]
