referee_id,referee_name,event_id,date,date_iso,competition_id,competition_name,source_tournament_name,home_team,away_team,home_goals,away_goals,yellow_cards,red_cards,booking_points,first_card_minute,home_fouls,away_fouls,fouls_total,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,yellow_1h,red_1h,yellow_2h,red_2h,yellow_et,red_et,cards_1h,cards_2h,cards_et,card_details_raw
788559,Felix Wagner,16434350,28/08/2026,2026-08-28,44,2. Bundesliga,2. Bundesliga,VfL Bochum 1848,VfL Osnabrück,0,1,7,0,70,45,15,12,27,3,4,0,0,1,0,6,0,0,0,1,6,0,Min 90' [Amarilla - Foul] | Min 90' [Amarilla - Foul] | Min 86' [Amarilla - Argument] | Min 72' [Amarilla - Foul] | Min 64' [Amarilla - Foul] | Min 49' [Amarilla - Foul] | Min 45' [Amarilla - Foul]
788559,Felix Wagner,14065510,18/04/2026,2026-04-18,44,2. Bundesliga,2. Bundesliga,1. FC Magdeburg,Fortuna Düsseldorf,2,0,4,0,40,72,6,13,19,1,3,0,0,0,0,4,0,0,0,0,4,0,Min 89' [Amarilla - Foul] | Min 76' [Amarilla - Foul] | Min 73' [Amarilla - Foul] | Min 72' [Amarilla - Simulation]
788559,Felix Wagner,14065489,21/03/2026,2026-03-21,44,2. Bundesliga,2. Bundesliga,1. FC Nürnberg,1. FC Kaiserslautern,3,0,4,0,40,15,10,14,24,1,3,0,0,3,0,1,0,0,0,3,1,0,Min 55' [Amarilla - Argument] | Min 36' [Amarilla - Foul] | Min 26' [Amarilla - Argument] | Min 15' [Amarilla - Foul]
788559,Felix Wagner,14065447,21/02/2026,2026-02-21,44,2. Bundesliga,2. Bundesliga,SV 07 Elversberg,Eintracht Braunschweig,3,1,2,0,20,71,7,12,19,1,1,0,0,0,0,2,0,0,0,0,2,0,Min 72' [Amarilla - Simulation] | Min 71' [Amarilla - Foul]
788559,Felix Wagner,14065429,01/02/2026,2026-02-01,44,2. Bundesliga,2. Bundesliga,SG Dynamo Dresden,Arminia Bielefeld,1,1,5,1,70,26,13,12,25,2,3,1,0,2,0,3,1,0,0,2,4,0,Min 90' [Doble Amarilla - Time wasting] | Min 90' [Amarilla - Foul] | Min 85' [Amarilla - Foul] | Min 31' [Amarilla - Foul] | Min 26' [Amarilla - Foul]
788559,Felix Wagner,14065400,21/12/2025,2025-12-21,44,2. Bundesliga,2. Bundesliga,Preußen Münster,SV 07 Elversberg,1,1,4,0,40,45,19,11,30,2,2,0,0,1,0,3,0,0,0,1,3,0,Min 74' [Amarilla - Foul] | Min 66' [Amarilla - Foul] | Min 58' [Amarilla - Foul] | Min 45' [Amarilla - Time wasting]
788559,Felix Wagner,14065365,29/11/2025,2025-11-29,44,2. Bundesliga,2. Bundesliga,Holstein Kiel,Hertha BSC,0,1,8,0,80,3,13,14,27,2,6,0,0,2,0,6,0,0,0,2,6,0,Min 90' [Amarilla - Argument] | Min 90' [Amarilla - Foul] | Min 85' [Amarilla - Foul] | Min 62' [Amarilla - Foul] | Min 61' [Amarilla - Foul] | Min 54' [Amarilla - Foul] | Min 45' [Amarilla - Foul] | Min 3' [Amarilla - Foul]
788559,Felix Wagner,14065338,02/11/2025,2025-11-02,44,2. Bundesliga,2. Bundesliga,VfL Bochum 1848,1. FC Magdeburg,2,0,6,0,60,36,10,5,15,2,4,0,0,1,0,5,0,0,0,1,5,0,Min 90' [Amarilla - Foul] | Min 84' [Amarilla - Foul] | Min 78' [Amarilla - Argument] | Min 60' [Amarilla - Argument] | Min 54' [Amarilla - Foul] | Min 36' [Amarilla - Foul]
788559,Felix Wagner,14065304,27/09/2025,2025-09-27,44,2. Bundesliga,2. Bundesliga,SV 07 Elversberg,Holstein Kiel,1,0,6,0,60,46,11,14,25,4,2,0,0,0,0,6,0,0,0,0,6,0,Min 90' [Amarilla - Simulation] | Min 86' [Amarilla - Foul] | Min 81' [Amarilla - Foul] | Min 68' [Amarilla - Argument] | Min 64' [Amarilla - Handball] | Min 46' [Amarilla - Foul]
788559,Felix Wagner,14065269,23/08/2025,2025-08-23,44,2. Bundesliga,2. Bundesliga,Karlsruher SC,Eintracht Braunschweig,2,0,7,1,90,35,23,14,37,3,4,0,1,2,0,5,1,0,0,2,6,0,Min 90' [Roja - Professional foul last man] | Min 85' [Amarilla - Foul] | Min 84' [Amarilla - Foul] | Min 79' [Amarilla - Foul] | Min 70' [Amarilla - Foul] | Min 54' [Amarilla - Foul] | Min 42' [Amarilla - Foul] | Min 35' [Amarilla - Foul]
