referee_id,referee_name,event_id,date,date_iso,competition_id,competition_name,source_tournament_name,home_team,away_team,home_goals,away_goals,yellow_cards,red_cards,booking_points,first_card_minute,home_fouls,away_fouls,fouls_total,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,yellow_1h,red_1h,yellow_2h,red_2h,yellow_et,red_et,cards_1h,cards_2h,cards_et,card_details_raw
788696,Edward Duckworth,16391153,22/08/2026,2026-08-22,18,Championship,Championship,Queens Park Rangers,Bolton Wanderers,0,0,3,0,30,45,6,8,14,1,2,0,0,1,0,2,0,0,0,1,2,0,Min 75' [Amarilla - Foul] | Min 73' [Amarilla - Foul] | Min 45' [Amarilla - Foul]
788696,Edward Duckworth,16395372,15/08/2026,2026-08-15,24,League One,League One,Notts County,Leicester City,1,1,3,0,30,15,15,11,26,2,1,0,0,3,0,0,0,0,0,3,0,0,Min 44' [Amarilla - Foul] | Min 43' [Amarilla - Argument] | Min 15' [Amarilla - Foul]
788696,Edward Duckworth,14061468,02/05/2026,2026-05-02,24,League One,League One,Peterborough United,Doncaster Rovers,1,3,4,0,40,38,10,10,20,1,3,0,0,1,0,3,0,0,0,1,3,0,Min 87' [Amarilla - Foul] | Min 68' [Amarilla - Foul] | Min 56' [Amarilla - Foul] | Min 38' [Amarilla - Foul]
788696,Edward Duckworth,14061415,25/04/2026,2026-04-25,24,League One,League One,Cardiff City,Northampton Town,5,1,2,0,20,42,12,8,20,1,1,0,0,1,0,1,0,0,0,1,1,0,Min 74' [Amarilla - Foul] | Min 42' [Amarilla - Time wasting]
788696,Edward Duckworth,14061385,18/04/2026,2026-04-18,24,League One,League One,Mansfield Town,Luton Town,2,2,3,0,30,66,12,9,21,2,1,0,0,0,0,3,0,0,0,0,3,0,Min 84' [Amarilla - Foul] | Min 66' [Amarilla - Argument] | Min 66' [Amarilla - Time wasting]
788696,Edward Duckworth,15519308,14/04/2026,2026-04-14,25,League Two,League Two,Barrow AFC,Oldham Athletic,3,2,4,0,40,11,7,16,23,3,1,0,0,2,0,2,0,0,0,2,2,0,Min 61' [Amarilla - Argument] | Min 53' [Amarilla - Foul] | Min 22' [Amarilla - Foul] | Min 11' [Amarilla - Simulation]
788696,Edward Duckworth,14059955,11/04/2026,2026-04-11,18,Championship,Championship,Queens Park Rangers,Bristol City,0,0,6,0,60,27,10,13,23,4,2,0,0,1,0,5,0,0,0,1,5,0,Min 89' [Amarilla - Foul] | Min 85' [Amarilla - Foul] | Min 75' [Amarilla - Foul] | Min 66' [Amarilla - Foul] | Min 55' [Amarilla - Argument] | Min 27' [Amarilla - Foul]
788696,Edward Duckworth,14060745,06/04/2026,2026-04-06,25,League Two,League Two,Notts County,Newport County,3,1,5,0,50,60,7,17,24,2,3,0,0,0,0,5,0,0,0,0,5,0,Min 90' [Amarilla - Argument] | Min 90' [Amarilla - Argument] | Min 76' [Amarilla - Foul] | Min 64' [Amarilla - Simulation] | Min 60' [Amarilla - Foul]
788696,Edward Duckworth,14061699,03/04/2026,2026-04-03,24,League One,League One,Lincoln City,AFC Wimbledon,1,0,6,0,60,52,12,16,28,1,5,0,0,0,0,6,0,0,0,0,6,0,Min 90' [Amarilla - Persistent fouling] | Min 90' [Amarilla - Argument] | Min 76' [Amarilla - Time wasting] | Min 61' [Amarilla - Foul] | Min 59' [Amarilla - Foul] | Min 52' [Amarilla - Foul]
788696,Edward Duckworth,14061060,28/03/2026,2026-03-28,25,League Two,League Two,Crawley Town,Gillingham,2,0,4,0,40,34,10,21,31,1,3,0,0,1,0,3,0,0,0,1,3,0,Min 79' [Amarilla - Foul] | Min 73' [Amarilla - Foul] | Min 64' [Amarilla - Foul] | Min 34' [Amarilla - Foul]
788696,Edward Duckworth,14061606,21/03/2026,2026-03-21,24,League One,League One,Wigan Athletic,Exeter City,2,0,4,0,40,29,7,16,23,1,3,0,0,1,0,3,0,0,0,1,3,0,Min 90' [Amarilla - Argument] | Min 90' [Amarilla - Argument] | Min 69' [Amarilla - Foul] | Min 29' [Amarilla - Foul]
788696,Edward Duckworth,14061516,17/03/2026,2026-03-17,24,League One,League One,Burton Albion,Reading,1,2,2,0,20,77,12,6,18,1,1,0,0,0,0,2,0,0,0,0,2,0,Min 90' [Amarilla - Argument] | Min 77' [Amarilla - Foul]
788696,Edward Duckworth,14060818,07/03/2026,2026-03-07,25,League Two,League Two,Bristol Rovers,Crewe Alexandra,2,1,7,0,70,30,8,13,21,3,4,0,0,2,0,5,0,0,0,2,5,0,Min 90' [Amarilla - Argument] | Min 90' [Amarilla - Argument] | Min 90' [Amarilla - Argument] | Min 90' [Amarilla - Argument] | Min 84' [Amarilla - Argument] | Min 33' [Amarilla - Foul] | Min 30' [Amarilla - Time wasting]
788696,Edward Duckworth,14061216,28/02/2026,2026-02-28,24,League One,League One,Doncaster Rovers,Cardiff City,0,4,2,0,20,45,11,4,15,2,0,0,0,1,0,1,0,0,0,1,1,0,Min 77' [Amarilla - Foul] | Min 45' [Amarilla - Foul]
788696,Edward Duckworth,14061032,21/02/2026,2026-02-21,24,League One,League One,Northampton Town,Leyton Orient,1,2,3,0,30,45,8,14,22,1,2,0,0,1,0,2,0,0,0,1,2,0,Min 72' [Amarilla - Time wasting] | Min 65' [Amarilla - Foul] | Min 45' [Amarilla - Foul]
788696,Edward Duckworth,14061200,17/02/2026,2026-02-17,25,League Two,League Two,Tranmere Rovers,Accrington Stanley,0,1,4,2,80,29,7,10,17,1,3,0,2,1,0,3,2,0,0,1,5,0,Min 90' [Roja - Violent conduct] | Min 90' [Amarilla - Time wasting] | Min 80' [Amarilla - Foul] | Min 63' [Roja - Foul] | Min 51' [Amarilla - Foul] | Min 29' [Amarilla - Foul]
788696,Edward Duckworth,14059841,14/02/2026,2026-02-14,18,Championship,Championship,Sheffield Wednesday,Millwall,1,2,5,0,50,36,9,12,21,3,2,0,0,2,0,3,0,0,0,2,3,0,Min 87' [Amarilla - Foul] | Min 67' [Amarilla - Simulation] | Min 50' [Amarilla - Argument] | Min 40' [Amarilla - Foul] | Min 36' [Amarilla - Foul]
