referee_id,referee_name,event_id,date,date_iso,competition_id,competition_name,source_tournament_name,home_team,away_team,home_goals,away_goals,yellow_cards,red_cards,booking_points,first_card_minute,home_fouls,away_fouls,fouls_total,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,yellow_1h,red_1h,yellow_2h,red_2h,yellow_et,red_et,cards_1h,cards_2h,cards_et,card_details_raw
788834,Scott Jackson,16395381,15/08/2026,2026-08-15,24,League One,League One,Huddersfield Town,AFC Wimbledon,3,0,3,1,50,15,9,7,16,1,2,1,0,1,1,2,0,0,0,2,2,0,Min 74' [Amarilla - Foul] | Min 49' [Amarilla - Time wasting] | Min 29' [Roja - Foul] | Min 15' [Amarilla - Time wasting]
788834,Scott Jackson,14060282,02/05/2026,2026-05-02,25,League Two,League Two,Bromley,Walsall,3,1,4,0,40,30,4,10,14,0,4,0,0,3,0,1,0,0,0,3,1,0,Min 88' [Amarilla - Foul] | Min 35' [Amarilla - Foul] | Min 33' [Amarilla - Foul] | Min 30' [Amarilla - Foul]
788834,Scott Jackson,15893346,21/04/2026,2026-04-21,24,League One,League One,Stockport County,Mansfield Town,0,1,8,0,80,37,8,7,15,3,5,0,0,3,0,5,0,0,0,3,5,0,Min 90' [Amarilla - Argument] | Min 90' [Amarilla - Foul] | Min 82' [Amarilla - Foul] | Min 71' [Amarilla - Foul] | Min 49' [Amarilla - Foul] | Min 45' [Amarilla - Foul] | Min 42' [Amarilla - Foul] | Min 37' [Amarilla - Foul]
788834,Scott Jackson,14061257,11/04/2026,2026-04-11,24,League One,League One,Doncaster Rovers,Reading,1,0,3,0,30,37,9,11,20,1,2,0,0,1,0,2,0,0,0,1,2,0,Min 90' [Amarilla - Time wasting] | Min 67' [Amarilla - Foul] | Min 37' [Amarilla - Handball]
788834,Scott Jackson,14061116,03/04/2026,2026-04-03,25,League Two,League Two,Colchester United,Oldham Athletic,1,3,3,0,30,42,15,11,26,1,2,0,0,1,0,2,0,0,0,1,2,0,Min 90' [Amarilla - Argument] | Min 79' [Amarilla - Foul] | Min 42' [Amarilla - Foul]
788834,Scott Jackson,14061551,21/03/2026,2026-03-21,24,League One,League One,AFC Wimbledon,Peterborough United,1,1,5,0,50,30,16,8,24,2,3,0,0,1,0,4,0,0,0,1,4,0,Min 90' [Amarilla - Argument] | Min 68' [Amarilla - Sin motivo] | Min 66' [Amarilla - Argument] | Min 50' [Amarilla - Foul] | Min 30' [Amarilla - Foul]
788834,Scott Jackson,14060867,07/03/2026,2026-03-07,25,League Two,League Two,Walsall,Notts County,1,2,7,0,70,22,10,16,26,3,4,0,0,2,0,5,0,0,0,2,5,0,Min 90' [Amarilla - Foul] | Min 90' [Amarilla - Simulation] | Min 55' [Amarilla - Foul] | Min 51' [Amarilla - Foul] | Min 49' [Amarilla - Foul] | Min 36' [Amarilla - Foul] | Min 22' [Amarilla - Simulation]
788834,Scott Jackson,14060786,28/02/2026,2026-02-28,25,League Two,League Two,Fleetwood Town,Newport County,0,0,2,0,20,24,7,7,14,1,1,0,0,1,0,1,0,0,0,1,1,0,Min 86' [Amarilla - Time wasting] | Min 24' [Amarilla - Foul]
788834,Scott Jackson,14061545,29/12/2025,2025-12-29,25,League Two,League Two,Chesterfield,Cambridge United,0,1,5,0,50,16,5,9,14,1,4,0,0,1,0,4,0,0,0,1,4,0,Min 82' [Amarilla - Time wasting] | Min 76' [Amarilla - Argument] | Min 76' [Amarilla - Argument] | Min 72' [Amarilla - Sin motivo] | Min 16' [Amarilla - Foul]
788834,Scott Jackson,14061458,26/12/2025,2025-12-26,25,League Two,League Two,Accrington Stanley,Barrow AFC,2,1,2,0,20,36,4,8,12,0,2,0,0,1,0,1,0,0,0,1,1,0,Min 57' [Amarilla - Foul] | Min 36' [Amarilla - Foul]
