referee_id,referee_name,event_id,date,date_iso,competition_id,competition_name,source_tournament_name,home_team,away_team,home_goals,away_goals,yellow_cards,red_cards,booking_points,first_card_minute,home_fouls,away_fouls,fouls_total,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,yellow_1h,red_1h,yellow_2h,red_2h,yellow_et,red_et,cards_1h,cards_2h,cards_et,card_details_raw
788854,Matheus Delgado Candançan,15526223,15/08/2026,2026-08-15,390,Brasileirão Série B,Brasileirão Série B,Atlético Goianiense,Vila Nova FC,0,2,6,0,60,39,11,15,26,4,2,0,0,1,0,5,0,0,0,1,5,0,Min 90' [Amarilla - Argument] | Min 71' [Amarilla - Foul] | Min 62' [Amarilla - Foul] | Min 56' [Amarilla - Foul] | Min 51' [Amarilla - Time wasting] | Min 39' [Amarilla - Foul]
788854,Matheus Delgado Candançan,15235488,29/07/2026,2026-07-29,325,Brasileirão Série A,Brasileirão Betano,Internacional,Flamengo,1,1,4,0,40,64,11,14,25,1,3,0,0,0,0,4,0,0,0,0,4,0,Min 90' [Amarilla - Foul] | Min 90' [Amarilla - Argument] | Min 90' [Amarilla - Foul] | Min 64' [Amarilla - Foul]
788854,Matheus Delgado Candançan,15237983,16/07/2026,2026-07-16,325,Brasileirão Série A,Brasileirão Betano,Vitória,Vasco da Gama,1,0,0,0,0,,12,15,27,0,0,0,0,0,0,0,0,0,0,0,0,0,Sin tarjetas
788854,Matheus Delgado Candançan,15526156,25/06/2026,2026-06-25,390,Brasileirão Série B,Brasileirão Série B,Cuiabá,Londrina,2,2,7,0,70,19,14,10,24,3,4,0,0,3,0,4,0,0,0,3,4,0,Min 90' [Amarilla - Argument] | Min 85' [Amarilla - Foul] | Min 81' [Amarilla - Foul] | Min 75' [Amarilla - Time wasting] | Min 45' [Amarilla - Foul] | Min 40' [Amarilla - Argument] | Min 19' [Amarilla - Foul]
788854,Matheus Delgado Candançan,15526099,24/05/2026,2026-05-24,390,Brasileirão Série B,Brasileirão Série B,América Mineiro,Vila Nova FC,1,2,6,0,60,35,15,16,31,3,3,0,0,1,0,5,0,0,0,1,5,0,Min 90' [Amarilla - Foul] | Min 90' [Amarilla - Argument] | Min 90' [Amarilla - Argument] | Min 66' [Amarilla - Foul] | Min 58' [Amarilla - Foul] | Min 35' [Amarilla - Foul]
788854,Matheus Delgado Candançan,15235544,03/05/2026,2026-05-03,325,Brasileirão Série A,Brasileirão Betano,Mirassol,Corinthians,2,1,7,0,70,15,19,13,32,5,2,0,0,2,0,5,0,0,0,2,5,0,Min 90' [Amarilla - Argument] | Min 90' [Amarilla - Argument] | Min 87' [Amarilla - Time wasting] | Min 78' [Amarilla - Foul] | Min 76' [Amarilla - Foul] | Min 38' [Amarilla - Foul] | Min 15' [Amarilla - Foul]
788854,Matheus Delgado Candançan,15235526,18/04/2026,2026-04-18,325,Brasileirão Série A,Brasileirão Betano,Chapecoense,Botafogo,1,4,0,0,0,,6,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,Sin tarjetas
788854,Matheus Delgado Candançan,15235503,05/04/2026,2026-04-05,325,Brasileirão Série A,Brasileirão Betano,Atlético Mineiro,Athletico,2,1,1,0,10,19,9,13,22,0,1,0,0,1,0,0,0,0,0,1,0,0,Min 19' [Amarilla - Foul]
788854,Matheus Delgado Candançan,15237935,15/03/2026,2026-03-15,325,Brasileirão Série A,Brasileirão Betano,Fluminense,Athletico,3,2,5,1,70,15,14,9,23,2,3,0,1,1,1,4,0,0,0,2,4,0,Min 90' [Amarilla - Foul] | Min 90' [Amarilla - Time wasting] | Min 74' [Amarilla - Foul] | Min 59' [Amarilla - Foul] | Min 28' [Roja - Violent conduct] | Min 15' [Amarilla - Foul]
788854,Matheus Delgado Candançan,15237909,11/02/2026,2026-02-11,325,Brasileirão Série A,Brasileirão Betano,Atlético Mineiro,Remo,3,3,2,0,20,57,11,14,25,0,2,0,0,0,0,2,0,0,0,0,2,0,Min 69' [Amarilla - Foul] | Min 57' [Amarilla - Foul]
