referee_id,referee_name,event_id,date,date_iso,competition_id,competition_name,source_tournament_name,home_team,away_team,home_goals,away_goals,yellow_cards,red_cards,booking_points,first_card_minute,home_fouls,away_fouls,fouls_total,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,yellow_1h,red_1h,yellow_2h,red_2h,yellow_et,red_et,cards_1h,cards_2h,cards_et,card_details_raw
789031,Flavio Miguel Gomes Azevedo Duarte,16436401,29/08/2026,2026-08-29,239,Liga Portugal 2,Liga Portugal 2,Académica Coimbra,Lusitânia Lourosa,0,2,9,0,90,6,,,,5,4,0,0,3,0,6,0,0,0,3,6,0,Min 83' [Amarilla - Sin motivo] | Min 70' [Amarilla - Sin motivo] | Min 69' [Amarilla - Sin motivo] | Min 61' [Amarilla - Sin motivo] | Min 58' [Amarilla - Sin motivo] | Min 46' [Amarilla - Sin motivo] | Min 43' [Amarilla - Sin motivo] | Min 16' [Amarilla - Sin motivo] | Min 6' [Amarilla - Sin motivo]
789031,Flavio Miguel Gomes Azevedo Duarte,16436374,09/08/2026,2026-08-09,239,Liga Portugal 2,Liga Portugal 2,AVS - Futebol SAD,Sporting CP B U21,0,1,2,1,40,43,10,12,22,1,1,1,0,0,1,2,0,0,0,1,2,0,Min 70' [Amarilla - Foul] | Min 55' [Amarilla - Argument] | Min 43' [Roja - Foul]
789031,Flavio Miguel Gomes Azevedo Duarte,14336408,07/04/2026,2026-04-07,239,Liga Portugal 2,Liga Portugal 2,Vizela,SL Benfica B U21,1,2,6,2,100,35,14,18,32,1,5,2,0,1,0,5,2,0,0,1,7,0,Min 90' [Amarilla - Foul] | Min 90' [Amarilla - Argument] | Min 90' [Amarilla - Sin motivo] | Min 90' [Roja - Violent conduct] | Min 87' [Amarilla - Foul] | Min 85' [Roja - Professional foul last man] | Min 49' [Amarilla - Foul] | Min 35' [Amarilla - Time wasting]
789031,Flavio Miguel Gomes Azevedo Duarte,14336369,07/03/2026,2026-03-07,239,Liga Portugal 2,Liga Portugal 2,Penafiel,SC Farense,1,1,7,1,90,26,16,14,30,3,4,0,1,3,0,4,1,0,0,3,5,0,Min 86' [Amarilla - Foul] | Min 67' [Amarilla - Foul] | Min 63' [Amarilla - Foul] | Min 56' [Amarilla - Foul] | Min 55' [Roja - Violent conduct] | Min 45' [Amarilla - Foul] | Min 35' [Amarilla - Foul] | Min 26' [Amarilla - Foul]
789031,Flavio Miguel Gomes Azevedo Duarte,14336344,14/02/2026,2026-02-14,239,Liga Portugal 2,Liga Portugal 2,SL Benfica B U21,Felgueiras,4,2,4,0,40,64,27,18,45,2,2,0,0,0,0,4,0,0,0,0,4,0,Min 90' [Amarilla - Foul] | Min 90' [Amarilla - Foul] | Min 71' [Amarilla - Foul] | Min 64' [Amarilla - Foul]
789031,Flavio Miguel Gomes Azevedo Duarte,14336304,17/01/2026,2026-01-17,239,Liga Portugal 2,Liga Portugal 2,SC Farense,UD Oliveirense,0,0,7,0,70,53,21,12,33,4,3,0,0,0,0,7,0,0,0,0,7,0,Min 88' [Amarilla - Foul] | Min 81' [Amarilla - Foul] | Min 73' [Amarilla - Foul] | Min 66' [Amarilla - Foul] | Min 64' [Amarilla - Foul] | Min 61' [Amarilla - Foul] | Min 53' [Amarilla - Foul]
789031,Flavio Miguel Gomes Azevedo Duarte,14132209,21/12/2025,2025-12-21,239,Liga Portugal 2,Liga Portugal 2,SC Farense,União de Leiria,0,1,4,0,40,7,12,23,35,2,2,0,0,2,0,2,0,0,0,2,2,0,Min 90' [Amarilla - Foul] | Min 65' [Amarilla - Foul] | Min 27' [Amarilla - Foul] | Min 7' [Amarilla - Foul]
789031,Flavio Miguel Gomes Azevedo Duarte,14132173,01/12/2025,2025-12-01,239,Liga Portugal 2,Liga Portugal 2,Vizela,Feirense,1,1,7,0,70,7,14,26,40,3,4,0,0,3,0,4,0,0,0,3,4,0,Min 89' [Amarilla - Foul] | Min 85' [Amarilla - Foul] | Min 78' [Amarilla - Foul] | Min 50' [Amarilla - Foul] | Min 39' [Amarilla - Foul] | Min 28' [Amarilla - Foul] | Min 7' [Amarilla - Foul]
789031,Flavio Miguel Gomes Azevedo Duarte,14132148,30/10/2025,2025-10-30,239,Liga Portugal 2,Liga Portugal 2,Leixões SC,Académico Viseu FC,1,5,2,1,40,29,17,14,31,2,0,1,0,1,1,1,0,0,0,2,1,0,Min 77' [Amarilla - Foul] | Min 45' [Amarilla - Argument] | Min 29' [Roja - Foul]
789031,Flavio Miguel Gomes Azevedo Duarte,14132101,31/08/2025,2025-08-31,239,Liga Portugal 2,Liga Portugal 2,Vizela,UD Oliveirense,1,0,7,0,70,26,19,17,36,3,4,0,0,1,0,6,0,0,0,1,6,0,Min 90' [Amarilla - Argument] | Min 74' [Amarilla - Foul] | Min 73' [Amarilla - Foul] | Min 70' [Amarilla - Foul] | Min 67' [Amarilla - Time wasting] | Min 64' [Amarilla - Foul] | Min 26' [Amarilla - Foul]
789031,Flavio Miguel Gomes Azevedo Duarte,14131851,10/08/2025,2025-08-10,239,Liga Portugal 2,Liga Portugal 2,CS Marítimo,Lusitânia Lourosa,0,1,5,1,70,68,16,11,27,3,2,1,0,0,0,5,1,0,0,0,6,0,Min 90' [Amarilla - Foul] | Min 86' [Amarilla - Foul] | Min 81' [Amarilla - Dangerous play] | Min 80' [Amarilla - Foul] | Min 74' [Roja - Professional foul last man] | Min 68' [Amarilla - Persistent fouling]
789031,Flavio Miguel Gomes Azevedo Duarte,11408372,20/04/2024,2024-04-20,239,Liga Portugal 2,Liga Portugal 2,Torreense,União de Leiria,0,3,3,0,30,20,14,20,34,2,1,0,0,1,0,2,0,0,0,1,2,0,Min 83' [Amarilla - Foul] | Min 68' [Amarilla - Foul] | Min 20' [Amarilla - Foul]
789031,Flavio Miguel Gomes Azevedo Duarte,11408437,16/03/2024,2024-03-16,239,Liga Portugal 2,Liga Portugal 2,Académico Viseu FC,Paços de Ferreira,1,1,4,0,40,36,10,17,27,1,3,0,0,3,0,1,0,0,0,3,1,0,Min 86' [Amarilla - Argument] | Min 38' [Amarilla - Foul] | Min 37' [Amarilla - Sin motivo] | Min 36' [Amarilla - Foul]
789031,Flavio Miguel Gomes Azevedo Duarte,11408479,02/03/2024,2024-03-02,239,Liga Portugal 2,Liga Portugal 2,Feirense,SL Benfica B U21,1,2,8,0,80,20,16,19,35,4,4,0,0,3,0,5,0,0,0,3,5,0,Min 90' [Amarilla - Foul] | Min 87' [Amarilla - Argument] | Min 83' [Amarilla - Foul] | Min 69' [Amarilla - Foul] | Min 64' [Amarilla - Foul] | Min 26' [Amarilla - Foul] | Min 21' [Amarilla - Foul] | Min 20' [Amarilla - Foul]
789031,Flavio Miguel Gomes Azevedo Duarte,11408841,11/02/2024,2024-02-11,239,Liga Portugal 2,Liga Portugal 2,FC Porto B,CD Mafra,1,1,1,0,10,82,11,19,30,1,0,0,0,0,0,1,0,0,0,0,1,0,Min 82' [Amarilla - Foul]
789031,Flavio Miguel Gomes Azevedo Duarte,11408854,28/01/2024,2024-01-28,239,Liga Portugal 2,Liga Portugal 2,UD Oliveirense,Vilaverdense FC,0,1,7,0,70,15,14,19,33,4,3,0,0,3,0,4,0,0,0,3,4,0,Min 90' [Amarilla - Foul] | Min 72' [Amarilla - Foul] | Min 65' [Amarilla - Foul] | Min 58' [Amarilla - Foul] | Min 38' [Amarilla - Foul] | Min 28' [Amarilla - Foul] | Min 15' [Amarilla - Foul]
789031,Flavio Miguel Gomes Azevedo Duarte,11408873,13/01/2024,2024-01-13,239,Liga Portugal 2,Liga Portugal 2,C.F. Os Belenenses,Paços de Ferreira,0,1,3,0,30,22,16,10,26,1,2,0,0,1,0,2,0,0,0,1,2,0,Min 90' [Amarilla - Sin motivo] | Min 54' [Amarilla - Foul] | Min 22' [Amarilla - Foul]
789031,Flavio Miguel Gomes Azevedo Duarte,11408912,10/12/2023,2023-12-10,239,Liga Portugal 2,Liga Portugal 2,CS Marítimo,Vilaverdense FC,4,0,6,0,60,23,17,15,32,2,4,0,0,3,0,3,0,0,0,3,3,0,Min 82' [Amarilla - Foul] | Min 70' [Amarilla - Argument] | Min 70' [Amarilla - Foul] | Min 38' [Amarilla - Foul] | Min 32' [Amarilla - Foul] | Min 23' [Amarilla - Foul]
