referee_id,referee_name,event_id,date,date_iso,competition_id,competition_name,source_tournament_name,home_team,away_team,home_goals,away_goals,yellow_cards,red_cards,booking_points,first_card_minute,home_fouls,away_fouls,fouls_total,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,yellow_1h,red_1h,yellow_2h,red_2h,yellow_et,red_et,cards_1h,cards_2h,cards_et,card_details_raw
789112,Goncalo Rafael dos Santos Neves,16436378,09/08/2026,2026-08-09,239,Liga Portugal 2,Liga Portugal 2,Feirense,Felgueiras,0,0,4,0,40,14,18,17,35,2,2,0,0,2,0,2,0,0,0,2,2,0,Min 84' [Amarilla - Foul] | Min 72' [Amarilla - Simulation] | Min 45' [Amarilla - Foul] | Min 14' [Amarilla - Foul]
789112,Goncalo Rafael dos Santos Neves,14336415,12/04/2026,2026-04-12,239,Liga Portugal 2,Liga Portugal 2,Feirense,Vizela,1,0,8,0,80,21,19,11,30,5,3,0,0,3,0,5,0,0,0,3,5,0,Min 90' [Amarilla - Argument] | Min 90' [Amarilla - Argument] | Min 89' [Amarilla - Time wasting] | Min 67' [Amarilla - Argument] | Min 59' [Amarilla - Foul] | Min 27' [Amarilla - Foul] | Min 22' [Amarilla - Foul] | Min 21' [Amarilla - Foul]
789112,Goncalo Rafael dos Santos Neves,14336375,08/03/2026,2026-03-08,239,Liga Portugal 2,Liga Portugal 2,Lusitânia Lourosa,Sporting CP B U21,1,0,9,0,90,22,15,15,30,5,4,0,0,2,0,7,0,0,0,2,7,0,Min 90' [Amarilla - Foul] | Min 86' [Amarilla - Foul] | Min 83' [Amarilla - Argument] | Min 83' [Amarilla - Argument] | Min 78' [Amarilla - Foul] | Min 73' [Amarilla - Foul] | Min 48' [Amarilla - Foul] | Min 37' [Amarilla - Foul] | Min 22' [Amarilla - Foul]
789112,Goncalo Rafael dos Santos Neves,14336339,15/02/2026,2026-02-15,239,Liga Portugal 2,Liga Portugal 2,Vizela,CS Marítimo,0,3,5,0,50,30,17,17,34,3,2,0,0,2,0,3,0,0,0,2,3,0,Min 77' [Amarilla - Foul] | Min 67' [Amarilla - Foul] | Min 54' [Amarilla - Foul] | Min 38' [Amarilla - Foul] | Min 30' [Amarilla - Foul]
789112,Goncalo Rafael dos Santos Neves,14336312,25/01/2026,2026-01-25,239,Liga Portugal 2,Liga Portugal 2,UD Oliveirense,Penafiel,2,1,2,0,20,49,14,19,33,0,2,0,0,0,0,2,0,0,0,0,2,0,Min 54' [Amarilla - Foul] | Min 49' [Amarilla - Foul]
789112,Goncalo Rafael dos Santos Neves,14132202,20/12/2025,2025-12-20,239,Liga Portugal 2,Liga Portugal 2,Feirense,Paços de Ferreira,0,1,8,2,120,53,18,15,33,4,4,1,1,0,0,8,2,0,0,0,10,0,Min 89' [Amarilla - Argument] | Min 84' [Doble Amarilla - Argument] | Min 84' [Doble Amarilla - Argument] | Min 81' [Amarilla - Foul] | Min 79' [Amarilla - Foul] | Min 78' [Amarilla - Time wasting] | Min 68' [Amarilla - Foul] | Min 53' [Amarilla - Foul]
789112,Goncalo Rafael dos Santos Neves,14132178,30/11/2025,2025-11-30,239,Liga Portugal 2,Liga Portugal 2,FC Porto B,Lusitânia Lourosa,1,2,10,2,140,8,15,11,26,3,7,1,1,1,0,9,2,0,0,1,11,0,Min 90' [Amarilla - Foul] | Min 87' [Amarilla - Argument] | Min 87' [Doble Amarilla - Foul] | Min 86' [Amarilla - Foul] | Min 83' [Amarilla - Foul] | Min 77' [Doble Amarilla - Foul] | Min 73' [Amarilla - Foul] | Min 71' [Amarilla - Foul] | Min 65' [Amarilla - Foul] | Min 8' [Amarilla - Foul]
789112,Goncalo Rafael dos Santos Neves,14132161,02/11/2025,2025-11-02,239,Liga Portugal 2,Liga Portugal 2,SC Farense,SL Benfica B U21,4,3,6,0,60,68,13,10,23,5,1,0,0,0,0,6,0,0,0,0,6,0,Min 90' [Amarilla - Simulation] | Min 90' [Amarilla - Foul] | Min 90' [Amarilla - Foul] | Min 86' [Amarilla - Foul] | Min 84' [Amarilla - Foul] | Min 68' [Amarilla - Foul]
789112,Goncalo Rafael dos Santos Neves,14132088,24/08/2025,2025-08-24,239,Liga Portugal 2,Liga Portugal 2,Leixões SC,Penafiel,3,2,8,0,80,11,15,19,34,4,4,0,0,3,0,5,0,0,0,3,5,0,Min 89' [Amarilla - Time wasting] | Min 88' [Amarilla - Argument] | Min 72' [Amarilla - Time wasting] | Min 57' [Amarilla - Foul] | Min 56' [Amarilla - Foul] | Min 41' [Amarilla - Foul] | Min 22' [Amarilla - Foul] | Min 11' [Amarilla - Foul]
789112,Goncalo Rafael dos Santos Neves,14131847,10/08/2025,2025-08-10,239,Liga Portugal 2,Liga Portugal 2,União de Leiria,Académico Viseu FC,3,2,6,0,60,60,12,17,29,1,5,0,0,0,0,6,0,0,0,0,6,0,Min 80' [Amarilla - Time wasting] | Min 72' [Amarilla - Foul] | Min 67' [Amarilla - Foul] | Min 61' [Amarilla - Argument] | Min 61' [Amarilla - Argument] | Min 60' [Amarilla - Handball]
