referee_id,referee_name,event_id,date,date_iso,competition_id,competition_name,source_tournament_name,home_team,away_team,home_goals,away_goals,yellow_cards,red_cards,booking_points,first_card_minute,home_fouls,away_fouls,fouls_total,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,yellow_1h,red_1h,yellow_2h,red_2h,yellow_et,red_et,cards_1h,cards_2h,cards_et,card_details_raw
789252,Daniel Palencia Caballero,16418270,22/08/2026,2026-08-22,54,LaLiga Hypermotion,LaLiga 2,CD Eldense,Cádiz,2,2,5,0,50,37,11,16,27,2,3,0,0,1,0,4,0,0,0,1,4,0,Min 90' [Amarilla - Foul] | Min 88' [Amarilla - Foul] | Min 82' [Amarilla - Foul] | Min 77' [Amarilla - Foul] | Min 37' [Amarilla - Foul]
789252,Daniel Palencia Caballero,14081788,31/05/2026,2026-05-31,54,LaLiga Hypermotion,LaLiga 2,Real Zaragoza,Málaga CF,0,2,2,0,20,54,11,13,24,1,1,0,0,0,0,2,0,0,0,0,2,0,Min 66' [Amarilla - Foul] | Min 54' [Amarilla - Foul]
789252,Daniel Palencia Caballero,14081777,16/05/2026,2026-05-16,54,LaLiga Hypermotion,LaLiga 2,Granada,Burgos Club de Fútbol,0,1,6,0,60,12,17,14,31,5,1,0,0,2,0,4,0,0,0,2,4,0,Min 69' [Amarilla - Foul] | Min 67' [Amarilla - Foul] | Min 61' [Amarilla - Foul] | Min 59' [Amarilla - Foul] | Min 34' [Amarilla - Foul] | Min 12' [Amarilla - Foul]
789252,Daniel Palencia Caballero,14081756,09/05/2026,2026-05-09,54,LaLiga Hypermotion,LaLiga 2,AD Ceuta,CD Castellón,1,1,6,0,60,8,15,15,30,4,2,0,0,1,0,5,0,0,0,1,5,0,Min 88' [Amarilla - Foul] | Min 86' [Amarilla - Foul] | Min 64' [Amarilla - Argument] | Min 64' [Amarilla - Foul] | Min 48' [Amarilla - Foul] | Min 8' [Amarilla - Foul]
789252,Daniel Palencia Caballero,14081748,26/04/2026,2026-04-26,54,LaLiga Hypermotion,LaLiga 2,Mirandés,Cultural Leonesa,2,1,5,1,70,34,6,19,25,1,4,0,1,2,0,3,1,0,0,2,4,0,Min 90' [Amarilla - Argument] | Min 54' [Doble Amarilla - Foul] | Min 49' [Amarilla - Foul] | Min 39' [Amarilla - Foul] | Min 34' [Amarilla - Argument]
789252,Daniel Palencia Caballero,14083547,11/04/2026,2026-04-11,54,LaLiga Hypermotion,LaLiga 2,Leganés,Albacete Balompié,2,1,4,0,40,2,16,13,29,1,3,0,0,3,0,1,0,0,0,3,1,0,Min 90' [Amarilla - Foul] | Min 43' [Amarilla - Foul] | Min 9' [Amarilla - Foul] | Min 2' [Amarilla - Foul]
789252,Daniel Palencia Caballero,14083499,01/04/2026,2026-04-01,54,LaLiga Hypermotion,LaLiga 2,Real Racing Club,Sporting Gijón,3,1,6,0,60,15,16,12,28,4,2,0,0,3,0,3,0,0,0,3,3,0,Min 90' [Amarilla - Argument] | Min 90' [Amarilla - Foul] | Min 90' [Amarilla - Foul] | Min 41' [Amarilla - Persistent fouling] | Min 35' [Amarilla - Argument] | Min 15' [Amarilla - Foul]
789252,Daniel Palencia Caballero,14083423,14/03/2026,2026-03-14,54,LaLiga Hypermotion,LaLiga 2,Real Zaragoza,Almería,2,0,9,0,90,4,11,13,24,5,4,0,0,2,0,7,0,0,0,2,7,0,Min 90' [Amarilla - Sin motivo] | Min 90' [Amarilla - Foul] | Min 86' [Amarilla - Argument] | Min 75' [Amarilla - Foul] | Min 73' [Amarilla - Foul] | Min 72' [Amarilla - Foul] | Min 53' [Amarilla - Argument] | Min 28' [Amarilla - Foul] | Min 4' [Amarilla - Foul]
789252,Daniel Palencia Caballero,14083356,02/03/2026,2026-03-02,54,LaLiga Hypermotion,LaLiga 2,Sporting Gijón,Leganés,0,0,5,0,50,45,16,11,27,2,3,0,0,1,0,4,0,0,0,1,4,0,Min 70' [Amarilla - Foul] | Min 58' [Amarilla - Foul] | Min 52' [Amarilla - Foul] | Min 50' [Amarilla - Foul] | Min 45' [Amarilla - Foul]
789252,Daniel Palencia Caballero,15535698,25/02/2026,2026-02-25,54,LaLiga Hypermotion,LaLiga 2,AD Ceuta,Córdoba,3,2,6,0,60,23,19,17,36,4,2,0,0,2,0,4,0,0,0,2,4,0,Min 90' [Amarilla - Time wasting] | Min 79' [Amarilla - Sin motivo] | Min 71' [Amarilla - Foul] | Min 49' [Amarilla - Foul] | Min 31' [Amarilla - Foul] | Min 23' [Amarilla - Foul]
