referee_id,referee_name,event_id,date,date_iso,competition_id,competition_name,source_tournament_name,home_team,away_team,home_goals,away_goals,yellow_cards,red_cards,booking_points,first_card_minute,home_fouls,away_fouls,fouls_total,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,yellow_1h,red_1h,yellow_2h,red_2h,yellow_et,red_et,cards_1h,cards_2h,cards_et,card_details_raw
789262,Alejandro Morilla Turrion,16418220,23/08/2026,2026-08-23,54,LaLiga Hypermotion,LaLiga 2,CD Tenerife,Almería,1,0,2,0,20,9,14,8,22,2,0,0,0,1,0,1,0,0,0,1,1,0,Min 53' [Amarilla - Argument] | Min 9' [Amarilla - Foul]
789262,Alejandro Morilla Turrion,14083415,31/05/2026,2026-05-31,54,LaLiga Hypermotion,LaLiga 2,Real Racing Club,Cádiz,4,1,0,0,0,,10,8,18,0,0,0,0,0,0,0,0,0,0,0,0,0,Sin tarjetas
789262,Alejandro Morilla Turrion,14081755,09/05/2026,2026-05-09,54,LaLiga Hypermotion,LaLiga 2,Albacete Balompié,Cultural Leonesa,2,1,3,1,50,28,10,11,21,1,2,0,1,1,0,2,1,0,0,1,3,0,Min 90' [Amarilla - Foul] | Min 90' [Roja - Violent conduct] | Min 62' [Amarilla - Foul] | Min 28' [Amarilla - Handball]
789262,Alejandro Morilla Turrion,14081728,18/04/2026,2026-04-18,54,LaLiga Hypermotion,LaLiga 2,Real Zaragoza,AD Ceuta,2,2,5,1,70,20,15,14,29,1,4,0,1,2,0,3,1,0,0,2,4,0,Min 90' [Amarilla - Foul] | Min 84' [Amarilla - Handball] | Min 75' [Amarilla - Foul] | Min 49' [Roja - Foul] | Min 22' [Amarilla - Foul] | Min 20' [Amarilla - Foul]
789262,Alejandro Morilla Turrion,14083529,05/04/2026,2026-04-05,54,LaLiga Hypermotion,LaLiga 2,Almería,Leganés,2,1,5,0,50,21,13,11,24,3,2,0,0,2,0,3,0,0,0,2,3,0,Min 90' [Amarilla - Sin motivo] | Min 82' [Amarilla - Foul] | Min 65' [Amarilla - Argument] | Min 43' [Amarilla - Foul] | Min 21' [Amarilla - Foul]
789262,Alejandro Morilla Turrion,14083510,31/03/2026,2026-03-31,54,LaLiga Hypermotion,LaLiga 2,Deportivo de A Coruña,Córdoba,2,0,2,0,20,45,23,18,41,1,1,0,0,1,0,1,0,0,0,1,1,0,Min 83' [Amarilla - Foul] | Min 45' [Amarilla - Foul]
789262,Alejandro Morilla Turrion,14083434,23/03/2026,2026-03-23,54,LaLiga Hypermotion,LaLiga 2,CD Castellón,Cultural Leonesa,1,1,8,0,80,2,13,20,33,3,5,0,0,3,0,5,0,0,0,3,5,0,Min 90' [Amarilla - Foul] | Min 88' [Amarilla - Foul] | Min 83' [Amarilla - Foul] | Min 80' [Amarilla - Foul] | Min 47' [Amarilla - Foul] | Min 24' [Amarilla - Foul] | Min 16' [Amarilla - Foul] | Min 2' [Amarilla - Foul]
789262,Alejandro Morilla Turrion,14083368,07/03/2026,2026-03-07,54,LaLiga Hypermotion,LaLiga 2,Málaga CF,Real Valladolid,3,3,8,1,100,29,15,21,36,4,4,1,0,1,0,7,1,0,0,1,8,0,Min 90' [Amarilla - Argument] | Min 90' [Amarilla - Foul] | Min 90' [Amarilla - Foul] | Min 90' [Amarilla - Argument] | Min 90' [Amarilla - Foul] | Min 85' [Amarilla - Foul] | Min 66' [Amarilla - Foul] | Min 56' [Roja - Foul] | Min 29' [Amarilla - Foul]
789262,Alejandro Morilla Turrion,14083340,28/02/2026,2026-02-28,54,LaLiga Hypermotion,LaLiga 2,Real Zaragoza,Burgos Club de Fútbol,0,1,5,0,50,15,10,14,24,3,2,0,0,2,0,3,0,0,0,2,3,0,Min 84' [Amarilla - Foul] | Min 70' [Amarilla - Foul] | Min 67' [Amarilla - Foul] | Min 25' [Amarilla - Foul] | Min 15' [Amarilla - Foul]
789262,Alejandro Morilla Turrion,14083788,14/02/2026,2026-02-14,54,LaLiga Hypermotion,LaLiga 2,Córdoba,Leganés,2,1,2,0,20,90,16,6,22,1,1,0,0,0,0,2,0,0,0,0,2,0,Min 90' [Amarilla - Foul] | Min 90' [Amarilla - Foul]
