referee_id,referee_name,event_id,date,date_iso,competition_id,competition_name,source_tournament_name,home_team,away_team,home_goals,away_goals,yellow_cards,red_cards,booking_points,first_card_minute,home_fouls,away_fouls,fouls_total,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,yellow_1h,red_1h,yellow_2h,red_2h,yellow_et,red_et,cards_1h,cards_2h,cards_et,card_details_raw
789502,Lucas Casagrande,15235446,22/08/2026,2026-08-22,325,Brasileirão Série A,Brasileirão Betano,Internacional,Atlético Mineiro,0,0,8,0,80,48,18,15,33,5,3,0,0,0,0,8,0,0,0,0,8,0,Min 90' [Amarilla - Argument] | Min 90' [Amarilla - Argument] | Min 90' [Amarilla - Argument] | Min 90' [Amarilla - Argument] | Min 72' [Amarilla - Foul] | Min 69' [Amarilla - Foul] | Min 62' [Amarilla - Foul] | Min 48' [Amarilla - Foul]
789502,Lucas Casagrande,15235421,16/08/2026,2026-08-16,325,Brasileirão Série A,Brasileirão Betano,Vasco da Gama,Santos,0,3,2,0,20,39,14,11,25,2,0,0,0,1,0,1,0,0,0,1,1,0,Min 84' [Amarilla - Foul] | Min 39' [Amarilla - Foul]
789502,Lucas Casagrande,15235463,09/08/2026,2026-08-09,325,Brasileirão Série A,Brasileirão Betano,Cruzeiro,Mirassol,3,1,4,0,40,48,14,18,32,2,2,0,0,0,0,4,0,0,0,0,4,0,Min 90' [Amarilla - Foul] | Min 85' [Amarilla - Sin motivo] | Min 68' [Amarilla - Foul] | Min 48' [Amarilla - Foul]
789502,Lucas Casagrande,15526207,28/07/2026,2026-07-28,390,Brasileirão Série B,Brasileirão Série B,Juventude,Avaí,1,0,3,0,30,47,10,19,29,1,2,0,0,0,0,3,0,0,0,0,3,0,Min 82' [Amarilla - Argument] | Min 62' [Amarilla - Foul] | Min 47' [Amarilla - Foul]
789502,Lucas Casagrande,15237978,23/07/2026,2026-07-23,325,Brasileirão Série A,Brasileirão Betano,Corinthians,Remo,3,0,2,0,20,86,13,9,22,1,1,0,0,0,0,2,0,0,0,0,2,0,Min 86' [Amarilla - Argument] | Min 86' [Amarilla - Argument]
789502,Lucas Casagrande,15526157,28/06/2026,2026-06-28,390,Brasileirão Série B,Brasileirão Série B,Juventude,Ceará,2,0,1,0,10,68,17,15,32,0,1,0,0,0,0,1,0,0,0,0,1,0,Min 68' [Amarilla - Foul]
789502,Lucas Casagrande,15526124,09/06/2026,2026-06-09,390,Brasileirão Série B,Brasileirão Série B,Náutico,Fortaleza,0,1,7,1,90,36,7,16,23,3,4,0,1,3,0,4,1,0,0,3,5,0,Min 90' [Amarilla - Foul] | Min 85' [Amarilla - Foul] | Min 76' [Amarilla - Argument] | Min 67' [Amarilla - Time wasting] | Min 52' [Roja - Foul] | Min 39' [Amarilla - Argument] | Min 38' [Amarilla - Argument] | Min 36' [Amarilla - Foul]
789502,Lucas Casagrande,15235586,31/05/2026,2026-05-31,325,Brasileirão Série A,Brasileirão Betano,Cruzeiro,Fluminense,1,1,4,0,40,35,12,15,27,2,2,0,0,1,0,3,0,0,0,1,3,0,Min 87' [Amarilla - Argument] | Min 86' [Amarilla - Foul] | Min 82' [Amarilla - Time wasting] | Min 35' [Amarilla - Foul]
789502,Lucas Casagrande,15235570,23/05/2026,2026-05-23,325,Brasileirão Série A,Brasileirão Betano,São Paulo,Botafogo,1,1,8,0,80,27,20,19,39,4,4,0,0,2,0,6,0,0,0,2,6,0,Min 90' [Amarilla - Foul] | Min 89' [Amarilla - Time wasting] | Min 85' [Amarilla - Time wasting] | Min 84' [Amarilla - Argument] | Min 80' [Amarilla - Foul] | Min 61' [Amarilla - Argument] | Min 27' [Amarilla - Argument] | Min 27' [Amarilla - Argument]
789502,Lucas Casagrande,15235566,16/05/2026,2026-05-16,325,Brasileirão Série A,Brasileirão Betano,Atlético Mineiro,Mirassol,3,1,1,0,10,86,6,14,20,0,1,0,0,0,0,1,0,0,0,0,1,0,Min 86' [Amarilla - Argument]
