referee_id,referee_name,event_id,date,date_iso,competition_id,competition_name,source_tournament_name,home_team,away_team,home_goals,away_goals,yellow_cards,red_cards,booking_points,first_card_minute,home_fouls,away_fouls,fouls_total,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,yellow_1h,red_1h,yellow_2h,red_2h,yellow_et,red_et,cards_1h,cards_2h,cards_et,card_details_raw
78964,Kristoffer Hagenes,15260857,26/07/2026,2026-07-26,20,Eliteserien,Eliteserien,Sarpsborg 08,HamKam,1,0,6,0,60,27,19,9,28,3,3,0,0,2,0,4,0,0,0,2,4,0,Min 84' [Amarilla - Argument] | Min 71' [Amarilla - Foul] | Min 58' [Amarilla - Foul] | Min 52' [Amarilla - Foul] | Min 33' [Amarilla - Foul] | Min 27' [Amarilla - Foul]
78964,Kristoffer Hagenes,15260841,17/07/2026,2026-07-17,20,Eliteserien,Eliteserien,Bodø/Glimt,Fredrikstad FK,1,0,5,0,50,44,7,14,21,1,4,0,0,1,0,4,0,0,0,1,4,0,Min 88' [Amarilla - Argument] | Min 80' [Amarilla - Foul] | Min 59' [Amarilla - Foul] | Min 50' [Amarilla - Foul] | Min 44' [Amarilla - Foul]
78964,Kristoffer Hagenes,15260806,16/05/2026,2026-05-16,20,Eliteserien,Eliteserien,Viking FK,IK Start,6,3,5,0,50,38,12,13,25,2,3,0,0,1,0,4,0,0,0,1,4,0,Min 87' [Amarilla - Foul] | Min 78' [Amarilla - Foul] | Min 52' [Amarilla - Foul] | Min 47' [Amarilla - Argument] | Min 38' [Amarilla - Foul]
78964,Kristoffer Hagenes,15260797,10/05/2026,2026-05-10,20,Eliteserien,Eliteserien,Tromsø IL,Molde FK,2,0,4,0,40,27,11,8,19,2,2,0,0,1,0,3,0,0,0,1,3,0,Min 90' [Amarilla - Foul] | Min 87' [Amarilla - Foul] | Min 59' [Amarilla - Time wasting] | Min 27' [Amarilla - Simulation]
78964,Kristoffer Hagenes,15260767,26/04/2026,2026-04-26,20,Eliteserien,Eliteserien,KFUM Oslo,Sarpsborg 08,1,0,6,1,80,61,19,9,28,2,4,0,1,0,0,6,1,0,0,0,7,0,Min 90' [Amarilla - Foul] | Min 90' [Doble Amarilla - Foul] | Min 90' [Amarilla - Argument] | Min 90' [Amarilla - Foul] | Min 72' [Amarilla - Foul] | Min 61' [Amarilla - Argument]
78964,Kristoffer Hagenes,15260851,15/04/2026,2026-04-15,20,Eliteserien,Eliteserien,Tromsø IL,Lillestrøm SK,0,0,3,0,30,26,19,8,27,1,2,0,0,1,0,2,0,0,0,1,2,0,Min 74' [Amarilla - Foul] | Min 74' [Amarilla - Argument] | Min 26' [Amarilla - Foul]
78964,Kristoffer Hagenes,15260766,07/04/2026,2026-04-07,20,Eliteserien,Eliteserien,Aalesunds FK,Fredrikstad FK,2,3,6,0,60,38,18,14,32,4,2,0,0,2,0,4,0,0,0,2,4,0,Min 90' [Amarilla - Foul] | Min 90' [Amarilla - Foul] | Min 90' [Amarilla - Time wasting] | Min 66' [Amarilla - Argument] | Min 43' [Amarilla - Foul] | Min 38' [Amarilla - Foul]
78964,Kristoffer Hagenes,13265911,09/11/2025,2025-11-09,20,Eliteserien,Eliteserien,Rosenborg BK,Vålerenga IF,1,0,5,1,70,35,10,10,20,2,3,0,1,2,1,3,0,0,0,3,3,0,Min 90' [Amarilla - Time wasting] | Min 90' [Amarilla - Argument] | Min 77' [Amarilla - Time wasting] | Min 45' [Amarilla - Foul] | Min 40' [Amarilla - Sin motivo] | Min 35' [Roja - Foul]
78964,Kristoffer Hagenes,13265898,26/10/2025,2025-10-26,20,Eliteserien,Eliteserien,Haugesund,Tromsø IL,2,3,5,0,50,35,17,20,37,3,2,0,0,1,0,4,0,0,0,1,4,0,Min 76' [Amarilla - Foul] | Min 75' [Amarilla - Foul] | Min 72' [Amarilla - Foul] | Min 61' [Amarilla - Foul] | Min 35' [Amarilla - Foul]
78964,Kristoffer Hagenes,13295728,19/10/2025,2025-10-19,20,Eliteserien,Eliteserien,Molde FK,Sandefjord Fotball,1,3,5,0,50,30,8,13,21,2,3,0,0,2,0,3,0,0,0,2,3,0,Min 90' [Amarilla - Foul] | Min 88' [Amarilla - Foul] | Min 72' [Amarilla - Simulation] | Min 41' [Amarilla - Simulation] | Min 30' [Amarilla - Foul]
