referee_id,referee_name,event_id,date,date_iso,competition_id,competition_name,source_tournament_name,home_team,away_team,home_goals,away_goals,yellow_cards,red_cards,booking_points,first_card_minute,home_fouls,away_fouls,fouls_total,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,yellow_1h,red_1h,yellow_2h,red_2h,yellow_et,red_et,cards_1h,cards_2h,cards_et,card_details_raw
789824,Melih Aldemir,16490401,08/08/2026,2026-08-08,98,1. Lig,Trendyol 1.Lig,Antalyaspor,Keçiörengücü,4,3,4,0,40,54,14,10,24,2,2,0,0,0,0,4,0,0,0,0,4,0,Min 90' [Amarilla - Foul] | Min 90' [Amarilla - Argument] | Min 90' [Amarilla - Argument] | Min 54' [Amarilla - Argument]
789824,Melih Aldemir,14138634,26/04/2026,2026-04-26,98,1. Lig,Trendyol 1.Lig,Sivasspor,Iğdır FK,2,1,5,0,50,57,11,13,24,2,3,0,0,0,0,5,0,0,0,0,5,0,Min 90' [Amarilla - Time wasting] | Min 85' [Amarilla - Foul] | Min 68' [Amarilla - Foul] | Min 58' [Amarilla - Foul] | Min 57' [Amarilla - Argument]
789824,Melih Aldemir,14138611,12/04/2026,2026-04-12,98,1. Lig,Trendyol 1.Lig,Vanspor FK,Manisa FK,0,1,3,0,30,8,11,9,20,1,2,0,0,2,0,1,0,0,0,2,1,0,Min 73' [Amarilla - Time wasting] | Min 38' [Amarilla - Foul] | Min 8' [Amarilla - Foul]
789824,Melih Aldemir,14138579,22/03/2026,2026-03-22,98,1. Lig,Trendyol 1.Lig,Hatayspor,Amed Sportif Faaliyetler,0,3,3,0,30,34,15,15,30,2,1,0,0,2,0,1,0,0,0,2,1,0,Min 90' [Amarilla - Foul] | Min 45' [Amarilla - Argument] | Min 34' [Amarilla - Foul]
789824,Melih Aldemir,14138564,10/03/2026,2026-03-10,98,1. Lig,Trendyol 1.Lig,Vanspor FK,Adana Demirspor,1,0,2,0,20,45,14,10,24,1,1,0,0,1,0,1,0,0,0,1,1,0,Min 60' [Amarilla - Foul] | Min 45' [Amarilla - Foul]
789824,Melih Aldemir,14138503,08/02/2026,2026-02-08,98,1. Lig,Trendyol 1.Lig,Serikspor A.Ş.,Iğdır FK,1,3,6,0,60,16,10,11,21,4,2,0,0,4,0,2,0,0,0,4,2,0,Min 84' [Amarilla - Foul] | Min 46' [Amarilla - Foul] | Min 28' [Amarilla - Argument] | Min 28' [Amarilla - Argument] | Min 18' [Amarilla - Foul] | Min 16' [Amarilla - Foul]
789824,Melih Aldemir,14138489,30/01/2026,2026-01-30,98,1. Lig,Trendyol 1.Lig,İstanbulspor,Hatayspor,1,0,7,1,90,20,17,12,29,3,4,1,0,1,1,6,0,0,0,2,6,0,Min 83' [Amarilla - Foul] | Min 74' [Amarilla - Argument] | Min 74' [Amarilla - Argument] | Min 74' [Amarilla - Argument] | Min 72' [Amarilla - Foul] | Min 59' [Amarilla - Foul] | Min 24' [Amarilla - Foul] | Min 20' [Roja - Violent conduct]
789824,Melih Aldemir,14138441,21/12/2025,2025-12-21,98,1. Lig,Trendyol 1.Lig,Ümraniyespor,Adana Demirspor,5,0,2,0,20,12,16,8,24,2,0,0,0,1,0,1,0,0,0,1,1,0,Min 64' [Amarilla - Foul] | Min 12' [Amarilla - Foul]
789824,Melih Aldemir,14138383,02/11/2025,2025-11-02,98,1. Lig,Trendyol 1.Lig,Manisa FK,Amed Sportif Faaliyetler,0,3,6,0,60,43,16,10,26,3,3,0,0,1,0,5,0,0,0,1,5,0,Min 86' [Amarilla - Foul] | Min 84' [Amarilla - Foul] | Min 67' [Amarilla - Foul] | Min 52' [Amarilla - Foul] | Min 48' [Amarilla - Foul] | Min 43' [Amarilla - Foul]
789824,Melih Aldemir,14138314,12/09/2025,2025-09-12,98,1. Lig,Trendyol 1.Lig,Bodrum FK,Adana Demirspor,3,1,5,1,70,28,10,17,27,2,3,0,1,2,0,3,1,0,0,2,4,0,Min 85' [Roja - Professional foul last man] | Min 72' [Amarilla - Foul] | Min 67' [Amarilla - Foul] | Min 63' [Amarilla - Foul] | Min 42' [Amarilla - Argument] | Min 28' [Amarilla - Foul]
789824,Melih Aldemir,14143603,09/08/2025,2025-08-09,98,1. Lig,Trendyol 1.Lig,Hatayspor,Keçiörengücü,1,3,3,0,30,18,8,16,24,1,2,0,0,2,0,1,0,0,0,2,1,0,Min 89' [Amarilla - Time wasting] | Min 21' [Amarilla - Foul] | Min 18' [Amarilla - Foul]
789824,Melih Aldemir,12596387,10/04/2025,2025-04-10,98,1. Lig,Trendyol 1.Lig,Yeni Malatyaspor,Bandırmaspor,1,3,4,0,40,33,13,9,22,3,1,0,0,2,0,2,0,0,0,2,2,0,Min 68' [Amarilla - Foul] | Min 63' [Amarilla - Foul] | Min 40' [Amarilla - Foul] | Min 33' [Amarilla - Foul]
789824,Melih Aldemir,12596495,01/02/2025,2025-02-01,98,1. Lig,Trendyol 1.Lig,Keçiörengücü,Yeni Malatyaspor,7,0,0,0,0,,8,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,Sin tarjetas
