referee_id,referee_name,event_id,date,date_iso,competition_id,competition_name,source_tournament_name,home_team,away_team,home_goals,away_goals,yellow_cards,red_cards,booking_points,first_card_minute,home_fouls,away_fouls,fouls_total,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,yellow_1h,red_1h,yellow_2h,red_2h,yellow_et,red_et,cards_1h,cards_2h,cards_et,card_details_raw
789836,Bert Verbeke,16361896,28/08/2026,2026-08-28,38,Belgian Pro League,Pro League,KRC Genk,SK Beveren,4,0,1,0,10,29,7,4,11,0,1,0,0,1,0,0,0,0,0,1,0,0,Min 29' [Amarilla - Foul]
789836,Bert Verbeke,16361894,23/08/2026,2026-08-23,38,Belgian Pro League,Pro League,Lommel SK,KVC Westerlo,4,0,1,0,10,85,5,10,15,0,1,0,0,0,0,1,0,0,0,0,1,0,Min 85' [Amarilla - Foul]
789836,Bert Verbeke,15858602,23/05/2026,2026-05-23,38,Belgian Pro League,Pro League,Oud-Heverlee Leuven,KRC Genk,0,2,2,0,20,50,11,15,26,0,2,0,0,0,0,2,0,0,0,0,2,0,Min 52' [Amarilla - Foul] | Min 50' [Amarilla - Handball]
789836,Bert Verbeke,15858590,10/05/2026,2026-05-10,38,Belgian Pro League,Pro League,Royal Antwerp FC,RC Sporting Charleroi,0,1,5,0,50,39,16,10,26,2,3,0,0,1,0,4,0,0,0,1,4,0,Min 90' [Amarilla - Time wasting] | Min 81' [Amarilla - Time wasting] | Min 67' [Amarilla - Off the ball foul] | Min 57' [Amarilla - Foul] | Min 39' [Amarilla - Foul]
789836,Bert Verbeke,16082558,02/05/2026,2026-05-02,38,Belgian Pro League,Pro League,Lommel SK,K. Beerschot V.A.,3,1,7,1,90,5,13,12,25,2,5,0,1,3,0,4,1,0,0,3,5,0,Min 80' [Doble Amarilla - Foul] | Min 68' [Amarilla - Argument] | Min 68' [Amarilla - Argument] | Min 63' [Amarilla - Argument] | Min 31' [Amarilla - Foul] | Min 6' [Amarilla - Foul] | Min 5' [Amarilla - Foul]
789836,Bert Verbeke,15858606,18/04/2026,2026-04-18,38,Belgian Pro League,Pro League,KVC Westerlo,KRC Genk,1,2,3,0,30,4,11,12,23,1,2,0,0,3,0,0,0,0,0,3,0,0,Min 38' [Amarilla - Handball] | Min 19' [Amarilla - Foul] | Min 4' [Amarilla - Foul]
789836,Bert Verbeke,15858613,04/04/2026,2026-04-04,38,Belgian Pro League,Pro League,Oud-Heverlee Leuven,Standard Liège,1,3,0,0,0,,7,12,19,0,0,0,0,0,0,0,0,0,0,0,0,0,Sin tarjetas
789836,Bert Verbeke,14032367,14/03/2026,2026-03-14,38,Belgian Pro League,Pro League,Royale Union Saint-Gilloise,FCV Dender,2,0,1,0,10,78,10,8,18,0,1,0,0,0,0,1,0,0,0,0,1,0,Min 78' [Amarilla - Foul]
789836,Bert Verbeke,14032359,08/03/2026,2026-03-08,38,Belgian Pro League,Pro League,Sint-Truidense VV,Cercle Brugge,2,1,4,0,40,40,8,12,20,0,4,0,0,1,0,3,0,0,0,1,3,0,Min 90' [Amarilla - Foul] | Min 85' [Amarilla - Foul] | Min 73' [Amarilla - Foul] | Min 40' [Amarilla - Foul]
789836,Bert Verbeke,14032351,01/03/2026,2026-03-01,38,Belgian Pro League,Pro League,RC Sporting Charleroi,Club Brugge KV,1,2,6,1,80,45,8,9,17,5,1,1,0,1,0,5,1,0,0,1,6,0,Min 90' [Amarilla - Argument] | Min 90' [Amarilla - Argument] | Min 90' [Amarilla - Foul] | Min 90' [Amarilla - Time wasting] | Min 90' [Amarilla - Foul] | Min 61' [Roja - Foul] | Min 45' [Amarilla - Foul]
789836,Bert Verbeke,14032426,22/02/2026,2026-02-22,38,Belgian Pro League,Pro League,SV Zulte Waregem,RSC Anderlecht,2,4,2,0,20,60,9,12,21,1,1,0,0,0,0,2,0,0,0,0,2,0,Min 77' [Amarilla - Foul] | Min 60' [Amarilla - Foul]
789836,Bert Verbeke,14032412,15/02/2026,2026-02-15,38,Belgian Pro League,Pro League,Royal Antwerp FC,KVC Westerlo,0,2,6,0,60,21,16,15,31,2,4,0,0,2,0,4,0,0,0,2,4,0,Min 89' [Amarilla - Foul] | Min 88' [Amarilla - Foul] | Min 78' [Amarilla - Foul] | Min 74' [Amarilla - Foul] | Min 22' [Amarilla - Foul] | Min 21' [Amarilla - Foul]
789836,Bert Verbeke,14032394,31/01/2026,2026-01-31,38,Belgian Pro League,Pro League,Sint-Truidense VV,RC Sporting Charleroi,0,2,5,1,70,36,6,16,22,2,3,1,0,3,1,2,0,0,0,4,2,0,Min 81' [Amarilla - Foul] | Min 56' [Amarilla - Foul] | Min 41' [Amarilla - Foul] | Min 40' [Roja - Foul] | Min 37' [Amarilla - Argument] | Min 36' [Amarilla - Argument]
789836,Bert Verbeke,14032384,24/01/2026,2026-01-24,38,Belgian Pro League,Pro League,Club Brugge KV,SV Zulte Waregem,4,3,6,0,60,42,11,13,24,3,3,0,0,3,0,3,0,0,0,3,3,0,Min 87' [Amarilla - Foul] | Min 85' [Amarilla - Foul] | Min 81' [Amarilla - Foul] | Min 45' [Amarilla - Foul] | Min 45' [Amarilla - Foul] | Min 42' [Amarilla - Foul]
789836,Bert Verbeke,14035979,27/12/2025,2025-12-27,38,Belgian Pro League,Pro League,Royal Antwerp FC,SV Zulte Waregem,2,1,3,0,30,71,19,5,24,3,0,0,0,0,0,3,0,0,0,0,3,0,Min 90' [Amarilla - Time wasting] | Min 82' [Amarilla - Foul] | Min 71' [Amarilla - Foul]
789836,Bert Verbeke,14035963,14/12/2025,2025-12-14,38,Belgian Pro League,Pro League,FCV Dender,Club Brugge KV,1,5,0,0,0,,6,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,Sin tarjetas
