referee_id,referee_name,event_id,date,date_iso,competition_id,competition_name,source_tournament_name,home_team,away_team,home_goals,away_goals,yellow_cards,red_cards,booking_points,first_card_minute,home_fouls,away_fouls,fouls_total,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,yellow_1h,red_1h,yellow_2h,red_2h,yellow_et,red_et,cards_1h,cards_2h,cards_et,card_details_raw
79032,Robert Madley,16391189,29/08/2026,2026-08-29,18,Championship,Championship,Watford,West Ham United,1,1,4,0,40,7,10,7,17,3,1,0,0,3,0,1,0,0,0,3,1,0,Min 49' [Amarilla - Foul] | Min 31' [Amarilla - Time wasting] | Min 24' [Amarilla - Foul] | Min 7' [Amarilla - Foul]
79032,Robert Madley,16391138,15/08/2026,2026-08-15,18,Championship,Championship,Middlesbrough,Lincoln City,2,1,2,0,20,36,12,12,24,0,2,0,0,1,0,1,0,0,0,1,1,0,Min 89' [Amarilla - Foul] | Min 36' [Amarilla - Time wasting]
79032,Robert Madley,14059992,25/04/2026,2026-04-25,18,Championship,Championship,Oxford United,Sheffield Wednesday,4,1,1,0,10,82,14,13,27,1,0,0,0,0,0,1,0,0,0,0,1,0,Min 82' [Amarilla - Foul]
79032,Robert Madley,14059961,11/04/2026,2026-04-11,18,Championship,Championship,Stoke City,Blackburn Rovers,1,1,8,1,100,31,11,8,19,5,3,1,0,3,0,5,1,0,0,3,6,0,Min 88' [Amarilla - Foul] | Min 88' [Amarilla - Handball] | Min 87' [Doble Amarilla - Foul] | Min 62' [Amarilla - Foul] | Min 47' [Amarilla - Off the ball foul] | Min 45' [Amarilla - Foul] | Min 33' [Amarilla - Simulation] | Min 31' [Amarilla - Foul]
79032,Robert Madley,14061162,06/04/2026,2026-04-06,25,League Two,League Two,Crawley Town,Grimsby Town,0,2,2,1,40,47,11,12,23,1,1,1,0,0,0,2,1,0,0,0,3,0,Min 82' [Amarilla - Time wasting] | Min 66' [Amarilla - Foul] | Min 47' [Roja - Violent conduct]
79032,Robert Madley,14061031,28/03/2026,2026-03-28,25,League Two,League Two,Barrow AFC,Bromley,2,1,6,0,60,19,10,15,25,3,3,0,0,3,0,3,0,0,0,3,3,0,Min 90' [Amarilla - Time wasting] | Min 77' [Amarilla - Argument] | Min 61' [Amarilla - Foul] | Min 45' [Amarilla - Time wasting] | Min 34' [Amarilla - Foul] | Min 19' [Amarilla - Foul]
79032,Robert Madley,14061581,21/03/2026,2026-03-21,24,League One,League One,Luton Town,Stockport County,1,1,3,0,30,45,9,11,20,1,2,0,0,1,0,2,0,0,0,1,2,0,Min 77' [Amarilla - Foul] | Min 62' [Amarilla - Foul] | Min 45' [Amarilla - Foul]
79032,Robert Madley,14061426,14/03/2026,2026-03-14,24,League One,League One,Leyton Orient,Peterborough United,2,1,4,0,40,45,15,8,23,2,2,0,0,1,0,3,0,0,0,1,3,0,Min 90' [Amarilla - Argument] | Min 90' [Amarilla - Persistent fouling] | Min 84' [Amarilla - Foul] | Min 45' [Amarilla - Foul]
79032,Robert Madley,14060857,07/03/2026,2026-03-07,25,League Two,League Two,Salford City,Barnet,2,0,2,0,20,28,8,8,16,2,0,0,0,1,0,1,0,0,0,1,1,0,Min 90' [Amarilla - Argument] | Min 28' [Amarilla - Foul]
79032,Robert Madley,14061253,28/02/2026,2026-02-28,24,League One,League One,Lincoln City,Blackpool,4,0,5,0,50,23,12,12,24,1,4,0,0,2,0,3,0,0,0,2,3,0,Min 90' [Amarilla - Foul] | Min 75' [Amarilla - Argument] | Min 51' [Amarilla - Foul] | Min 36' [Amarilla - Foul] | Min 23' [Amarilla - Foul]
79032,Robert Madley,14061597,08/11/2025,2025-11-08,24,League One,League One,Blackpool,Cardiff City,3,1,4,0,40,45,10,11,21,2,2,0,0,2,0,2,0,0,0,2,2,0,Min 85' [Amarilla - Foul] | Min 79' [Amarilla - Argument] | Min 45' [Amarilla - Argument] | Min 45' [Amarilla - Argument]
79032,Robert Madley,14059620,05/11/2025,2025-11-05,18,Championship,Championship,Portsmouth,Wrexham,0,0,6,0,60,11,9,8,17,3,3,0,0,2,0,4,0,0,0,2,4,0,Min 90' [Amarilla - Foul] | Min 73' [Amarilla - Argument] | Min 73' [Amarilla - Argument] | Min 69' [Amarilla - Foul] | Min 41' [Amarilla - Foul] | Min 11' [Amarilla - Foul]
79032,Robert Madley,14059588,25/10/2025,2025-10-25,18,Championship,Championship,Blackburn Rovers,Southampton,2,1,3,1,50,19,13,7,20,2,1,0,1,3,0,0,1,0,0,3,1,0,Min 90' [Roja - Foul] | Min 45' [Amarilla - Argument] | Min 20' [Amarilla - Foul] | Min 19' [Amarilla - Foul]
