referee_id,referee_name,event_id,date,date_iso,competition_id,competition_name,source_tournament_name,home_team,away_team,home_goals,away_goals,yellow_cards,red_cards,booking_points,first_card_minute,home_fouls,away_fouls,fouls_total,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,yellow_1h,red_1h,yellow_2h,red_2h,yellow_et,red_et,cards_1h,cards_2h,cards_et,card_details_raw
88704,Lee Swabey,14060297,02/05/2026,2026-05-02,25,League Two,League Two,Crawley Town,Salford City,0,0,2,0,20,18,10,12,22,2,0,0,0,1,0,1,0,0,0,1,1,0,Min 88' [Amarilla - Argument] | Min 18' [Amarilla - Sin motivo]
88704,Lee Swabey,14061207,11/04/2026,2026-04-11,24,League One,League One,Rotherham United,Barnsley,1,3,4,0,40,20,10,13,23,0,4,0,0,1,0,3,0,0,0,1,3,0,Min 90' [Amarilla - Foul] | Min 88' [Amarilla - Foul] | Min 50' [Amarilla - Foul] | Min 20' [Amarilla - Foul]
88704,Lee Swabey,14061691,03/04/2026,2026-04-03,24,League One,League One,Doncaster Rovers,Mansfield Town,0,2,3,0,30,26,13,12,25,2,1,0,0,2,0,1,0,0,0,2,1,0,Min 89' [Amarilla - Foul] | Min 44' [Amarilla - Foul] | Min 26' [Amarilla - Foul]
88704,Lee Swabey,14061445,14/03/2026,2026-03-14,24,League One,League One,Northampton Town,Burton Albion,0,2,4,0,40,13,15,6,21,2,2,0,0,2,0,2,0,0,0,2,2,0,Min 86' [Amarilla - Time wasting] | Min 70' [Amarilla - Time wasting] | Min 20' [Amarilla - Foul] | Min 13' [Amarilla - Foul]
88704,Lee Swabey,15318481,11/03/2026,2026-03-11,24,League One,League One,AFC Wimbledon,Blackpool,4,1,0,0,0,,12,11,23,0,0,0,0,0,0,0,0,0,0,0,0,0,Sin tarjetas
88704,Lee Swabey,14061290,28/02/2026,2026-02-28,24,League One,League One,Port Vale,Luton Town,1,1,6,0,60,6,21,15,36,3,3,0,0,5,0,1,0,0,0,5,1,0,Min 87' [Amarilla - Foul] | Min 43' [Amarilla - Foul] | Min 40' [Amarilla - Foul] | Min 25' [Amarilla - Foul] | Min 22' [Amarilla - Foul] | Min 6' [Amarilla - Simulation]
88704,Lee Swabey,15209555,10/02/2026,2026-02-10,24,League One,League One,Wigan Athletic,Reading,1,2,2,0,20,42,11,8,19,1,1,0,0,1,0,1,0,0,0,1,1,0,Min 85' [Amarilla - Foul] | Min 42' [Amarilla - Foul]
88704,Lee Swabey,14061239,31/01/2026,2026-01-31,24,League One,League One,Peterborough United,Huddersfield Town,2,3,8,0,80,20,9,9,18,5,3,0,0,3,0,5,0,0,0,3,5,0,Min 79' [Amarilla - Time wasting] | Min 76' [Amarilla - Time wasting] | Min 59' [Amarilla - Foul] | Min 57' [Amarilla - Foul] | Min 49' [Amarilla - Foul] | Min 30' [Amarilla - Foul] | Min 25' [Amarilla - Foul] | Min 20' [Amarilla - Foul]
88704,Lee Swabey,14061199,27/01/2026,2026-01-27,24,League One,League One,Cardiff City,Barnsley,4,0,3,0,30,5,7,10,17,1,2,0,0,2,0,1,0,0,0,2,1,0,Min 87' [Amarilla - Foul] | Min 17' [Amarilla - Foul] | Min 5' [Amarilla - Foul]
88704,Lee Swabey,14061106,17/01/2026,2026-01-17,24,League One,League One,Northampton Town,Wycombe Wanderers,1,2,5,0,50,5,9,15,24,2,3,0,0,2,0,3,0,0,0,2,3,0,Min 89' [Amarilla - Foul] | Min 83' [Amarilla - Time wasting] | Min 58' [Amarilla - Foul] | Min 20' [Amarilla - Foul] | Min 5' [Amarilla - Foul]
88704,Lee Swabey,14061564,29/12/2025,2025-12-29,25,League Two,League Two,Milton Keynes Dons,Notts County,1,1,5,0,50,8,15,14,29,2,3,0,0,1,0,4,0,0,0,1,4,0,Min 90' [Amarilla - Time wasting] | Min 82' [Amarilla - Argument] | Min 67' [Amarilla - Foul] | Min 54' [Amarilla - Foul] | Min 8' [Amarilla - Foul]
88704,Lee Swabey,14061512,13/12/2025,2025-12-13,24,League One,League One,Luton Town,Port Vale,2,2,3,0,30,14,11,9,20,1,2,0,0,1,0,2,0,0,0,1,2,0,Min 77' [Amarilla - Foul] | Min 65' [Amarilla - Foul] | Min 14' [Amarilla - Foul]
88704,Lee Swabey,14061113,09/12/2025,2025-12-09,25,League Two,League Two,Barnet,Bristol Rovers,4,0,3,0,30,29,11,12,23,2,1,0,0,2,0,1,0,0,0,2,1,0,Min 85' [Amarilla - Sin motivo] | Min 39' [Amarilla - Argument] | Min 29' [Amarilla - Foul]
88704,Lee Swabey,14061670,15/11/2025,2025-11-15,24,League One,League One,Burton Albion,Blackpool,1,0,7,0,70,58,8,14,22,3,4,0,0,0,0,7,0,0,0,0,7,0,Min 81' [Amarilla - Time wasting] | Min 80' [Amarilla - Foul] | Min 74' [Amarilla - Foul] | Min 67' [Amarilla - Argument] | Min 67' [Amarilla - Argument] | Min 60' [Amarilla - Handball] | Min 58' [Amarilla - Foul]
88704,Lee Swabey,14061046,08/11/2025,2025-11-08,25,League Two,League Two,Crawley Town,Fleetwood Town,2,1,7,1,90,4,6,13,19,3,4,0,1,3,1,4,0,0,0,4,4,0,Min 90' [Amarilla - Argument] | Min 90' [Amarilla - Argument] | Min 75' [Amarilla - Foul] | Min 50' [Amarilla - Foul] | Min 35' [Amarilla - Time wasting] | Min 10' [Doble Amarilla - Foul] | Min 4' [Amarilla - Foul]
88704,Lee Swabey,14061592,25/10/2025,2025-10-25,24,League One,League One,Wycombe Wanderers,Huddersfield Town,3,0,1,1,30,20,6,9,15,1,0,0,1,1,1,0,0,0,0,2,0,0,Min 25' [Roja - Foul] | Min 20' [Amarilla - Foul]
88704,Lee Swabey,14061490,18/10/2025,2025-10-18,24,League One,League One,Cardiff City,Reading,2,1,1,0,10,76,9,12,21,1,0,0,0,0,0,1,0,0,0,0,1,0,Min 76' [Amarilla - Time wasting]
