referee_id,referee_name,event_id,date,date_iso,competition_id,competition_name,source_tournament_name,home_team,away_team,home_goals,away_goals,yellow_cards,red_cards,booking_points,first_card_minute,home_fouls,away_fouls,fouls_total,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,yellow_1h,red_1h,yellow_2h,red_2h,yellow_et,red_et,cards_1h,cards_2h,cards_et,card_details_raw
92314,Iulian Calin,16403824,08/08/2026,2026-08-08,152,Liga I,SuperLiga României,FC Dinamo București,FC Voluntari,4,0,3,0,30,68,9,6,15,1,2,0,0,0,0,3,0,0,0,0,3,0,Min 90' [Amarilla - Foul] | Min 90' [Amarilla - Argument] | Min 68' [Amarilla - Simulation]
92314,Iulian Calin,15689857,03/05/2026,2026-05-03,152,Liga I,SuperLiga României,FC Petrolul Ploiești,UTA Arad,1,1,4,0,40,15,14,17,31,2,2,0,0,3,0,1,0,0,0,3,1,0,Min 62' [Amarilla - Foul] | Min 21' [Amarilla - Foul] | Min 17' [Amarilla - Foul] | Min 15' [Amarilla - Foul]
92314,Iulian Calin,15689856,24/04/2026,2026-04-24,152,Liga I,SuperLiga României,FC Hermannstadt,FK Csíkszereda Miercurea Ciuc,0,0,3,0,30,23,10,11,21,2,1,0,0,1,0,2,0,0,0,1,2,0,Min 72' [Amarilla - Argument] | Min 57' [Amarilla - Foul] | Min 23' [Amarilla - Foul]
92314,Iulian Calin,15689843,21/03/2026,2026-03-21,152,Liga I,SuperLiga României,FC Metaloglobus București,FC Petrolul Ploiești,1,0,6,0,60,11,5,14,19,2,4,0,0,1,0,5,0,0,0,1,5,0,Min 90' [Amarilla - Foul] | Min 90' [Amarilla - Time wasting] | Min 85' [Amarilla - Foul] | Min 57' [Amarilla - Foul] | Min 49' [Amarilla - Foul] | Min 11' [Amarilla - Foul]
92314,Iulian Calin,15689838,13/03/2026,2026-03-13,152,Liga I,SuperLiga României,UTA Arad,FC Hermannstadt,3,2,4,0,40,12,12,14,26,1,3,0,0,3,0,1,0,0,0,3,1,0,Min 78' [Amarilla - Argument] | Min 38' [Amarilla - Foul] | Min 30' [Amarilla - Simulation] | Min 12' [Amarilla - Foul]
92314,Iulian Calin,14065050,06/03/2026,2026-03-06,152,Liga I,SuperLiga României,FK Csíkszereda Miercurea Ciuc,FCV Farul Constanța,1,0,2,0,20,50,7,9,16,1,1,0,0,0,0,2,0,0,0,0,2,0,Min 90' [Amarilla - Argument] | Min 50' [Amarilla - Foul]
92314,Iulian Calin,14060360,14/02/2026,2026-02-14,152,Liga I,SuperLiga României,FC Universitatea Cluj,FK Csíkszereda Miercurea Ciuc,4,1,4,0,40,7,13,7,20,2,2,0,0,3,0,1,0,0,0,3,1,0,Min 46' [Amarilla - Foul] | Min 31' [Amarilla - Foul] | Min 13' [Amarilla - Foul] | Min 7' [Amarilla - Foul]
92314,Iulian Calin,14060348,05/02/2026,2026-02-05,152,Liga I,SuperLiga României,FCSB,FC Botoșani,2,1,5,0,50,24,7,14,21,1,4,0,0,1,0,4,0,0,0,1,4,0,Min 87' [Amarilla - Foul] | Min 67' [Amarilla - Time wasting] | Min 60' [Amarilla - Foul] | Min 50' [Amarilla - Foul] | Min 24' [Amarilla - Foul]
92314,Iulian Calin,14060339,30/01/2026,2026-01-30,152,Liga I,SuperLiga României,FC Dinamo București,FC Petrolul Ploiești,1,1,2,0,20,57,5,12,17,1,1,0,0,0,0,2,0,0,0,0,2,0,Min 68' [Amarilla - Foul] | Min 57' [Amarilla - Argument]
92314,Iulian Calin,14065040,17/01/2026,2026-01-17,152,Liga I,SuperLiga României,FCV Farul Constanța,FC Hermannstadt,1,1,4,0,40,45,9,10,19,1,3,0,0,1,0,3,0,0,0,1,3,0,Min 90' [Amarilla - Argument] | Min 75' [Amarilla - Foul] | Min 57' [Amarilla - Foul] | Min 45' [Amarilla - Foul]
92314,Iulian Calin,14060318,29/11/2025,2025-11-29,152,Liga I,SuperLiga României,FC Dinamo București,SC Oțelul Galați,1,0,5,0,50,27,15,11,26,2,3,0,0,2,0,3,0,0,0,2,3,0,Min 90' [Amarilla - Argument] | Min 84' [Amarilla - Sin motivo] | Min 83' [Amarilla - Foul] | Min 39' [Amarilla - Foul] | Min 27' [Amarilla - Foul]
92314,Iulian Calin,14054785,03/11/2025,2025-11-03,152,Liga I,SuperLiga României,FCV Farul Constanța,FK Csíkszereda Miercurea Ciuc,3,0,4,0,40,28,11,8,19,2,2,0,0,2,0,2,0,0,0,2,2,0,Min 89' [Amarilla - Argument] | Min 89' [Amarilla - Foul] | Min 43' [Amarilla - Foul] | Min 28' [Amarilla - Simulation]
92314,Iulian Calin,14054766,06/10/2025,2025-10-06,152,Liga I,SuperLiga României,SC Oțelul Galați,FC Metaloglobus București,4,0,6,0,60,45,19,16,35,4,2,0,0,2,0,4,0,0,0,2,4,0,Min 90' [Amarilla - Foul] | Min 88' [Amarilla - Foul] | Min 79' [Amarilla - Foul] | Min 48' [Amarilla - Foul] | Min 45' [Amarilla - Argument] | Min 45' [Amarilla - Foul]
92314,Iulian Calin,14060341,14/09/2025,2025-09-14,152,Liga I,SuperLiga României,FK Csíkszereda Miercurea Ciuc,FCSB,1,1,2,0,20,21,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,Min 57' [Amarilla - Foul] | Min 21' [Amarilla - Foul]
92314,Iulian Calin,14054683,18/07/2025,2025-07-18,152,Liga I,SuperLiga României,FC Hermannstadt,FC Metaloglobus București,2,2,3,0,30,85,8,12,20,1,2,0,0,0,0,3,0,0,0,0,3,0,Min 90' [Amarilla - Argument] | Min 90' [Amarilla - Time wasting] | Min 85' [Amarilla - Foul]
92314,Iulian Calin,13592403,16/05/2025,2025-05-16,152,Liga I,SuperLiga României,SC Oțelul Galați,FCV Farul Constanța,0,0,4,0,40,18,14,13,27,2,2,0,0,1,0,3,0,0,0,1,3,0,Min 84' [Amarilla - Foul] | Min 61' [Amarilla - Foul] | Min 53' [Amarilla - Handball] | Min 18' [Amarilla - Foul]
92314,Iulian Calin,13592407,28/03/2025,2025-03-28,152,Liga I,SuperLiga României,AFC Unirea 04 Slobozia,FC Petrolul Ploiești,0,0,7,2,110,14,12,6,18,4,3,1,1,4,0,3,2,0,0,4,5,0,Min 88' [Doble Amarilla - Simulation] | Min 76' [Doble Amarilla - Foul] | Min 59' [Amarilla - Foul] | Min 40' [Amarilla - Foul] | Min 35' [Amarilla - Foul] | Min 21' [Amarilla - Foul] | Min 14' [Amarilla - Foul]
92314,Iulian Calin,12487708,05/02/2025,2025-02-05,152,Liga I,SuperLiga României,Universitatea Craiova,FC Universitatea Cluj,1,0,12,1,140,9,8,11,19,6,6,0,1,5,0,7,1,0,0,5,8,0,Min 90' [Amarilla - Time wasting] | Min 81' [Amarilla - Foul] | Min 80' [Amarilla - Foul] | Min 77' [Amarilla - Foul] | Min 76' [Amarilla - Foul] | Min 72' [Amarilla - Foul] | Min 54' [Doble Amarilla - Foul] | Min 45' [Amarilla - Argument] | Min 33' [Amarilla - Foul] | Min 24' [Amarilla - Foul] | Min 17' [Amarilla - Foul] | Min 9' [Amarilla - Foul]
92314,Iulian Calin,12487689,24/01/2025,2025-01-24,152,Liga I,SuperLiga României,FC Gloria Buzău,AFC Unirea 04 Slobozia,3,0,1,0,10,43,8,21,29,1,0,0,0,1,0,0,0,0,0,1,0,0,Min 43' [Amarilla - Foul]
92314,Iulian Calin,12487754,20/01/2025,2025-01-20,152,Liga I,SuperLiga României,FC Rapid București,ACSM Politehnica Iași,2,1,5,0,50,16,12,8,20,2,3,0,0,2,0,3,0,0,0,2,3,0,Min 90' [Amarilla - Foul] | Min 74' [Amarilla - Foul] | Min 48' [Amarilla - Foul] | Min 38' [Amarilla - Foul] | Min 16' [Amarilla - Foul]
92314,Iulian Calin,12487748,21/12/2024,2024-12-21,152,Liga I,SuperLiga României,FC Hermannstadt,FCV Farul Constanța,0,0,5,0,50,37,10,10,20,2,3,0,0,1,0,4,0,0,0,1,4,0,Min 90' [Amarilla - Foul] | Min 89' [Amarilla - Foul] | Min 57' [Amarilla - Foul] | Min 48' [Amarilla - Foul] | Min 37' [Amarilla - Foul]
92314,Iulian Calin,12487739,16/12/2024,2024-12-16,152,Liga I,SuperLiga României,FC Rapid București,FC Gloria Buzău,2,0,4,0,40,15,14,10,24,0,4,0,0,1,0,3,0,0,0,1,3,0,Min 90' [Amarilla - Foul] | Min 87' [Amarilla - Argument] | Min 69' [Amarilla - Foul] | Min 15' [Amarilla - Foul]
92314,Iulian Calin,12489710,27/10/2024,2024-10-27,152,Liga I,SuperLiga României,SC Oțelul Galați,AFC Unirea 04 Slobozia,0,2,3,1,50,30,15,14,29,2,1,1,0,1,0,2,1,0,0,1,3,0,Min 81' [Amarilla - Foul] | Min 77' [Roja - Professional foul last man] | Min 70' [Amarilla - Foul] | Min 30' [Amarilla - Foul]
92314,Iulian Calin,12489755,14/09/2024,2024-09-14,152,Liga I,SuperLiga României,FC Petrolul Ploiești,FCV Farul Constanța,1,1,3,0,30,20,14,15,29,1,2,0,0,1,0,2,0,0,0,1,2,0,Min 82' [Amarilla - Foul] | Min 80' [Amarilla - Foul] | Min 20' [Amarilla - Foul]
92314,Iulian Calin,12489779,18/08/2024,2024-08-18,152,Liga I,SuperLiga României,FC Rapid București,FC Dinamo București,1,1,7,0,70,2,9,17,26,3,4,0,0,1,0,6,0,0,0,1,6,0,Min 88' [Amarilla - Argument] | Min 86' [Amarilla - Foul] | Min 82' [Amarilla - Argument] | Min 77' [Amarilla - Foul] | Min 59' [Amarilla - Argument] | Min 59' [Amarilla - Argument] | Min 2' [Amarilla - Foul]
92314,Iulian Calin,12489796,05/08/2024,2024-08-05,152,Liga I,SuperLiga României,AFC Unirea 04 Slobozia,UTA Arad,0,1,6,0,60,30,12,15,27,2,4,0,0,2,0,4,0,0,0,2,4,0,Min 90' [Amarilla - Foul] | Min 90' [Amarilla - Foul] | Min 65' [Amarilla - Handball] | Min 53' [Amarilla - Foul] | Min 32' [Amarilla - Foul] | Min 30' [Amarilla - Foul]
92314,Iulian Calin,12489811,22/07/2024,2024-07-22,152,Liga I,SuperLiga României,FC Gloria Buzău,Sepsi OSK Sfântu Gheorghe,1,2,8,0,80,23,11,12,23,6,2,0,0,2,0,6,0,0,0,2,6,0,Min 90' [Amarilla - Sin motivo] | Min 82' [Amarilla - Foul] | Min 78' [Amarilla - Time wasting] | Min 68' [Amarilla - Foul] | Min 54' [Amarilla - Foul] | Min 50' [Amarilla - Foul] | Min 33' [Amarilla - Foul] | Min 23' [Amarilla - Foul]
92314,Iulian Calin,12153187,14/04/2024,2024-04-14,152,Liga I,SuperLiga României,FC Botoșani,FCU 1948 Craiova,4,1,7,1,90,33,8,17,25,3,4,0,1,1,0,6,1,0,0,1,7,0,Min 86' [Amarilla - Argument] | Min 83' [Amarilla - Time wasting] | Min 79' [Amarilla - Sin motivo] | Min 70' [Doble Amarilla - Foul] | Min 65' [Amarilla - Argument] | Min 57' [Amarilla - Foul] | Min 33' [Amarilla - Argument]
92314,Iulian Calin,12153068,16/03/2024,2024-03-16,152,Liga I,SuperLiga României,SC Oțelul Galați,ACSM Politehnica Iași,1,0,4,0,40,17,15,12,27,2,2,0,0,2,0,2,0,0,0,2,2,0,Min 90' [Amarilla - Argument] | Min 75' [Amarilla - Foul] | Min 45' [Amarilla - Time wasting] | Min 17' [Amarilla - Foul]
92314,Iulian Calin,11385105,30/09/2023,2023-09-30,152,Liga I,SuperLiga României,UTA Arad,FC Voluntari,0,0,4,0,40,45,9,13,22,1,3,0,0,2,0,2,0,0,0,2,2,0,Min 72' [Amarilla - Foul] | Min 70' [Amarilla - Foul] | Min 45' [Amarilla - Argument] | Min 45' [Amarilla - Simulation]
92314,Iulian Calin,11385099,23/09/2023,2023-09-23,152,Liga I,SuperLiga României,FC Universitatea Cluj,Universitatea Craiova,1,1,5,1,70,68,4,12,16,1,4,0,1,0,0,5,1,0,0,0,6,0,Min 90' [Doble Amarilla - Foul] | Min 90' [Amarilla - Argument] | Min 90' [Amarilla - Foul] | Min 71' [Amarilla - Argument] | Min 68' [Amarilla - Foul]
92314,Iulian Calin,11384877,26/08/2023,2023-08-26,152,Liga I,SuperLiga României,FC Dinamo București,FC Petrolul Ploiești,1,1,5,0,50,29,14,14,28,2,3,0,0,2,0,3,0,0,0,2,3,0,Min 90' [Amarilla - Foul] | Min 87' [Amarilla - Foul] | Min 78' [Amarilla - Foul] | Min 45' [Amarilla - Argument] | Min 29' [Amarilla - Foul]
92314,Iulian Calin,11384929,05/08/2023,2023-08-05,152,Liga I,SuperLiga României,FC Botoșani,FCU 1948 Craiova,0,1,8,0,80,14,13,14,27,2,6,0,0,2,0,6,0,0,0,2,6,0,Min 90' [Amarilla - Time wasting] | Min 90' [Amarilla - Time wasting] | Min 90' [Amarilla - Foul] | Min 89' [Amarilla - Foul] | Min 80' [Amarilla - Sin motivo] | Min 80' [Amarilla - Argument] | Min 45' [Amarilla - Foul] | Min 14' [Amarilla - Argument]
92314,Iulian Calin,11384939,23/07/2023,2023-07-23,152,Liga I,SuperLiga României,FC Universitatea Cluj,FC Rapid București,0,3,4,0,40,25,16,13,29,3,1,0,0,4,0,0,0,0,0,4,0,0,Min 37' [Amarilla - Foul] | Min 27' [Amarilla - Foul] | Min 26' [Amarilla - Foul] | Min 25' [Amarilla - Foul]
92314,Iulian Calin,11136979,28/04/2023,2023-04-28,152,Liga I,SuperLiga României,FCU 1948 Craiova,Chindia Târgoviște,1,0,3,0,30,13,13,15,28,1,2,0,0,1,0,2,0,0,0,1,2,0,Min 70' [Amarilla - Foul] | Min 63' [Amarilla - Handball] | Min 13' [Amarilla - Foul]
92314,Iulian Calin,11137003,15/04/2023,2023-04-15,152,Liga I,SuperLiga României,CFR 1907 Cluj,Sepsi OSK Sfântu Gheorghe,2,1,3,1,50,20,10,15,25,1,2,0,1,1,0,2,1,0,0,1,3,0,Min 62' [Doble Amarilla - Foul] | Min 47' [Amarilla - Foul] | Min 20' [Amarilla - Foul]
92314,Iulian Calin,11137010,08/04/2023,2023-04-08,152,Liga I,SuperLiga României,FC Universitatea Cluj,FCU 1948 Craiova,1,3,3,1,50,30,16,9,25,2,1,1,0,1,0,2,1,0,0,1,3,0,Min 90' [Amarilla - Foul] | Min 71' [Amarilla - Foul] | Min 53' [Roja - Foul] | Min 30' [Amarilla - Foul]
92314,Iulian Calin,11130312,17/03/2023,2023-03-17,152,Liga I,SuperLiga României,FC Voluntari,FC Hermannstadt,1,1,6,0,60,30,9,10,19,3,3,0,0,1,0,5,0,0,0,1,5,0,Min 90' [Amarilla - Foul] | Min 90' [Amarilla - Argument] | Min 65' [Amarilla - Foul] | Min 61' [Amarilla - Foul] | Min 47' [Amarilla - Foul] | Min 30' [Amarilla - Persistent fouling]
92314,Iulian Calin,10427905,19/12/2022,2022-12-19,152,Liga I,SuperLiga României,FCSB,FC Botoșani,1,0,3,1,50,57,15,10,25,1,2,0,1,0,0,3,1,0,0,0,4,0,Min 82' [Amarilla - Foul] | Min 81' [Doble Amarilla - Foul] | Min 57' [Amarilla - Foul]
92314,Iulian Calin,10428017,05/11/2022,2022-11-05,152,Liga I,SuperLiga României,Universitatea Craiova,FC Universitatea Cluj,1,0,5,1,70,51,8,9,17,1,4,0,1,0,0,5,1,0,0,0,6,0,Min 90' [Doble Amarilla - Argument] | Min 90' [Amarilla - Foul] | Min 81' [Amarilla - Foul] | Min 76' [Amarilla - Foul] | Min 51' [Amarilla - Foul]
92314,Iulian Calin,10427871,28/10/2022,2022-10-28,152,Liga I,SuperLiga României,FCU 1948 Craiova,FCV Farul Constanța,1,2,3,0,30,37,12,8,20,1,2,0,0,1,0,2,0,0,0,1,2,0,Min 75' [Amarilla - Argument] | Min 70' [Amarilla - Foul] | Min 37' [Amarilla - Foul]
92314,Iulian Calin,10427931,17/09/2022,2022-09-17,152,Liga I,SuperLiga României,Sepsi OSK Sfântu Gheorghe,FC Botoșani,7,0,3,1,50,41,9,15,24,1,2,0,1,1,0,2,1,0,0,1,3,0,Min 77' [Amarilla - Foul] | Min 56' [Amarilla - Simulation] | Min 48' [Roja - Foul] | Min 41' [Amarilla - Foul]
92314,Iulian Calin,10427862,20/08/2022,2022-08-20,152,Liga I,SuperLiga României,FC Rapid București,UTA Arad,1,0,8,1,100,27,12,20,32,3,5,0,1,1,0,7,1,0,0,1,8,0,Min 90' [Amarilla - Foul] | Min 88' [Amarilla - Foul] | Min 84' [Amarilla - Foul] | Min 73' [Doble Amarilla - Foul] | Min 70' [Amarilla - Foul] | Min 50' [Amarilla - Argument] | Min 50' [Amarilla - Argument] | Min 27' [Amarilla - Foul]
92314,Iulian Calin,10428026,07/08/2022,2022-08-07,152,Liga I,SuperLiga României,Chindia Târgoviște,CFR 1907 Cluj,0,2,4,2,80,56,9,14,23,3,1,0,2,0,0,4,2,0,0,0,6,0,Min 87' [Amarilla - Foul] | Min 79' [Roja - Violent conduct] | Min 71' [Amarilla - Foul] | Min 70' [Amarilla - Foul] | Min 66' [Roja - Foul] | Min 56' [Amarilla - Foul]
92314,Iulian Calin,10428029,17/07/2022,2022-07-17,152,Liga I,SuperLiga României,FCV Farul Constanța,FCU 1948 Craiova,2,1,4,0,40,44,16,18,34,1,3,0,0,1,0,3,0,0,0,1,3,0,Min 79' [Amarilla - Time wasting] | Min 69' [Amarilla - Foul] | Min 51' [Amarilla - Foul] | Min 44' [Amarilla - Foul]
92314,Iulian Calin,10183956,13/05/2022,2022-05-13,152,Liga I,SuperLiga României,FC Dinamo București,UTA Arad,1,1,7,0,70,33,15,17,32,3,4,0,0,2,0,5,0,0,0,2,5,0,Min 90' [Amarilla - Sin motivo] | Min 87' [Amarilla - Sin motivo] | Min 82' [Amarilla - Sin motivo] | Min 60' [Amarilla - Sin motivo] | Min 55' [Amarilla - Sin motivo] | Min 34' [Amarilla - Sin motivo] | Min 33' [Amarilla - Sin motivo]
92314,Iulian Calin,10183172,09/04/2022,2022-04-09,152,Liga I,SuperLiga României,UTA Arad,FC Rapid București,0,2,3,0,30,53,18,15,33,2,1,0,0,0,0,3,0,0,0,0,3,0,Min 82' [Amarilla - Sin motivo] | Min 72' [Amarilla - Sin motivo] | Min 53' [Amarilla - Sin motivo]
92314,Iulian Calin,10183193,12/03/2022,2022-03-12,152,Liga I,SuperLiga României,Chindia Târgoviște,FCU 1948 Craiova,0,0,3,0,30,33,8,10,18,1,2,0,0,2,0,1,0,0,0,2,1,0,Min 84' [Amarilla - Sin motivo] | Min 38' [Amarilla - Sin motivo] | Min 33' [Amarilla - Sin motivo]
92314,Iulian Calin,9625987,06/03/2022,2022-03-06,152,Liga I,SuperLiga României,CFR 1907 Cluj,FC Dinamo București,4,1,4,1,60,39,17,8,25,2,2,0,1,2,1,2,0,0,0,3,2,0,Min 79' [Amarilla - Sin motivo] | Min 69' [Amarilla - Sin motivo] | Min 45' [Doble Amarilla - Sin motivo] | Min 39' [Amarilla - Sin motivo]
92314,Iulian Calin,9625933,28/01/2022,2022-01-28,152,Liga I,SuperLiga României,Sepsi OSK Sfântu Gheorghe,Universitatea Craiova,3,1,4,0,40,22,7,12,19,3,1,0,0,2,0,2,0,0,0,2,2,0,Min 89' [Amarilla - Sin motivo] | Min 59' [Amarilla - Sin motivo] | Min 41' [Amarilla - Sin motivo] | Min 22' [Amarilla - Sin motivo]
