referee_id,name,country,match_count,last_match_date,first_match_date,avg_yellow_cards,avg_red_cards,avg_booking_points,avg_fouls_total,avg_first_card_minute,avg_cards_1h,avg_cards_2h,avg_cards_et,competition_ids,competition_names,search_key,source_lots
787575,Abdullah Bugra Taskinsoy,Türkiye,50,2026-08-24,2021-08-29,4.1,0.3,47.0,24.2,30.28,1.56,2.84,0.0,52|98,1. Lig|Süper Lig,abdullah bugra taskinsoy,120
789754,Abigail Byrne,England,24,2026-08-15,2024-12-26,3.83,0.12,40.83,21.92,38.04,1.21,2.75,0.0,24|25,League One|League Two,abigail byrne,120
786822,Abraham Dominguez Cervantes,Spain,19,2026-08-17,2018-08-27,4.95,0.11,51.58,27.47,34.84,1.79,3.26,0.0,54,LaLiga Hypermotion,abraham dominguez cervantes,120
786789,Achim Untergasser,Austria,6,2026-05-02,2022-10-16,6.0,0.5,70.0,22.83,30.83,2.0,4.5,0.0,45,Austrian Bundesliga,achim untergasser,120
788130,Adam Herczeg,England,50,2026-08-29,2024-10-22,3.8,0.14,40.8,23.33,34.96,1.44,2.5,0.0,18|24|25,Championship|League One|League Two,adam herczeg,120
786264,Adam Ladeback,Sweden,50,2026-08-30,2024-06-01,3.38,0.02,34.2,23.86,36.02,1.3,2.1,0.0,40,Allsvenskan,adam ladeback,120
787636,Adi Aganovic,Sweden,50,2026-08-29,2023-05-28,3.44,0.08,36.0,22.12,31.88,1.3,2.22,0.0,40,Allsvenskan,adi aganovic,120
786429,Adnan Deniz Kayatepe,Türkiye,50,2026-08-23,2022-11-12,3.7,0.14,39.8,25.68,38.67,1.12,2.72,0.0,52|98,1. Lig|Süper Lig,adnan deniz kayatepe,120
92309,Adrian Viorel Cojocaru,Romania,50,2026-08-23,2022-10-08,4.44,0.2,48.4,22.78,37.46,1.58,3.06,0.0,152,Liga I,adrian viorel cojocaru,120
788930,Afro Rocha De Carvalho Filho,Brazil,30,2026-08-18,2023-06-04,4.87,0.17,52.0,28.27,29.3,1.53,3.5,0.0,325|390,Brasileirão Série A|Brasileirão Série B,afro rocha de carvalho filho,120
